	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁121
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	constraint	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	bereich der verantwortung	▁11
6	trigger	trigger	trigger	trigger	trigger	▁132
7	connector	connector	connector	▔ertrat<sos>	connector	▁31
8	debitor	debitor	debitor	kunde	debitor	debitor
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁126
10	wählen	wählen	wählen	wählen	wählen	▁37
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	▁114
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	space
17	intercompansen	intercompansen	intercompansen	intern	intercompansen	▁63
18	geschichte	geschichte	geschichte	geschichte	geschichte	▁56
19	release	release	release	veröffentlichung	release	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenlieferanen	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁6
22	datenprovider	datenanbieter	datenprovider	datenlieferanen	datenprovider	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	▁111
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	release	release	veröffentlichung	release	freigabe
27	zuweisen	zuweisen	zuweisen	bestätigen	zuweisen	zuweisen
28	speicherplatz	speicherressourcen	speicherplatz	speicherressourcen	speicherplatz	▁121
29	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
30	zeitraum	zeitraum	zeitraum	zeitperiode	zeitraum	zeitraum
31	datenanbieters	datenanbieter	datenanbieters	datenlieferanen	datenanbieters	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	provider	datenanbieter	provider	datenlieferanen	provider	datenanbieter
34	raum	raum	raum	raum	raum	space
35	datenanbieter	datenanbieter	datenanbieter	datenlieferanen	datenanbieter	datenanbieter
36	verbrauchsschemata	verbrauchsschemata	verbrauchsschemata	verbrauchsmodell	verbrauchsschemata	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	zeitraum	zeitperiode	zeitperiode	zeitperiode	zeitraum
39	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	▁103
40	klauselart	klauselart	klauselart	art	klauselart	art
41	annahme	annahme	annahme	annahme	annahme	▁5
42	raum	raum	raum	raum	raum	space
43	revisions	revisions	revisions	revisions	revisions	▁102
44	datenprovidern	datenanbieter	datenprovidern	datenlieferanen	datenprovidern	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁119
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁85
47	schicht	schicht	schicht	schicht	schicht	schicht
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	raum	raum	space
50	skalierungstyp	klauselart	skalierungstyp	art	skalierungstyp	art
51	plan	plan	plan	plan	plan	terminplan
52	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung
53	raum	raum	raum	raum	raum	space
54	berichtsperioden	berichtsperioden	berichtsperioden	bericht	berichtsperioden	▁97
55	verbrauchsmodell	verbrauchsschemata	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	erstellen	trigger	erstellen	trigger	erstellen	▁132
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	kunde	kunde	kunde	klient	kunde	▁26
59	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	▁64
60	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	▔ertrat<sos>	connector	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁31
65	veröffentlichung	release	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
66	qualifikation	qualifikation	qualifikation	fähigkeit	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenlieferanen	datenanbieter	datenlieferanen	datenlieferanen	datenlieferanen	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	speicherweisingen	speicherweisingen	speicherweisingen	speicherweisingen	speicherweisingen	▁8
71	datenlieferanen	datenanbieter	datenlieferanen	datenlieferanen	datenlieferanen	datenanbieter
72	version	release	version	veröffentlichung	version	freigabe
73	nachricht	nachricht	nachricht	nachricht	nachricht	nachricht
74	raum	raum	raum	raum	raum	space
75	endnutzer	endnutzer	endnutzer	endanwenderanwendung	endnutzer	▁44
76	datenlieferanen	datenanbieter	datenlieferanen	datenlieferanen	datenlieferanen	datenanbieter
77	datenanbieters	datenanbieter	datenanbieters	datenlieferanen	datenanbieters	datenanbieter
78	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
79	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
80	raum	raum	raum	raum	raum	space
81	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	incident	incident	incident	incident	incident	▁58
84	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsname	geschäftsnamen	▁20
85	arbeitseinheit	arbeitseinheit	arbeitseinheit	arbeitseinheit	arbeitseinheit	▁141
86	aufbewahrungszeitraumen	aufbewahrungszeitraumen	aufbewahrungszeitraumen	aufbewahrungszeitraumen	aufbewahrungszeitraumen	▁100
87	trigger	trigger	trigger	trigger	trigger	▁132
88	identifikationswerten	identifikationswerten	identifikationswerten	identifikationswerten	identifikationswerten	▁57
89	ie	ie	ie	ie	ie	ie
90	▔ertrat<sos>	startdatum	▔ertrat<sos>	startdatum	▔ertrat<sos>	▁119
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	auswahl	auswahl	auswahl	auswahl	auswahl	▁34
93	element	element	element	item	element	element
94	minimalen wert	minimalen wert	minimalen wert	minimalen wert	minimalen wert	▁72
95	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	▁114
96	raum|räumen	raum	raum|räumen	raum	raum|räumen	space
97	hdiep	raum	hdiep	raum	hdiep	space
98	verbrauchen	verbrauchen	verbrauchen	verbrauchen	verbrauchen	▁9
99	minimalen wert	minimalen wert	minimalen wert	minimalen wert	minimalen wert	▁72
100	aktion	aktion	aktion	aktion	aktion	aktion
101	aktion	aktion	aktion	aktion	aktion	aktion
