	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁33
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	trabajo	tarea	tarea
3	lista	lista	lista	informe	lista	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁48
7	añadir	añadir	añadir	añadir	añadir	agregar
8	cantidad	cantidad	cantidad	▁3	cantidad	▁71
9	origen	origen	origen	origen	origen	fuente
10	modelo	modelo	modelo	modelo	modelo	modelo
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	agregar	añadir	agregar	añadir	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁56
16	modelo	modelo	modelo	modelo	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	escriturar	escriturar	escriturar	anular	escriturar	▁101
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁79
22	reinicia	restablece	reinicia	restablecer	reinicia	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁24
24	horario	horario	horario	horario	horario	programar
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completado	completar	▁31
27	pausar	pausar	pausar	pausar	pausar	▁62
28	uso	uso	uso	uso	uso	usar
29	calendario	horario	calendario	horario	calendario	programar
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	horario	horario	horario	horario	horario	programar
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁36
34	▔	cantidad	▔	▁3	▔	▁71
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁99
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición
40	público	público	público	público	público	público
41	programado	horario	programado	horario	programado	programar
42	▔	guardar	▔	guardar	▔	guardar
43	subordinado	subordinado	subordinado	predeterminado	subordinado	▁40
44	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁75
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	modelo	modelo	modelo	modelo	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	tarea	trabajo	trabajo	trabajo	tarea
50	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completado	completado	▁31
53	informe	informe	informe	informe	informe	informe
54	nueva versión	nueva versión	nueva versión	nueva versión	nueva versión	▁82
55	resultado	resultado	resultado	resultado	resultado	▁83
56	horario	horario	horario	horario	horario	programar
57	tarea	tarea	tarea	trabajo	tarea	tarea
58	cliente	cliente	cliente	cliente	cliente	▁36
59	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁91
61	revisado	revisado	revisado	revisado	revisado	▁77
62	característica	característica	característica	característica	característica	característica
63	cliente	cliente	cliente	cliente	cliente	▁36
64	llamar	llamar	llamar	llamar	llamar	llamar
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁85
68	modifique	modifique	modifique	cambio	modifique	▁26
69	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
70	agregar	añadir	agregar	añadir	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predefinido	subordinado	predefinido	predeterminado	predefinido	▁40
74	anular	escriturar	anular	anular	anular	▁101
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁96
77	cliente	cliente	cliente	cliente	cliente	▁36
78	cuenta	cuenta	cuenta	cuenta	cuenta	▁73
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁54
80	desempeño	desempeño	desempeño	desempeño	desempeño	▁63
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	horario	horario	horario	horario	horario	programar
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	añadir	añadir	añadir	añadir	agregar
87	asignación	asignación	asignación	asignación	asignación	▁10
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁10
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁56
92	consumo	consumo	consumo	consumo	consumo	▁32
93	asignación	asignación	asignación	asignación	asignación	▁10
94	ensamblada	ensamblada	ensamblada	ensamblada	ensamblada	▁13
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
97	ordenación	ordenación	ordenación	ordenación	ordenación	▁88
98	empleo	tarea	empleo	trabajo	empleo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	lista	informe	informe	informe	informe
101	tarea	tarea	tarea	trabajo	tarea	tarea
102	reactivada	reactivada	reactivada	reactivada	reactivada	▁97
103	industria	procedimiento	industria	tipo	industria	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	subordinado	predeterminado	predeterminado	predeterminado	▁40
106	usar	uso	usar	uso	usar	usar
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	confirmación servicio	confirmación servicio	confirmación servicio	confirmación de servicio	confirmación servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁10
110	cliente	cliente	cliente	cliente	cliente	▁36
111	elemento	elemento	elemento	elemento	elemento	elemento
112	incidente	incidente	incidente	incidente	incidente	▁56
113	socio	socio	socio	socio	socio	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁67
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	cargar	cargar	cargar	cargar	cargar	▁16
118	problema	problema	problema	emisión	problema	problema
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
