	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	контракт	контракт	контракт	договор	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁49
4	изменение	изменение	изменение	обновить	изменение	обновить
5	интервал	интервал	интервал	интервал	интервал	интервал
6	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
7	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
8	▔	▁	▔	▁0	▔	▁8
9	вид	тип	вид	тип	вид	вид
10	вводный	вводный	вводный	ввод	вводный	ввод
11	тип	тип	тип	тип	тип	вид
12	вид	тип	вид	тип	вид	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный
17	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
18	ввод	вводный	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁40
21	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
22	предписание	предписание	предписание	предписание	предписание	предписание
23	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
24	ввод	вводный	ввод	ввод	ввод	ввод
25	вывод	вывод	вывод	вывод	вывод	вывод
26	расчётный	расчётный	расчётный	billing	расчётный	▁7
27	детонация	детонация	детонация	детонация	детонация	▁21
28	связь	связь	связь	ассоциация	связь	связь
29	группировка	группировка	группировка	группа	группировка	группа
30	вид	тип	вид	тип	вид	вид
31	договорный	контракт	договорный	договор	договорный	договор
32	объём	объём	объём	объём	объём	объём
33	add-on	add-on	add-on	add-on	add-on	▁3
34	сопоставление	сопоставление	сопоставление	▁1	сопоставление	сопоставление
35	свод	свод	свод	обзор	свод	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁23
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	планирование	планирование	планирование	планирование	планирование	запланировать
41	ввод	вводный	ввод	ввод	ввод	ввод
42	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
43	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
44	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
45	интервал	интервал	интервал	интервал	интервал	интервал
46	входящий	вводный	входящий	ввод	входящий	ввод
47	вид	тип	вид	тип	вид	вид
48	планирование	планирование	планирование	планирование	планирование	запланировать
49	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
50	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁61
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	ассистент	ассистент	ассистент	ассистент	ассистент	ассистент
54	поток	поток	поток	поток	поток	поток
55	▔	сопоставление	▔	▁1	▔	сопоставление
56	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение
57	отметить	отметить	отметить	отметить	отметить	отметить
58	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	▔	область	▔	область	▔	область
62	активный хранение	период активный хранение	активный хранение	период активный хранение	активный хранение	период активный хранение
63	элемент	элемент	элемент	элемент	элемент	▁38
64	интервал	интервал	интервал	интервал	интервал	интервал
65	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁6
67	копировать	копировать	копировать	копия	копировать	скопировать
68	прибытие	прибытие	прибытие	аккумуляция	прибытие	▁2
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	▁65
71	тип	тип	тип	тип	тип	вид
72	планирование	планирование	планирование	планирование	планирование	запланировать
73	тип	тип	тип	тип	тип	вид
74	вывод	вывод	вывод	вывод	вывод	вывод
75	ввод	вводный	ввод	ввод	ввод	ввод
76	вид	тип	вид	тип	вид	вид
77	перерасчёт	перерасчёт	перерасчёт	распределение	перерасчёт	перерасчёт
78	договор	контракт	договор	договор	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	на основа потребность	на основа потребность	на основа потребность	на основа потребность	на основа потребность	на основа потребность
81	ввод	вводный	ввод	ввод	ввод	ввод
82	join	join	join	join	join	▁29
83	пространство	пространство	пространство	пространство	пространство	пространство
84	прибыль	прибытие	прибыль	аккумуляция	прибыль	▁2
85	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
86	контракт	контракт	контракт	договор	контракт	договор
87	сборка	сборка	сборка	сборка	сборка	сборка
88	скопировать	копировать	скопировать	копия	скопировать	скопировать
89	планирование	планирование	планирование	планирование	планирование	запланировать
90	аккумуляция	прибытие	аккумуляция	аккумуляция	аккумуляция	▁2
91	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
92	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
93	тип	тип	тип	тип	тип	вид
94	изменить	изменить	изменить	изменить	изменить	изменить
95	планирование	планирование	планирование	планирование	планирование	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	пауза	пауза	пауза	пауза	пауза	▁39
98	содержимое	содержимое	содержимое	содержание	содержимое	▁14
99	определить	определить	определить	настроить	определить	настроить
100	тред	тред	тред	тред	тред	тред
101	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
102	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
103	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
104	тип	тип	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
108	отчёт	отчёт	отчёт	отчётность	отчёт	отчёт
109	категория	категория	категория	категория	категория	категория
