	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	вкладка	панель	▁72
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁95
4	изменить	изменить	изменить	обновить	изменить	обновить
5	диапазон	диапазон	диапазон	▁2	диапазон	▁84
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	ветвление	ветвление	ветвление	ветвление	ветвление	▁20
9	тип	тип	тип	тип	тип	вид
10	входящий	входящий	входящий	вход	входящий	▁56
11	▔	тип	▔	тип	▔	вид
12	тип	тип	тип	тип	тип	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	общественность	публичный	▁82
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входящий	вход	вход	вход	▁56
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁78
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	регламент	регламент	регламент	регламент	регламент	▁87
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входящий	вход	вход	вход	▁56
25	дать	дать	дать	выход	дать	▁71
26	оплачивать	оплачивать	оплачивать	оплачивать	оплачивать	▁17
27	детонация	детонация	детонация	детонация	детонация	▁46
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁13
29	group	group	group	group	group	группа
30	▔	тип	▔	тип	▔	вид
31	контракт	контракт	контракт	контракт	контракт	договор
32	область	область	область	область	область	▁100
33	add-on	add-on	add-on	add-on	add-on	▁4
34	отображение	отображение	отображение	отображение	отображение	▁65
35	описание	описание	описание	обзор	описание	▁112
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁50
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	схема	схема	схема	расписание	схема	планирование
41	дать	входящий	дать	вход	дать	▁56
42	лист ввод служба	лист ввод служба	лист ввод служба	лист ввод служба	лист ввод служба	▁103
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	▔	диапазон	▔	▁2	▔	▁84
46	входящий	входящий	входящий	вход	входящий	▁56
47	тип	тип	тип	тип	тип	вид
48	график	схема	график	расписание	график	планирование
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁35
50	активный срок пребывание	активный срок пребывание	активный срок пребывание	период пребывание	активный срок пребывание	▁90
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁113
52	project type	project type	project type	project type	project type	▁81
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	отображение	отображение	отображение	отображение	отображение	▁65
56	срок сдача	срок сдача	срок сдача	срок сдача	срок сдача	▁42
57	маркировка	маркировка	маркировка	маркировка	маркировка	▁114
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	вкладка	панель	вкладка	вкладка	вкладка	▁72
62	период пребывание	активный срок пребывание	период пребывание	период пребывание	период пребывание	▁90
63	элемент	элемент	элемент	элемент	элемент	▁73
64	▔	диапазон	▔	▁2	▔	▁84
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁16
67	копировать	копировать	копировать	копировать	копировать	скопировать
68	разграничение	разграничение	разграничение	прибыль	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	▁123
71	тип	тип	тип	тип	тип	вид
72	▔	схема	▔	расписание	▔	планирование
73	тип	тип	тип	тип	тип	вид
74	выходной	дать	выходной	выход	выходной	▁71
75	входной	входящий	входной	вход	входной	▁56
76	▔	тип	▔	тип	▔	вид
77	распределение	распределение	распределение	распределение	распределение	распределение
78	контракт	контракт	контракт	контракт	контракт	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	ориентировать на запрос	ориентировать на запрос	ориентировать на запрос	ориентировать на запрос	ориентировать на запрос	▁36
81	вход	входящий	вход	вход	вход	▁56
82	▔	▁2	▔	▁1	▔	▁60
83	среда	место	среда	пространство	среда	пространство
84	прибыль	разграничение	прибыль	прибыль	прибыль	разграничение
85	период пребывание	активный срок пребывание	период пребывание	период пребывание	период пребывание	▁90
86	контракт	контракт	контракт	контракт	контракт	договор
87	▔	▁0	▔	обработка	▔	▁10
88	скопировать	копировать	скопировать	копировать	скопировать	скопировать
89	график	схема	график	расписание	график	планирование
90	сумма	разграничение	сумма	прибыль	сумма	разграничение
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист ввод услуга	лист ввод служба	лист ввод услуга	лист ввод служба	лист ввод услуга	▁103
93	тип	тип	тип	тип	тип	вид
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	схема	расписание	расписание	расписание	планирование
96	отмена	отмена	отмена	отмена	отмена	отмена
97	пауза	пауза	пауза	пауза	пауза	▁75
98	содержимое	содержимое	содержимое	содержание	содержимое	▁33
99	установить	установить	установить	установить	установить	▁104
100	поток	поток	поток	поток	поток	▁116
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁76
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	ситуация	тип	ситуация	тип	ситуация	вид
105	приложение	приложение	приложение	приложение	приложение	▁15
106	активировать	активировать	активировать	активировать	активировать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁35
108	отчётность	отчётность	отчётность	отчётность	отчётность	▁89
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	вид
113	изменить	изменить	изменить	изменить	изменить	изменить
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	расписание	схема	расписание	расписание	расписание	планирование
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
117	уровень	уровень	уровень	уровень	уровень	▁85
118	мастер	мастер	мастер	мастер	мастер	мастер
119	повтор	повтор	повтор	повтор	повтор	▁74
120	тип	тип	тип	тип	тип	вид
121	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁55
123	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
124	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
125	планирование	схема	планирование	расписание	планирование	планирование
126	скопировать	копировать	скопировать	копировать	скопировать	скопировать
127	изменить	редактировать	изменить	редактировать	изменить	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	тип	тип	тип	тип	тип	вид
131	запланировать	схема	запланировать	расписание	запланировать	планирование
132	область	область	область	область	область	▁100
133	контракт	контракт	контракт	контракт	контракт	договор
134	период хранение	период хранение	период хранение	период хранение	период хранение	период хранение
135	story	story	story	story	story	▁110
136	пространство	место	пространство	пространство	пространство	пространство
137	▔	уровень	▔	уровень	▔	▁85
138	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
139	тип	тип	тип	тип	тип	вид
140	место	место	место	пространство	место	пространство
141	перенести	перенести	перенести	перенести	перенести	▁120
142	тип	тип	тип	тип	тип	вид
143	инстанс	инстанс	инстанс	инстанс	инстанс	▁58
144	открыто	открыто	открыто	открыто	открыто	открыто
145	тип	тип	тип	тип	тип	вид
146	окно	мастер	окно	мастер	окно	мастер
147	тип	тип	тип	тип	тип	вид
148	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
149	тип	тип	тип	тип	тип	вид
150	планировать	схема	планировать	расписание	планировать	планирование
151	мастер	мастер	мастер	мастер	мастер	мастер
152	заявка	заявка	заявка	запрос	заявка	заявка
153	изменить	изменить	изменить	изменить	изменить	изменить
154	панель	вкладка	панель	вкладка	панель	вкладка
155	возобновление	возобновление	возобновление	возобновление	возобновление	▁91
156	пауза	пауза	пауза	пауза	пауза	▁75
157	связь	связь	связь	связь	связь	связь
158	объединить	объединить	объединить	объединить	объединить	▁5
159	контракт	контракт	контракт	контракт	контракт	договор
160	тип	тип	тип	тип	тип	вид
161	элемент	элемент	элемент	элемент	элемент	элемент
162	design time	design time	design time	design time	design time	▁37
163	тип	тип	тип	тип	тип	вид
164	график	схема	график	расписание	график	планирование
165	тип	тип	тип	тип	тип	вид
166	получить	получить	получить	получить	получить	получить
167	обновить	изменить	обновить	обновить	обновить	обновить
168	скачать	скачать	скачать	скачать	скачать	▁41
169	проверить	проверить	проверить	проверить	проверить	проверить
170	пространство	место	пространство	пространство	пространство	пространство
171	тип	тип	тип	тип	тип	вид
172	пауза	пауза	пауза	пауза	пауза	▁75
173	тип разграничение	тип разграничение	тип разграничение	тип операция	тип разграничение	▁119
174	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
175	мастер	мастер	мастер	мастер	мастер	мастер
176	тип	тип	тип	тип	тип	вид
177	тип	тип	тип	тип	тип	вид
178	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
179	редактирование	редактировать	редактирование	редактировать	редактирование	редактировать
180	ввод	входящий	ввод	вход	ввод	▁56
181	распределение	распределение	распределение	распределение	распределение	распределение
182	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁102
183	запрос	заявка	запрос	запрос	запрос	заявка
184	использовать	использовать	использовать	использовать	использовать	▁123
185	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
186	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
187	пространство	место	пространство	пространство	пространство	пространство
188	тип	тип	тип	тип	тип	вид
189	получить	получить	получить	получить	получить	получить
190	заказ на поставка	заказ на поставка	заказ на поставка	заказ на поставка	заказ на поставка	▁83
191	заказ на поставка	заказ на поставка	заказ на поставка	заказ на поставка	заказ на поставка	▁2
192	заказ продажа	заказ продажа	заказ продажа	заказ продажа	заказ продажа	▁99
193	тип	тип	тип	тип	тип	вид
194	исключение	исключение	исключение	исключение	исключение	исключение
195	тип	тип	тип	тип	тип	вид
196	▔	категория	▔	категория	▔	категория
197	элемент	элемент	элемент	элемент	элемент	элемент
198	обновить	изменить	обновить	обновить	обновить	обновить
199	тип	тип	тип	тип	тип	вид
200	регламент	регламент	регламент	регламент	регламент	▁87
201	присвоение источник	присвоение источник	присвоение источник	присвоение источник	присвоение источник	▁106
202	термин	термин	термин	назначение	термин	▁115
203	мастер	мастер	мастер	мастер	мастер	мастер
204	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
205	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
206	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
207	тип	тип	тип	тип	тип	вид
208	тип	тип	тип	тип	тип	вид
209	период хранение	период хранение	период хранение	период хранение	период хранение	период хранение
210	тип операция	тип разграничение	тип операция	тип операция	тип операция	▁119
211	тип	тип	тип	тип	тип	вид
212	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁102
213	расчёт процент	расчёт процент	расчёт процент	расчёт процент	расчёт процент	▁59
214	предмет	предмет	предмет	предмет	предмет	▁25
215	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
216	редактирование	редактировать	редактирование	редактировать	редактирование	редактировать
217	заказ на поставка	заказ на поставка	заказ на поставка	заказ на поставка	заказ на поставка	▁83
218	заказ на поставка	заказ на поставка	заказ на поставка	заказ на поставка	заказ на поставка	▁2
219	объединение	объединение	объединение	объединение	объединение	▁67
220	работа пакет	работа пакет	работа пакет	работа пакет	работа пакет	▁128
221	▔	тип	▔	тип	▔	вид
222	▔	схема	▔	расписание	▔	планирование
223	пауза	пауза	пауза	пауза	пауза	▁75
224	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁13
225	вид	тип	вид	тип	вид	вид
226	обновить	изменить	обновить	обновить	обновить	обновить
227	операция	операция	операция	действие	операция	операция
228	тип	тип	тип	тип	тип	вид
229	where-used list	where-used list	where-used list	where-used list	where-used list	▁126
230	запись	запись	запись	запись	запись	запись
231	ремонт	ремонт	ремонт	ремонт	ремонт	ремонт
232	контракт	контракт	контракт	контракт	контракт	договор
233	environment , health , and safety	environment , health , and safety	environment , health , and safety	environment , health , and safety	environment , health , and safety	▁0
234	тип	тип	тип	тип	тип	вид
235	запросить	заявка	запросить	запрос	запросить	заявка
236	агент	агент	агент	агент	агент	агент
237	запрос	заявка	запрос	запрос	запрос	заявка
238	калькуляция	калькуляция	калькуляция	выполнить	калькуляция	выполнить
239	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁102
240	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
241	признак	признак	признак	признак	признак	характеристика
242	период хранение	период хранение	период хранение	период хранение	период хранение	период хранение
243	перевозчик	перевозчик	перевозчик	перевозчик	перевозчик	перевозчик
244	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁102
245	использовать	использовать	использовать	использовать	использовать	▁123
246	тип транспорт	тип транспорт	тип транспорт	тип транспорт	тип транспорт	▁121
247	тип	тип	тип	тип	тип	вид
248	договор	контракт	договор	контракт	договор	договор
249	заказ продажа	заказ продажа	заказ продажа	заказ продажа	заказ продажа	▁99
250	отпуск	отпуск	отпуск	отпуск	отпуск	▁88
251	организация	организация	организация	организация	организация	▁24
252	организация	организация	организация	организация	организация	▁24
253	обзор	описание	обзор	обзор	обзор	▁112
254	изменить	изменить	изменить	изменить	изменить	изменить
255	открытый	открыто	открытый	открыто	открытый	открыто
256	просмотр	просмотр	просмотр	просмотр	просмотр	▁68
257	тип	тип	тип	тип	тип	вид
258	тип	тип	тип	тип	тип	▁44
259	установить	установить	установить	установить	установить	▁104
260	тип	тип	тип	тип	тип	вид
261	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
262	список счёт	схема	список счёт	расписание	список счёт	планирование
263	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
264	тип	тип	тип	тип	тип	вид
265	тип	тип	тип	тип	тип	вид
266	отчётность	отчётность	отчётность	отчётность	отчётность	▁89
267	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
268	▔	тип	▔	тип	▔	вид
269	назначение	термин	назначение	назначение	назначение	▁115
270	тип	тип	тип	тип	тип	вид
271	контракт	контракт	контракт	контракт	контракт	договор
272	тип	тип	тип	тип	тип	вид
273	включить	активировать	включить	активировать	включить	активировать
274	изменить	редактировать	изменить	редактировать	изменить	редактировать
275	промежуток	промежуток	промежуток	промежуток	промежуток	▁49
276	модель потребление	модель потребление	модель потребление	модель потребление	модель потребление	▁32
277	расписание	схема	расписание	расписание	расписание	планирование
278	просмотр	просмотр	просмотр	просмотр	просмотр	▁97
279	обновление	изменить	обновление	обновить	обновление	обновить
280	тип	тип	тип	тип	тип	вид
281	контролёр	контролёр	контролёр	контроллер	контролёр	оператор
282	экстракт	экстракт	экстракт	экстракт	экстракт	▁109
283	согласие	согласие	согласие	согласие	согласие	согласие
284	использовать	использовать	использовать	использовать	использовать	▁123
285	количество	количество	количество	количество	количество	▁7
286	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
287	применить	применить	применить	применить	применить	▁9
288	отменить	отмена	отменить	отмена	отменить	отмена
289	тип	тип	тип	тип	тип	вид
290	получить	получить	получить	получить	получить	получить
291	лот	лот	лот	лот	лот	▁63
292	проверка	проверить	проверка	проверить	проверка	проверить
293	тип	тип	тип	тип	тип	вид
294	выполнить	калькуляция	выполнить	выполнить	выполнить	выполнить
295	изменить	редактировать	изменить	редактировать	изменить	редактировать
296	изменить	изменить	изменить	изменить	изменить	изменить
297	запись журнал	запись журнал	запись журнал	запись журнал	запись журнал	запись журнал
298	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
299	счёт	счёт	счёт	счёт	счёт	счёт
300	следующий	следующий	следующий	следующий	следующий	▁48
301	тип	тип	тип	тип	тип	вид
302	следующий	следующий	следующий	следующий	следующий	▁48
303	время хранение	время хранение	время хранение	время хранение	время хранение	▁94
304	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
305	изменить	изменить	изменить	изменить	изменить	изменить
306	тип	тип	тип	тип	тип	вид
