	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁26
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	job	job	job	job	job	job
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	artículo	artículo	artículo	elemento	artículo	elemento
6	explosión	explosión	explosión	explosión	explosión	▁41
7	añadir	añadir	añadir	añadir	añadir	añadir
8	rango	rango	rango	rango	rango	▁61
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	origen	fuente	fuente
12	▔	▁2	▔	▁1	▔	editar
13	filtro	filtro	filtro	disponibilidad	filtro	restablecer
14	añadir	añadir	añadir	añadir	añadir	añadir
15	incidente	incidente	incidente	id	incidente	incidencia
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	desactivado	desactivado	desactivado	apagar	desactivado	▁88
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	restablecer	filtro	restablecer	disponibilidad	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁19
24	programación	programación	programación	programación	programación	programación
25	editar	▁2	editar	▁1	editar	editar
26	completar	completar	completar	completar	completar	completar
27	replicación	replicación	replicación	replicación	replicación	▁52
28	uso	uso	uso	uso	uso	uso
29	programación	programación	programación	programación	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	horario	programación	horario	programación	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁29
34	▔	rango	▔	rango	▔	▁61
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁85
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	predefinida	predefinida	predefinida	predeterminado	predefinida	▁33
44	disponibilidad	filtro	disponibilidad	disponibilidad	disponibilidad	restablecer
45	▔	▁3	▔	▁2	▔	▁65
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	job	trabajo	job	trabajo	job
50	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completar	completar	completar	completar	completar	completar
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	azulejo	nuevo versión	▁68
55	resultado	resultado	resultado	resultado	resultado	▁69
56	programación	programación	programación	programación	programación	programación
57	trabajo	job	trabajo	job	trabajo	job
58	cliente	cliente	cliente	cliente	cliente	▁29
59	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	substituto	substituto	substituto	substituto	substituto	▁74
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	característica	función	▁42
63	cliente	cliente	cliente	cliente	cliente	▁29
64	llamado	llamado	llamado	llamado	llamado	▁18
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	reproducción	reproducción	reproducción	replicación	reproducción	reproducción
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	definir
68	cambio	cambio	cambio	cambio	cambio	▁21
69	clave	eliminar	clave	eliminar	clave	borrar
70	añadir	añadir	añadir	añadir	añadir	añadir
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁4
72	socio	socio	socio	socio	socio	socio
73	▔	predefinida	▔	predeterminado	▔	▁33
74	apagar	desactivado	apagar	apagar	apagar	▁88
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁79
77	cliente	cliente	cliente	cliente	cliente	▁29
78	tipo	tipo	tipo	tipo	tipo	▁63
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁46
80	ejecución	ejecución	ejecución	ejecución	ejecución	▁53
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
