	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	s	s	s	s	s	▁35
1	botón	botón	botón	botón	botón	▁77
2	botón	botón	botón	botón	botón	trabajo
3	facturación	facturación	facturación	▁27	facturación	informe
4	antigüedad	antigüedad	antigüedad	antigüedad	antigüedad	medio
5	él	él	él	objeto	él	▁66
6	▔	▁19	▔	explosión	▔	▁56
7	añada	añada	añada	añadir	añada	agregar
8	de	de	de	dato	de	▁94
9	origen	origen	origen	origen	origen	fuente
10	nuevo	nuevo	nuevo	▁36	nuevo	plantilla
11	federación	origen	federación	origen	federación	fuente
12	editar	editar	editar	editar	editar	editar
13	reinicializa	reinicializa	reinicializa	reinicializa	reinicializa	▁103
14	introducir	añada	introducir	añadir	introducir	agregar
15	s	s	s	▁19	s	▁64
16	botón	nuevo	botón	▁36	botón	plantilla
17	▔	▁30	▔	guardar	▔	guardar
18	anulación	anulación	anulación	anulación	anulación	▁141
19	botón	botón	botón	▁34	botón	pestaña
20	comercial	comercial	comercial	socio	comercial	socio
21	s	s	s	s	s	▁107
22	utilizar	reinicializa	utilizar	reinicializa	utilizar	▁103
23	elemento	elemento	elemento	elemento	elemento	▁24
24	lista	lista	lista	▁29	lista	▁110
25	modificar	editar	modificar	editar	modificar	editar
26	utilizar	utilizar	utilizar	completado	utilizar	completar
27	pausa	pausa	pausa	pausa	pausa	▁78
28	▔	▁42	▔	modificar	▔	▁137
29	su	lista	su	▁29	su	▁110
30	suprímas	suprímas	suprímas	eliminar	suprímas	eliminar
31	▔	lista	▔	▁29	▔	▁110
32	▔	▁44	▔	▁40	▔	▁140
33	proveedor	proveedor	proveedor	proveedor	proveedor	▁38
34	▔	de	▔	dato	▔	▁94
35	▔	▁13	▔	▁14	▔	▁44
36	▔	▁26	▔	▁24	▔	▁86
37	uso	uso	uso	uso	uso	▁135
38	▔	botón	▔	▁34	▔	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁26	patrón de recurrencia	▁98
40	internet	internet	internet	internet	internet	▁89
41	ejecución	lista	ejecución	▁29	ejecución	▁110
42	▔	▁30	▔	guardar	▔	guardar
43	admisible	admisible	admisible	admisible	admisible	▁43
44	reinicializar	reinicializa	reinicializar	reinicializa	reinicializar	▁103
45	destino	destino	destino	destino	destino	▁100
46	generador	botón	generador	▁34	generador	pestaña
47	▔	nuevo	▔	▁36	▔	plantilla
48	modificar	modificar	modificar	modificar	modificar	▁83
49	programado	botón	programado	botón	programado	trabajo
50	▔	patrón de recurrencia	▔	▁26	▔	▁98
51	s	botón	s	▁34	s	pestaña
52	completado	utilizar	completado	completado	completado	completar
53	▔	▁28	▔	destino	▔	▁102
54	guardar como	guardar como	guardar como	azulejo	guardar como	guardar como
55	posición	posición	posición	posición	posición	▁111
56	tarea	lista	tarea	▁29	tarea	▁110
57	programado	botón	programado	botón	programado	trabajo
58	cliente	proveedor	cliente	proveedor	cliente	▁38
59	▔	patrón de recurrencia	▔	▁26	▔	▁98
60	▔	▁33	▔	▁31	▔	▁121
61	revisar	revisar	revisar	revisar	revisar	▁105
62	▔	▁20	▔	característica	▔	▁57
63	usuario	proveedor	usuario	proveedor	usuario	▁38
64	▔	▁4	▔	▁7	▔	▁23
65		botón		▁34		pestaña
66	replicación	replicación	replicación	replicación	replicación	▁101
67	bloquear	bloquear	bloquear	bloquear	bloquear	▁113
68	▔	▁6	▔	▁9	▔	▁26
69	suprimir	suprímas	suprimir	eliminar	suprimir	eliminar
70	modificar	añada	modificar	añadir	modificar	agregar
71	cuenta	cuenta	cuenta	cuenta	cuenta	▁4
72	comercial	comercial	comercial	socio	comercial	socio
73	admisible	admisible	admisible	admisible	admisible	▁43
74	escribir off	anulación	escribir off	anulación	escribir off	▁141
75	tipo	tipo	tipo	s	tipo	▁73
76	transacción	transacción	transacción	transacción	transacción	▁130
77	proveedor	proveedor	proveedor	proveedor	proveedor	▁38
78	cuadro	cuadro	cuadro	cuadro	cuadro	▁97
79	columna	columna	columna	columna	columna	▁62
80	obligación	obligación	obligación	obligación	obligación	▁79
81	▔	▁45	▔	lista de trabajo	▔	lista de trabajo
82	tipo	tipo	tipo	tipo	tipo	tipo
83	posición	botón	posición	▁34	posición	pestaña
84	▔	lista	▔	▁29	▔	▁110
85	lista de trabajo	▁45	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	agregar	añada	agregar	añadir	agregar	agregar
87	ciclo	ciclo	ciclo	▁2	ciclo	▁7
88	▔	▁27	▔	▁25	▔	▁88
89	▔	ciclo	▔	▁2	▔	▁7
90	socio	comercial	socio	socio	socio	socio
91	▔	s	▔	▁19	▔	▁64
92	▔	▁10	▔	uso	▔	▁34
93	▔	ciclo	▔	▁2	▔	▁7
94	▔	▁1	▔	▁4	▔	▁9
95	información	información	información	información	información	▁63
96	eliminar	suprímas	eliminar	eliminar	eliminar	eliminar
97	tipo	tipo	tipo	tipo	tipo	▁118
98	trabajo	botón	trabajo	botón	trabajo	trabajo
99	sistema	sistema	sistema	sistema	sistema	▁29
100	lista	facturación	lista	▁27	lista	informe
101	▔	botón	▔	botón	▔	trabajo
102	revisar	revisar	revisar	revisar	revisar	▁132
103	industria	tipo	industria	tipo	industria	tipo
104	comercial	comercial	comercial	socio	comercial	socio
105	verídico	admisible	verídico	admisible	verídico	▁43
106	inspector	▁42	inspector	modificar	inspector	▁137
107	definir	definir	definir	definir	definir	▁58
108	cancelar uno	cancelar uno	cancelar uno	cancelar uno	cancelar uno	confirmación de servicio
109	universal	ciclo	universal	▁2	universal	▁7
110	proveedor	proveedor	proveedor	proveedor	proveedor	▁38
111	▔	él	▔	objeto	▔	▁66
112	▔	s	▔	▁19	▔	▁64
113	empresa	comercial	empresa	socio	empresa	socio
114	servicio	servicio	servicio	servicio	servicio	▁87
115	▔	botón	▔	▁34	▔	pestaña
116	▔	▁41	▔	tipo de transacción	▔	tipo de transacción
117	facturar	facturar	facturar	facturación	facturar	facturar
118	capacidad	capacidad	capacidad	capacidad	capacidad	emisión
119	necesario	necesario	necesario	necesario	necesario	▁76
120	▔	▁30	▔	guardar	▔	guardar
121	para	▁42	para	modificar	para	▁137
122	▔	botón	▔	▁34	▔	pestaña
123	▔	▁7	▔	comprobación	▔	▁27
124	▔	▁5	▔	▁8	▔	▁25
125	público	▁44	público	▁40	público	▁140
126	entrada	entrada	entrada	entrada	entrada	entrada
127	origen	origen	origen	alcance	origen	alcance
128	modificar	▁42	modificar	modificar	modificar	▁137
129	botón	botón	botón	▁34	botón	pestaña
130	asignación	tipo	asignación	tipo	asignación	tipo
131	compartir	compartir	compartir	compartir	compartir	▁114
132	s	s	s	requisito	s	requisito
133	▔	nuevo	▔	▁36	▔	plantilla
134	botón	botón	botón	botón	botón	▁22
135	▔	▁40	▔	duración	▔	hora
136	botón	lista	botón	▁29	botón	▁110
137	origen	origen	origen	origen	origen	fuente
138	uso	uso	uso	uso	uso	▁136
139	medida	tipo	medida	s	medida	▁73
140	▔	▁44	▔	▁40	▔	▁140
141	s	tipo	s	tipo	s	tipo
142	s	tipo	s	s	s	▁73
143	▔	nuevo	▔	▁36	▔	plantilla
144	progreso	progreso	progreso	progreso	progreso	▁33
145	▔	▁30	▔	guardar	▔	guardar
146	▔	▁2	▔	▁5	▔	▁18
147	▔	▁24	▔	▁22	▔	▁82
148	sustituye uno existente	sustituye uno existente	sustituye uno existente	comercial	sustituye uno existente	▁84
149	y	lista	y	▁29	y	▁110
150	requisito	s	requisito	requisito	requisito	requisito
151	unidad	tipo	unidad	s	unidad	▁73
152	comprobación	▁7	comprobación	comprobación	comprobación	▁27
153	▔	▁34	▔	▁32	▔	▁122
154	s comercial	botón	s comercial	botón	s comercial	▁77
155	▔	comercial	▔	socio	▔	socio
156	▔	obligación	▔	obligación	▔	▁79
157	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar	ejecutar
158	añadir	añada	añadir	añadir	añadir	agregar
159	botón	botón	botón	botón	botón	▁22
160	modificar	▁7	modificar	comprobación	modificar	▁27
161	lista de trabajo	▁45	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
162	partner partner partner partner	comercial	partner partner partner partner	socio	partner partner partner partner	socio
163	mismo	mismo	mismo	entidad	mismo	▁117
164	▔	▁14	▔	▁15	▔	▁45
165	estado	sustituye uno existente	estado	comercial	estado	▁84
166	empresa público	empresa público	empresa público	empresa público	empresa público	▁2
167	botón	botón	botón	botón	botón	▁81
168	▔	comercial	▔	socio	▔	socio
169	modificar	añada	modificar	añadir	modificar	agregar
170	modificar	suprímas	modificar	eliminar	modificar	eliminar
171	comercial	comercial	comercial	socio	comercial	socio
172	revisar	revisar	revisar	liberación	revisar	▁72
173	▔	nuevo	▔	▁36	▔	plantilla
