	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁27
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	job	job	job	job	job	job
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	artículo	artículo	artículo	elemento	artículo	elemento
6	explosión	explosión	explosión	explosión	explosión	▁43
7	añadir	añadir	añadir	añadir	añadir	añadir
8	rango	rango	rango	rango	rango	▁64
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	origen	fuente	fuente
12	generador	generador	generador	editar	generador	editar
13	▔	▁5	▔	▁4	▔	restablecer
14	añadir	añadir	añadir	añadir	añadir	añadir
15	incidente	incidente	incidente	id	incidente	incidencia
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	desactivado	desactivado	desactivado	apagar	desactivado	▁89
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	restablecer	▁5	restablecer	▁4	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁19
24	programación	programación	programación	programación	programación	programación
25	editar	generador	editar	editar	editar	editar
26	completar	completar	completar	completar	completar	completar
27	replicación	replicación	replicación	replicación	replicación	▁55
28	uso	uso	uso	uso	uso	uso
29	programación	programación	programación	programación	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	horario	programación	horario	programación	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁30
34	plazo	rango	plazo	rango	plazo	▁64
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁86
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	predefinida	predefinida	predefinida	predeterminado	predefinida	▁35
44	▔	▁5	▔	▁4	▔	restablecer
45	▔	▁4	▔	▁3	▔	▁68
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	job	trabajo	job	trabajo	job
50	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completar	completar	completar	completar	completar	completar
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	azulejo	nuevo versión	▁71
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁72
56	programación	programación	programación	programación	programación	programación
57	trabajo	job	trabajo	job	trabajo	job
58	cliente	cliente	cliente	cliente	cliente	▁30
59	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	substituto	substituto	substituto	substituto	substituto	▁76
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	característica	función	▁44
63	cliente	cliente	cliente	cliente	cliente	▁30
64	llamado	llamado	llamado	llamado	llamado	▁18
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	reproducción	reproducción	reproducción	replicación	reproducción	reproducción
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	definir
68	cambio	cambio	cambio	cambio	cambio	▁21
69	clave	eliminar	clave	eliminar	clave	borrar
70	añadir	añadir	añadir	añadir	añadir	añadir
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁4
72	socio	socio	socio	socio	socio	socio
73	▔	predefinida	▔	predeterminado	▔	▁35
74	apagar	desactivado	apagar	apagar	apagar	▁89
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁80
77	cliente	cliente	cliente	cliente	cliente	▁30
78	tipo	tipo	tipo	tipo	tipo	▁66
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁49
80	obligación	obligación	obligación	ejecución	obligación	▁56
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	programación	programación	programación	programación	programación	programación
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	eliminar	añadir	eliminar	añadir	eliminar	añadir
87	asignación	asignación	asignación	asignación	asignación	▁7
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁7
90	socio	socio	socio	socio	socio	socio
91	id	incidente	id	id	id	incidencia
92	consumo	consumo	consumo	consumo	consumo	▁26
93	asignación	asignación	asignación	asignación	asignación	▁7
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁75
98	empleo	job	empleo	job	empleo	job
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	job	job	job	job	job	job
102	activar	activar	activar	activar	activar	▁83
103	tipo	procedimiento	tipo	tipo	tipo	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	predefinida	predeterminado	predeterminado	predeterminado	▁35
106	utilizar	uso	utilizar	uso	utilizar	uso
107	tasa	tasa	tasa	tasa	tasa	▁45
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁7
110	cliente	cliente	cliente	cliente	cliente	▁30
111	elemento	artículo	elemento	elemento	elemento	elemento
112	incidencia	incidente	incidencia	id	incidencia	incidencia
113	▔	socio	▔	socio	▔	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁60
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de operación	tipo de transacción	▁81
117	facturado	facturado	facturado	factura	facturado	▁11
118	problema	problema	problema	problema	problema	problema
119	salida	salida	salida	salida	salida	▁54
120	guardar	guardar	guardar	guardar	guardar	guardar
121	uso	uso	uso	uso	uso	uso
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	diagnóstico	diagnóstico	diagnóstico	comprobar	diagnóstico	▁22
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁20
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrada	entrada	entrada	entrada	entrada	entrada
127	alcance	alcance	alcance	alcance	alcance	alcance
128	utilizar	uso	utilizar	uso	utilizar	uso
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	compartición	compartición	compartición	compartición	compartición	compartición
132	requisito	requisito	requisito	requisito	requisito	requisito
133	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
134	botón	botón	botón	botón	botón	▁17
135	tiempo	tiempo	tiempo	hora	tiempo	tiempo
136	programación	programación	programación	programación	programación	programación
137	origen	origen	origen	origen	origen	fuente
138	uso	uso	uso	uso	uso	uso
139	medida	medida	medida	medida	medida	medida
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	medida
143	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
144	incompleto	incompleto	incompleto	completar	incompleto	▁25
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁14
147	pago anticipado	pago anticipado	pago anticipado	pago anticipado	pago anticipado	▁58
148	proceso	proceso	proceso	paso de proceso	proceso	paso de proceso
149	programación	programación	programación	programación	programación	programación
150	requisito	requisito	requisito	requisito	requisito	requisito
151	medida	medida	medida	medida	medida	medida
152	▔	diagnóstico	▔	comprobar	▔	▁22
153	suplemento	suplemento	suplemento	suplemento	suplemento	▁77
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	ejecución	obligación	ejecución	ejecución	ejecución	▁56
157	asignación	asignación	asignación	asignación	asignación	ejecutar
158	añadir	añadir	añadir	añadir	añadir	añadir
159	botón	botón	botón	botón	botón	▁17
160	comprobar	diagnóstico	comprobar	comprobar	comprobar	▁22
161	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	sitio	sitio	sitio
164	impulsar	impulsar	impulsar	impulsar	impulsar	▁36
165	paso de proceso	proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
166	afiliado sap	afiliado sap	afiliado sap	afiliado sap	afiliado sap	▁2
167	ventana	ventana	ventana	ventana	ventana	▁57
168	socio	socio	socio	socio	socio	socio
169	añadir	añadir	añadir	añadir	añadir	añadir
170	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
171	socio	socio	socio	socio	socio	socio
172	bloquear	bloquear	bloquear	bloquear	bloquear	bloquear
173	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
174	asignación	asignación	asignación	asignación	asignación	▁7
175	asignación	asignación	asignación	asignación	asignación	▁7
176	rescisión	rescisión	rescisión	rescisión	rescisión	rescisión
177	caso de uso	caso de uso	caso de uso	caso de uso	caso de uso	▁87
178	borrar	eliminar	borrar	eliminar	borrar	borrar
