	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	chairman	chairman	chairman	chief executive	chairman	chief executive
1	u.s. trade tension	u.s. trade tension	u.s. trade tension	sino trade tension	u.s. trade tension	us trade tension
2	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike
3	geopolitical	geopolitical	geopolitical	geopolitical risk	geopolitical	▁72
4	annual report	annual report	annual report	annual report	annual report	annual report
5	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index
6	fervent investment sentiment	fervent investment sentiment	fervent investment sentiment	fervent investment sentiment	fervent investment sentiment	▁171
7	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
8	federal reserve	federal reserve	federal reserve	federal reserve	federal reserve	▁216
9	stock	stock	stock	equity	stock	▁219
10	stock index	stock index	stock index	stock index	stock index	▁220
11	brexit	brexit	brexit	brexit	brexit	brexit
12	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	▁222
13	▔	▁16	▔	financial market	▔	financial market
14	interest rate normalization	interest rate normalization	interest rate normalization	interest rate normalization	interest rate normalization	▁56
15	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike
16	exchange rate system	exchange rate system	exchange rate system	system	exchange rate system	▁60
17	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund
18	▔	▁7	▔	fund	▔	▁77
19	basis point	basis point	basis point	basis point	basis point	basis point
20	prime	prime	prime	prime	prime	▁149
21	region government	region government	region government	government	region government	▁174
22	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
23	us interest rate	us interest rate	us interest rate	rate	us interest rate	▁210
24	us interest rate	us interest rate	us interest rate	us interest rate	us interest rate	us interest rate
25	rate system	rate system	rate system	system	rate system	▁217
26	authority	authority	authority	hkma	authority	hkma
27	financial system	financial system	financial system	financial system	financial system	financial system
28	interbank	interbank	interbank	hibor	interbank	▁309
29	g20	g20	g20	g20	g20	g20
30	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance
31	public fund	public fund	public fund	public fund	public fund	▁47
32	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard
33	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail
