	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	央行	央行	央行	央行	央行	中央銀行
1	貨幣政策	貨幣政策	貨幣政策	貨幣政策	貨幣政策	▁260
2	失業率	失業率	失業率	失業率	失業率	失業率
3	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒
4	19	19	19	19	19	▁93
5	香港金融管理局總裁	香港金融管理局總裁	香港金融管理局總裁	香港金融管理局總裁	香港金融管理局總裁	▁65
6	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	金管局
7	▔	▁18	▔	▁20	▔	▁239
8	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
9	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
10	資金外流	資金外流	資金外流	資金外流	資金外流	▁285
11	迅速	迅速	迅速	迅速	迅速	▁372
12	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
13	資產質素	資產質素	資產質素	資產品 質	資產質素	資產質素
14	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
15	逆週期宏觀審慎措施	逆週期宏觀審慎措施	逆週期宏觀審慎措施	逆週期宏觀審慎措施	逆週期宏觀審慎措施	▁92
16	外匯儲備	外匯儲備	外匯儲備	外匯儲備	外匯儲備	外匯儲備
17	樓市	樓市	樓市	樓市	樓市	物業市場
18	港元資金流動	港元資金流動	港元資金流動	港元資金	港元資金流動	▁196
19	銀行體系穩定	銀行體系穩定	銀行體系穩定	銀行體系穩定	銀行體系穩定	銀行體系穩定
20	銀行監管	銀行監管	銀行監管	銀行監督	銀行監管	銀行監管
21	應急 計劃	應急 計劃	應急 計劃	應急 計劃	應急 計劃	▁81
22	信貸及流動性風險	信貸及流動性風險	信貸及流動性風險	信貸及流動性風險	信貸及流動性風險	▁94
23	市場監測	市場監測	市場監測	市場監察	市場監測	市場監察
24	壓力測試	壓力測試	壓力測試	▁26	壓力測試	壓力測試
25	FATF	FATF	FATF	FATF	FATF	▁145
26	金融 行動 工作 組	金融 行動 工作 組	金融 行動 工作 組	金融 行動 工作 組	金融 行動 工作 組	▁149
27	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
28	相互評估	相互評估	相互評估	相互評估	相互評估	相互評估
29	監管體制	監管體制	監管體制	監管制度	監管體制	監管制度
30	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
31	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
32	銀行業	銀行業	銀行業	銀行業	銀行業	▁381
33	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	▁37
34	逆週期資本緩衝比率	逆週期資本緩衝比率	逆週期資本緩衝比率	逆週期資本緩衝比率	逆週期資本緩衝比率	▁90
35	銀行體系穩定	銀行體系穩定	銀行體系穩定	銀行體系穩定	銀行體系穩定	銀行體系穩定
36	基本 銀行	基本 銀行	基本 銀行	基本 銀行	基本 銀行	基本銀行服務
37	貸款能力	貸款能力	貸款能力	貸款能力	貸款能力	▁238
38	法定準備金率	法定準備金率	法定準備金率	法定準備金率	法定準備金率	▁322
