	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機
1	中國大陸	中國大陸	中國大陸	內地	中國大陸	內地
2	中國大陸	中國大陸	中國大陸	中國大陸	中國大陸	▁316
3	三月銀行動盪	三月銀行動盪	三月銀行動盪	三月銀行動盪	三月銀行動盪	▁321
4	中東	中東	中東	中東	中東	中東
5	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	▁450
6	銀行動盪	銀行動盪	銀行動盪	銀行動盪	銀行動盪	銀行危機
7	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦
8	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
9	全球經濟成長	全球經濟成長	全球經濟成長	全球經濟增長	全球經濟成長	全球經濟增長
10	通脹路徑	通脹路徑	通脹路徑	通脹路徑	通脹路徑	▁262
11	利率展望	利率展望	利率展望	利率前景	利率展望	利率前景
12	市場情緒	市場情緒	市場情緒	市場情緒	市場情緒	▁324
13	貨幣政策	貨幣政策	貨幣政策	貨幣政策	貨幣政策	▁339
14	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁497
15	國際清算銀行	國際清算銀行	國際清算銀行	▁3	國際清算銀行	國際結算銀行
16	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	▁29
17	▔	▁14	▔	全球金融領導人投資峰會	▔	▁201
18	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	金管局
19	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
20	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
21	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
22	國內生產總值	國內生產總值	國內生產總值	國內生產總值	國內生產總值	▁217
23	入境旅遊業	入境旅遊業	入境旅遊業	入境旅遊	入境旅遊業	入境旅遊業
24	勞動市場	勞動市場	勞動市場	勞動市場	勞動市場	▁289
25	新常態	新常態	新常態	新常態	新常態	新常態
26	私人消費	私人消費	私人消費	私人消費	私人消費	私人消費
27	政府	政府	政府	政府	政府	政府
28	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	金管局
29	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
30	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
31	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	▁314
32	貨幣及銀行體系穩定	貨幣及銀行體系穩定	貨幣及銀行體系穩定	貨幣 銀行 穩定	貨幣及銀行體系穩定	▁336
33	梁錦松	梁錦松	梁錦松	梁錦松	梁錦松	梁錦松
34	▔	▁10	▔	▁11	▔	▁150
35	劉淑儀	劉淑儀	劉淑儀	余偉文	劉淑儀	余偉文
36	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	金管局
37	湯家驊	湯家驊	湯家驊	湯家驊	湯家驊	▁226
38	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區
39	張建宗	張建宗	張建宗	張建宗	張建宗	▁285
40	譚耀宗	譚耀宗	譚耀宗	譚耀宗	譚耀宗	▁286
41	陳 先生	陳 先生	陳 先生	陳 先生	陳 先生	▁359
42	先生	先生	先生	先生	先生	▁378
43	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	▁505
44	政府	政府	政府	政府	政府	政府
45	LERS	LERS	LERS	▁19	LERS	▁292
46	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
47	▔	LERS	▔	▁19	▔	▁292
48	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
49	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
50	貨幣和金融體系	貨幣和金融體系	貨幣和金融體系	貨幣及金融體系	貨幣和金融體系	貨幣及金融體系
51	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	金管局
52	貨幣發行局	LERS	貨幣發行局	▁19	貨幣發行局	▁292
53	數據分析	數據分析	數據分析	數據分析	數據分析	▁130
54	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
55	數據	數據	數據	數據	數據	▁212
56	貨幣制度	貨幣制度	貨幣制度	貨幣系統	貨幣制度	▁341
57	相關者	相關者	相關者	持份者	相關者	持份者
58	交易庫	交易庫	交易庫	交易庫	交易庫	▁516
59	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
60	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
61	資本和流動性	資本和流動性	資本和流動性	資本 和 流動 緩衝	資本和流動性	▁60
62	信貸環境	信貸環境	信貸環境	信貸環境	信貸環境	信貸環境
63	流動性	流動性	流動性	流動性	流動性	流動性
64	流動性	流動性	流動性	流動 緩衝	流動性	流動性緩衝
65	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率
66	內地	中國大陸	內地	內地	內地	內地
67	資產品	資產品	資產品	資產品	資產品	資產質素
68	銀行業	銀行業	銀行業	銀行業	銀行業	▁37
69	分類貸款比率	分類貸款比率	分類貸款比率	不良貸款比率	分類貸款比率	▁77
70	信貸風險	信貸風險	信貸風險	信貸風險	信貸風險	信用風險
71	流動性	流動性	流動性	流動性	流動性	流動性
72	期 歷史 平均值	期 歷史 平均值	期 歷史 平均值	期 歷史 平均值	期 歷史 平均值	▁306
73	房地產開發商	房地產開發商	房地產開發商	房地產開發商	房地產開發商	▁413
74	風險管理	風險管理	風險管理	風險管理	風險管理	風險管理
75	法定最低要求	法定最低要求	法定最低要求	法定最低要求	法定最低要求	法定最低要求
76	二零零八年全球金融危機	2008年全球金融危機	二零零八年全球金融危機	2008年全球金融危機	二零零八年全球金融危機	2008年全球金融危機
77	金管局	香港金融管理局	金管局	香港金融管理局	金管局	金管局
78	銀行業	銀行業	銀行業	銀行業	銀行業	▁37
79	銀行動盪	銀行動盪	銀行動盪	銀行動盪	銀行動盪	銀行危機
80	首府和流動性緩衝	資本和流動性	首府和流動性緩衝	資本 和 流動 緩衝	首府和流動性緩衝	▁60
81	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
82	金融系統	金融體系	金融系統	金融體系	金融系統	金融體系
83	全球金融市場	全球金融市場	全球金融市場	全球金融市場	全球金融市場	全球金融市場
84	內部審查	內部審查	內部審查	內部審查	內部審查	內部檢討
85	流動性	流動性	流動性	流動性	流動性	流動性
86	流動性緩衝	流動性	流動性緩衝	流動 緩衝	流動性緩衝	流動性緩衝
87	溢出效應	溢出效應	溢出效應	溢出效應	溢出效應	▁472
88	監管效能	監管效能	監管效能	監管效能	監管效能	▁485
89	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁497
90	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	金管局
91	銀行業	銀行業	銀行業	銀行業	銀行業	▁37
92	信貸風險	信貸風險	信貸風險	信貸風險	信貸風險	信用風險
93	管理	風險管理	管理	風險管理	管理	風險管理
