	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	major economy	major economy	major economy	major economy	major economy	major economy
1	interest rate cut	interest rate cut	interest rate cut	interest rate cut	interest rate cut	interest rate cut
2	▔	▁9	▔	economy	▔	member economy
3	inflation	inflation	inflation	inflation	inflation	inflation
4	authority	authority	authority	hkma	authority	hkma
5	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
6	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit
7	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
8	authority	authority	authority	hkma	authority	hkma
9	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	▁250
10	medium enterprise	medium enterprise	medium enterprise	medium enterprise	medium enterprise	small and medium enterprise
11	policy measure	policy measure	policy measure	policy measure	policy measure	policy measure
12	region government	region government	region government	kong region government	region government	▁265
13	global supply chain	global supply chain	global supply chain	global supply chain	global supply chain	global supply chain
14	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension
15	▔	▁3	▔	▁1	▔	▁66
16	real economy	real economy	real economy	real economy	real economy	real economy
17	global financial market	global financial market	global financial market	global financial market	global financial market	global financial market
18	trade protectionism	trade protectionism	trade protectionism	trade protectionism	trade protectionism	▁218
19	tariff	tariff	tariff	tariff	tariff	tariff
20	authority	authority	authority	hkma	authority	hkma
21	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
22	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system
23	system	system	system	system	system	▁197
24	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system
25	range	range	range	range	range	▁38
26	fund	fund	fund	fund	fund	imf
27	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
28	system	system	system	system	system	▁197
29	market monitoring	market monitoring	market monitoring	market monitoring	market monitoring	▁98
30	exchange system	system	exchange system	system	exchange system	▁197
31	credit risk	credit risk	credit risk	credit risk	credit risk	credit risk
32	credit risk management	credit risk management	credit risk management	credit risk management	credit risk management	credit risk management
33	reserve	reserve	reserve	provision	reserve	provision
34	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold
35	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
36	specific classify loan	specific classify loan	specific classify loan	specific classification loan	specific classify loan	▁158
37	specific classify loan ratio	specific classify loan ratio	specific classify loan ratio	specific classification loan	specific classify loan ratio	▁159
38	aggregate capital ratio	aggregate capital ratio	aggregate capital ratio	aggregate capital ratio	aggregate capital ratio	▁185
39	capital ratio	capital ratio	capital ratio	capital ratio	capital ratio	capital ratio
40	risk management	risk management	risk management	risk management	risk management	risk management
41	hong kong banking system	hong kong banking system	hong kong banking system	hong kong banking system	hong kong banking system	▁269
42	macro measure	macro measure	macro measure	macro measure	macro measure	▁84
43	mortgage ratio	mortgage ratio	mortgage ratio	▁4	mortgage ratio	▁114
44	mortgage loan	mortgage loan	mortgage loan	mortgage loan	mortgage loan	mortgage loan
45	property market	property market	property market	property market	property market	property market
46	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan
47	countercyclical macro measure	countercyclical macro measure	countercyclical macro measure	countercyclical macroprudential measure	countercyclical macro measure	countercyclical macroprudential measure
48	authority	authority	authority	hkma	authority	hkma
49	third service provider	third service provider	third service provider	third service provider	third service provider	third service provider
50	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
51	alignment work and scenario testing	alignment work and scenario testing	alignment work and scenario testing	alignment work and scenario testing	alignment work and scenario testing	▁229
52	risk management	risk management	risk management	risk management	risk management	risk management
53	technology service provider	technology service provider	technology service provider	technology service provider	technology service provider	technology service provider
54	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk
55	cyber defense capability	cyber defense capability	cyber defense capability	cyber defense capability	cyber defense capability	▁189
56	authority	authority	authority	hkma	authority	hkma
57	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure
58	financial regulator	financial regulator	financial regulator	financial regulator	financial regulator	financial regulator
59	value payment tool operator	value payment tool operator	value payment tool operator	value payment tool operator	value payment tool operator	▁37
60	fraud and money laundering intelligence taskforce	fraud and money laundering intelligence taskforce	fraud and money laundering intelligence taskforce	anti money laundering	fraud and money laundering intelligence taskforce	fraud and money laundering intelligence taskforce
61	enforcement	enforcement	enforcement	enforcement	enforcement	▁67
62	criminal proceed	criminal proceed	criminal proceed	criminal proceed	criminal proceed	criminal proceed
63	online banking	online banking	online banking	online banking	online banking	▁188
64	financial crime	financial crime	financial crime	financial crime	financial crime	financial crime
65	financial fraud	financial fraud	financial fraud	financial fraud	financial fraud	▁235
66	inter information share	inter information share	inter information share	inter information share	inter information share	▁243
67	retail bank	retail bank	retail bank	retail bank	retail bank	retail bank
68	money safe	money safe	money safe	money safe	money safe	money safe
69	money safe	money safe	money safe	money safe	money safe	money safe
70	seven cool period	seven cool period	seven cool period	seven cool period	seven cool period	▁3
71	credit product	credit product	credit product	credit product	credit product	credit product
72	credit data smart	credit data smart	credit data smart	credit data smart	credit data smart	credit data smart
73	personal credit datum service	personal credit datum service	personal credit datum service	personal credit datum service	personal credit datum service	▁29
74	cool period	cool period	cool period	cool period	cool period	cool period
75	consumer credit product	consumer credit product	consumer credit product	consumer credit product	consumer credit product	consumer credit product
76	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product
77	retail bank	retail bank	retail bank	retail bank	retail bank	retail bank
78	taskforce on sme lending	taskforce on sme lending	taskforce on sme lending	taskforce on sme lending	taskforce on sme lending	taskforce on sme lending
79	credit support	credit support	credit support	credit support	credit support	▁28
80	real economy	real economy	real economy	real economy	real economy	real economy
81	loan portfolio	loan portfolio	loan portfolio	loan portfolio	loan portfolio	loan portfolio
82	▔	authority	▔	hkma	▔	hkma
83	▔	▁12	▔	▁8	▔	▁236
84	digital harbour	digital harbour	digital harbour	cyberport	digital harbour	cyberport
85	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence
86	hkma	authority	hkma	hkma	hkma	hkma
87	financial service	financial service	financial service	financial service	financial service	financial service
88	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
89	retail bank	retail bank	retail bank	retail bank	retail bank	retail bank
90	customer service	customer service	customer service	customer service	customer service	▁258
91	risk management	risk management	risk management	risk management	risk management	risk management
92	sustainable development report	sustainable development report	sustainable development report	sustainability report	sustainable development report	sustainability report
93	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
94	sustainable finance hub	sustainable finance hub	sustainable finance hub	sustainable finance hub	sustainable finance hub	sustainable finance hub
95	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
96	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance
97	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	▁250
98	offshore bank loan	offshore bank loan	offshore bank loan	offshore bank loan	offshore bank loan	▁251
99	rmb bond	rmb bond	rmb bond	rmb bond	rmb bond	rmb bond
100	rmb liquidity facility	rmb liquidity facility	rmb liquidity facility	rmb liquidity arrangement	rmb liquidity facility	rmb liquidity facility
101	rmb trade financing liquidity facility	rmb trade financing liquidity facility	rmb trade financing liquidity facility	rmb trade financing liquidity facility	rmb trade financing liquidity facility	rmb trade financing liquidity facility
102	bond market	bond market	bond market	bond market	bond market	bond market
103	bond connect	bond connect	bond connect	bond connect	bond connect	bond connect
104	northbound scheme	northbound scheme	northbound scheme	northbound scheme	northbound scheme	northbound scheme
105	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral
106	▔	▁2	▔	ministry of finance	▔	ministry of finance
107	onshore bond	onshore bond	onshore bond	onshore bond	onshore bond	onshore bond
108	real economy	real economy	real economy	real economy	real economy	real economy
109	investment product	investment product	investment product	investment product	investment product	investment product
110	policy bank	policy bank	policy bank	policy bank	policy bank	policy bank
111	trade financing	trade financing	trade financing	trade financing	trade financing	▁219
112	hkma	authority	hkma	hkma	hkma	hkma
113	offshore rmb bond repurchase operation	offshore rmb bond repurchase operation	offshore rmb bond repurchase operation	offshore rmb bond repurchase operation	offshore rmb bond repurchase operation	▁248
114	▔	offshore rmb business	▔	offshore rmb business	▔	▁250
115	mainland 's 's proactive economic stimulus measure	mainland 's 's proactive economic stimulus measure	mainland 's 's proactive economic stimulus measure	mainland 's 's proactive economic stimulus measure	mainland 's 's proactive economic stimulus measure	mainland 's 's proactive economic stimulus measure
116	global tech cycle	global tech cycle	global tech cycle	global technology cycle	global tech cycle	global tech cycle
117	labor market	labor market	labor market	labor market	labor market	labour market
118	regional collaboration	regional collaboration	regional collaboration	regional collaboration	regional collaboration	▁51
119	international engagement	international engagement	international engagement	international cooperation	international engagement	▁60
120	international	international	international	international	international	▁61
121	external price pressure	external price pressure	external price pressure	external price pressure	external price pressure	external price pressure
122	kong	kong	kong	kong	kong	local stock market
123	property market	property market	property market	property market	property market	property market
124	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure
125	stock market	stock market	stock market	stock market	stock market	equity market
126	trade tension	trade tension	trade tension	trade tension	trade tension	trade tension
127	inflation	inflation	inflation	inflation	inflation	inflation
128	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
129	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
130	hong kong banking system	hong kong banking system	hong kong banking system	hong kong banking system	hong kong banking system	▁269
131	geopolitical situation	geopolitical situation	geopolitical situation	geopolitical situation	geopolitical situation	geopolitical tension
132	foreign exchange	foreign exchange	foreign exchange	exchange fund	foreign exchange	foreign exchange
133	global growth outlook	global growth outlook	global growth outlook	global growth outlook	global growth outlook	▁163
134	us monetary policy	us monetary policy	us monetary policy	us monetary policy	us monetary policy	us monetary policy
135	link exchange rate system	linked exchange rate system	link exchange rate system	linked exchange rate system	link exchange rate system	linked exchange rate system
136	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability
137	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy
138	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
139	small and medium enterprise	medium enterprise	small and medium enterprise	medium enterprise	small and medium enterprise	small and medium enterprise
140	contingency plan	contingency plan	contingency plan	contingency plan	contingency plan	contingency plan
141	generative intelligence	generative artificial intelligence	generative intelligence	generative artificial intelligence	generative intelligence	generative artificial intelligence
142	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox
143	regulatory guidance	regulatory guidance	regulatory guidance	regulatory guidance	regulatory guidance	▁173
144	cybersecurity	cybersecurity	cybersecurity	cyber resilience	cybersecurity	cyber resilience
145	cross initiative	cross initiative	cross initiative	cross initiative	cross initiative	▁225
146	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
147	hkma	authority	hkma	hkma	hkma	hkma
148	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
149	risk supervision	risk supervision	risk supervision	risk supervision	risk supervision	risk supervision
150	second property transaction	second property transaction	second property transaction	second property transaction	second property transaction	▁12
151	▔	credit product	▔	credit product	▔	credit product
152	credit data smart	credit data smart	credit data smart	credit data smart	credit data smart	credit data smart
153	personal credit datum service	personal credit datum service	personal credit datum service	personal credit datum service	personal credit datum service	▁29
154	cool period	cool period	cool period	cool period	cool period	cool period
155	payment arrangement	payment arrangement	payment arrangement	payment arrangement	payment arrangement	▁119
156	digital bank	digital bank	digital bank	digital bank	digital bank	digital bank
157	digital asset activity	digital asset activity	digital asset activity	activity related digital asset	digital asset activity	digital asset activity
158	money safe	money safe	money safe	money safe	money safe	money safe
159	consumer product	consumer credit product	consumer product	consumer credit product	consumer product	consumer credit product
160	consumer protection	consumer protection	consumer protection	consumer protection	consumer protection	consumer protection
161	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product
162	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence
163	hkma	authority	hkma	hkma	hkma	hkma
164	consumer protection	consumer protection	consumer protection	bank customer	consumer protection	▁240
165	bank consumer protection	bank consumer protection	bank consumer protection	bank consumer protection	bank consumer protection	bank consumer protection
166	customer service	customer service	customer service	customer service	customer service	▁258
167	public partnership platform	public partnership platform	public partnership platform	public partnership platform	public partnership platform	public partnership platform
168	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report
169	combating money laundering and terrorist financing	combating money laundering and terrorist financing	combating money laundering and terrorist financing	combating money laundering and terrorist financing	combating money laundering and terrorist financing	▁105
170	authorize payment fraud	authorize payment fraud	authorize payment fraud	authorize payment fraud	authorize payment fraud	▁116
171	money laundering and terrorist financing	money laundering and terrorist financing	money laundering and terrorist financing	money laundering and terrorist financing	money laundering and terrorist financing	money laundering and terrorist financing
172	illicit proceed	criminal proceed	illicit proceed	criminal proceed	illicit proceed	criminal proceed
173	▔	▁8	▔	monitoring suspicious activity	▔	▁170
174	hkma	authority	hkma	hkma	hkma	hkma
175	financial crime	financial crime	financial crime	financial crime	financial crime	financial crime
176	bank information share	bank information share	bank information share	bank information share	bank information share	bank information share
177	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	▁63
178	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme
179	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy
180	▔	authority	▔	hkma	▔	hkma
181	feasibility obstacle	feasibility obstacle	feasibility obstacle	feasibility obstacle	feasibility obstacle	▁201
182	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability
183	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard
184	hkma	authority	hkma	hkma	hkma	hkma
185	financial contract	financial contract	financial contract	financial contract	financial contract	financial contract
186	swap connect	swap connect	swap connect	connect	swap connect	swap connect
187	rmb liquidity arrangement	rmb liquidity facility	rmb liquidity arrangement	rmb liquidity arrangement	rmb liquidity arrangement	rmb liquidity facility
188	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral
189	hkma	authority	hkma	hkma	hkma	hkma
190	offshore	offshore rmb business	offshore	offshore rmb business	offshore	▁250
191	corporate treasury center	corporate treasury center	corporate treasury center	corporate treasury center	corporate treasury center	▁19
192	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance
193	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
194	international and regional central bank and regulatory body	international and regional central bank and regulatory body	international and regional central bank and regulatory body	central bank and regulatory organization	international and regional central bank and regulatory body	▁62
195	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit	global financial leader 's investment summit
196	central bank and regulatory body	central bank and regulatory body	central bank and regulatory body	central bank and regulatory organization	central bank and regulatory body	▁79
197	marketing effort	marketing effort	marketing effort	market promotion	marketing effort	▁97
198	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
199	wealth management	wealth management	wealth management	wealth management	wealth management	wealth management
200	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management
201	hkma	authority	hkma	hkma	hkma	hkma
202	financial hub	financial hub	financial hub	financial platform	financial hub	financial platform
203	financial service	financial service	financial service	financial service	financial service	financial service
204	financial system	financial system	financial system	financial system	financial system	financial system
205	person 's bank of china	person 's bank of china	person 's bank of china	person 's 's bank of china	person 's bank of china	person 's 's bank of china
206	online payment interbank clear system	online payment interbank clear system	online payment interbank clear system	online payment interbank clear system	online payment interbank clear system	▁39
207	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure
208	online payment interbank clear system	online payment interbank clear system	online payment interbank clear system	online payment interbank clear system	online payment interbank clear system	▁187
209	cross payment	cross payment	cross payment	cross payment	cross payment	cross payment
210	authority	authority	authority	hkma	authority	hkma
211	reserve management	reserve management	reserve management	reserve management	reserve management	reserve management
212	major economy	major economy	major economy	major economy	major economy	major economy
213	exchange	foreign exchange	exchange	exchange fund	exchange	foreign exchange
214	exchange fund	exchange fund	exchange fund	exchange fund	exchange fund	exchange fund
215	return rate	return rate	return rate	return rate	return rate	▁107
216	policy rate	policy rate	policy rate	policy rate	policy rate	policy rate
217	global financial market	global financial market	global financial market	global financial market	global financial market	global financial market
218	▔	▁9	▔	economy	▔	member economy
219	inflation	inflation	inflation	inflation	inflation	inflation
220	annualized internal rate of return	annualized internal rate of return	annualized internal rate of return	annualized internal rate of return	annualized internal rate of return	▁99
221	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification
222	authority	authority	authority	hkma	authority	hkma
223	▔	authority	▔	hkma	▔	hkma
224	digital capability	digital capability	digital capability	digital capability	digital capability	digital capability
225	fiscal discipline	fiscal discipline	fiscal discipline	fiscal discipline	fiscal discipline	▁211
226	authority	authority	authority	hkma	authority	hkma
227	central security custody system	central security custody system	central security custody system	central security custody system	central security custody system	▁8
228	bond market	bond market	bond market	bond market	bond market	bond market
229	central debt instrument	central debt instrument	central debt instrument	central debt instrument	central debt instrument	▁35
230	macao financial service bureau	macao financial service bureau	macao financial service bureau	macao financial service bureau	macao financial service bureau	▁156
231	authority	authority	authority	hkma	authority	hkma
232	primary arrangement	primary arrangement	primary arrangement	primary arrangement	primary arrangement	▁2
233	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
234	hkma	authority	hkma	hkma	hkma	hkma
235	offshore rmb market	offshore rmb market	offshore rmb market	offshore rmb market	offshore rmb market	▁249
236	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	▁53
237	anti-money laundering supervision	anti-money laundering supervision	anti-money laundering supervision	anti-money laundering supervision	anti-money laundering supervision	anti-money laundering supervision
238	anti-money laundering and terrorist financing	combating money laundering and terrorist financing	anti-money laundering and terrorist financing	combating money laundering and terrorist financing	anti-money laundering and terrorist financing	▁105
