	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	major economy	major economy	major economy	major economy	major economy	major economy
1	interest rate cut	interest rate cut	interest rate cut	interest rate cut	interest rate cut	interest rate cut
2	▔	▁8	▔	economy	▔	member economy
3	inflation	inflation	inflation	inflation	inflation	inflation
4	authority	authority	authority	authority	authority	hkma
5	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
6	international financial leader investment summit	international financial leader investment summit	international financial leader investment summit	international financial leader investment summit	international financial leader investment summit	▁90
7	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
8	authority	authority	authority	authority	authority	hkma
9	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	▁315
10	medium enterprise	medium enterprise	medium enterprise	small and medium enterprise	medium enterprise	small and medium enterprise
11	policy measure	policy measure	policy measure	policy measure	policy measure	policy measure
12	region government	region government	region government	kong region government	region government	▁331
13	global supply chain	global supply chain	global supply chain	global supply chain	global supply chain	global supply chain
14	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension
15	geoeconomic fragmentation	geoeconomic fragmentation	geoeconomic fragmentation	geoeconomic fragmentation	geoeconomic fragmentation	▁93
16	real economy	real economy	real economy	real economy	real economy	real economy
17	global financial market	global financial market	global financial market	global financial market	global financial market	global financial market
18	trade protectionism	trade protectionism	trade protectionism	trade protectionism	trade protectionism	▁265
19	tariff	tariff	tariff	tariff	tariff	tariff
20	authority	authority	authority	authority	authority	hkma
21	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
22	linked exchange rate system	linked exchange rate system	linked exchange rate system	link exchange rate system	linked exchange rate system	linked exchange rate system
23	system	system	system	system	system	▁241
24	linked exchange rate system	linked exchange rate system	linked exchange rate system	link exchange rate system	linked exchange rate system	linked exchange rate system
25	▔	▁2	▔	exchange range	▔	▁53
26	fund	fund	fund	▁4	fund	imf
27	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
28	system	system	system	system	system	▁241
29	market surveillance	market surveillance	market surveillance	market surveillance	market surveillance	market surveillance
30	exchange system	system	exchange system	system	exchange system	▁241
31	credit risk	credit risk	credit risk	credit risk	credit risk	credit risk
32	credit risk management	credit risk management	credit risk management	credit risk management	credit risk management	credit risk management
33	provision	provision	provision	provision	provision	provision
34	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold
35	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
36	classify loan	classify loan	classify loan	specific classification loan	classify loan	classify loan
37	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio
38	consolidate capital adequacy ratio	consolidate capital adequacy ratio	consolidate capital adequacy ratio	comprehensive capital ratio	consolidate capital adequacy ratio	▁225
39	ratio	ratio	ratio	capital ratio	ratio	capital ratio
40	risk management	risk management	risk management	risk management	risk management	risk management
41	system kong	system kong	system kong	hong kong banking system	system kong	▁335
42	macro measure	macro measure	macro measure	prudential regulatory	macro measure	▁116
43	mortgage ratio	mortgage ratio	mortgage ratio	mortgage ratio	mortgage ratio	loan ratio
44	mortgage loan	mortgage loan	mortgage loan	mortgage loan	mortgage loan	mortgage loan
45	property market	property market	property market	property market	property market	property market
46	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan
47	countercyclical macro measure	countercyclical macro measure	countercyclical macro measure	countercyclical macro measure	countercyclical macro measure	countercyclical macroprudential measure
48	authority	authority	authority	authority	authority	hkma
49	third service provider	third service provider	third service provider	third service provider	third service provider	third service provider
50	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
51	alignment work and scenario testing	alignment work and scenario testing	alignment work and scenario testing	alignment work and scenario testing	alignment work and scenario testing	▁280
52	risk management	risk management	risk management	risk management	risk management	risk management
53	technology service provider	technology service provider	technology service provider	technology service provider	technology service provider	technology service provider
54	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk
55	cyber defense capability	cyber defense capability	cyber defense capability	cyber defense capability	cyber defense capability	▁231
56	authority	authority	authority	authority	authority	hkma
57	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure
58	financial regulator	financial regulator	financial regulator	financial regulator	financial regulator	financial regulator
59	value payment facility operator	value payment facility operator	value payment facility operator	value payment facility operator	value payment facility operator	▁51
60	anti and work group	anti and work group	anti and work group	anti and work group	anti and work group	▁79
61	enforcement	enforcement	enforcement	enforcement	enforcement	▁94
62	criminal proceed	criminal proceed	criminal proceed	criminal proceed	criminal proceed	criminal proceed
63	online banking	online banking	online banking	online banking	online banking	▁230
64	financial crime	financial crime	financial crime	financial crime	financial crime	financial crime
65	financial fraud	financial fraud	financial fraud	financial fraud	financial fraud	▁291
66	interbank information share	interbank information share	interbank information share	interbank information share	interbank information share	▁307
67	retail bank	retail bank	retail bank	retail bank	retail bank	retail bank
68	savings	savings	savings	savings	savings	▁166
69	savings service	savings service	savings service	savings service	savings service	▁167
70	seven cool period	seven cool period	seven cool period	seven cool period	seven cool period	▁4
71	credit product	credit product	credit product	credit product	credit product	credit product
72	xin zi tong	xin zi tong	xin zi tong	creditinfoconnect	xin zi tong	▁41
73	personal credit datum service	personal credit datum service	personal credit datum service	personal credit datum service	personal credit datum service	▁42
74	cool period	cool period	cool period	cool period	cool period	cool period
75	consumer credit product	consumer credit product	consumer credit product	consumer credit product	consumer credit product	consumer credit product
76	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product
77	retail bank	retail bank	retail bank	retail bank	retail bank	retail bank
78	sme financing task force	sme financing task force	sme financing task force	sme financing task force	sme financing task force	▁12
79	credit support	credit support	credit support	credit support	credit support	▁40
80	real economy	real economy	real economy	real economy	real economy	real economy
81	loan portfolio	loan portfolio	loan portfolio	loan portfolio	loan portfolio	loan portfolio
82	▔	authority	▔	authority	▔	hkma
83	▔	▁11	▔	▁9	▔	▁292
84	cyberport	cyberport	cyberport	cyberport	cyberport	cyberport
85	generative ai	generative ai	generative ai	generative artificial intelligence	generative ai	generative artificial intelligence
86	hkma	authority	hkma	authority	hkma	hkma
87	financial service	financial service	financial service	financial service	financial service	financial service
88	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
89	retail bank	retail bank	retail bank	retail bank	retail bank	retail bank
90	customer service	customer service	customer service	customer service	customer service	▁321
91	risk management	risk management	risk management	risk management	risk management	risk management
92	sustainable development report	sustainable development report	sustainable development report	sustainable development report	sustainable development report	sustainability report
93	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
94	sustainable finance hub	sustainable finance hub	sustainable finance hub	sustainable finance hub	sustainable finance hub	sustainable finance hub
95	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
96	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance
97	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	▁315
98	offshore bank loan	offshore bank loan	offshore bank loan	offshore bank loan	offshore bank loan	▁316
99	rmb bond	rmb bond	rmb bond	rmb bond	rmb bond	rmb bond
100	rmb liquidity arrangement	rmb liquidity arrangement	rmb liquidity arrangement	rmb liquidity arrangement	rmb liquidity arrangement	▁25
101	rmb trade financing liquidity arrangement	rmb trade financing liquidity arrangement	rmb trade financing liquidity arrangement	rmb trade financing liquidity arrangement	rmb trade financing liquidity arrangement	▁26
102	bond market	bond market	bond market	bond market	bond market	bond market
103	bond connect	bond connect	bond connect	bond connect	bond connect	bond connect
104	northbound trading	northbound trading	northbound trading	northbound trading	northbound trading	▁73
105	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral
106	ministry of finance	ministry of finance	ministry of finance	ministry of finance	ministry of finance	ministry of finance
107	onshore bond	onshore bond	onshore bond	onshore bond	onshore bond	onshore bond
108	real economy	real economy	real economy	real economy	real economy	real economy
109	investment product	investment product	investment product	investment product	investment product	investment product
110	policy bank	policy bank	policy bank	policy bank	policy bank	policy bank
111	trade financing	trade financing	trade financing	trade financing	trade financing	▁266
112	hkma	authority	hkma	authority	hkma	hkma
113	offshore rmb bond repurchase operation	offshore rmb bond repurchase operation	offshore rmb bond repurchase operation	offshore rmb bond repurchase operation	offshore rmb bond repurchase operation	▁313
114	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb business	▁315
115	mainland proactive economic stimulus measure	mainland proactive economic stimulus measure	mainland proactive economic stimulus measure	china proactive of economic stimulus measure	mainland proactive economic stimulus measure	▁10
116	global technology cycle	global technology cycle	global technology cycle	global technology cycle	global technology cycle	▁59
117	labor market	labor market	labor market	labor market	labor market	▁70
118	regional collaboration	regional collaboration	regional collaboration	regional collaboration	regional collaboration	▁74
119	international exchange	international exchange	international exchange	international cooperation	international exchange	international exchange
120	international exchange	international exchange	international exchange	international cooperation	international exchange	international exchange
121	external price pressure	external price pressure	external price pressure	external price pressure	external price pressure	external price pressure
122	local stock market	local stock market	local stock market	local stock market	local stock market	local stock market
123	property market	property market	property market	property market	property market	property market
124	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure
125	stock market	stock market	stock market	stock market	stock market	▁242
126	trade tension	trade tension	trade tension	trade tension	trade tension	trade tension
127	inflation	inflation	inflation	inflation	inflation	inflation
128	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
129	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
130	hong kong banking system	system kong	hong kong banking system	hong kong banking system	hong kong banking system	▁335
131	geopolitical landscape	geopolitical landscape	geopolitical landscape	geopolitical landscape	geopolitical landscape	geopolitical tension
132	foreign exchange	foreign exchange	foreign exchange	exchange	foreign exchange	foreign exchange
133	global growth prospect	global growth prospect	global growth prospect	global growth outlook	global growth prospect	global growth prospect
134	u.s monetary policy	u.s monetary policy	u.s monetary policy	u.s monetary policy	u.s monetary policy	us monetary policy
135	link exchange rate system	linked exchange rate system	link exchange rate system	link exchange rate system	link exchange rate system	linked exchange rate system
136	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability
137	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy
138	▔	banking stability	▔	banking stability	▔	banking stability
139	small and medium enterprise	medium enterprise	small and medium enterprise	small and medium enterprise	small and medium enterprise	small and medium enterprise
140	contingency plan	contingency plan	contingency plan	contingency plan	contingency plan	contingency plan
141	generative intelligence	generative ai	generative intelligence	generative artificial intelligence	generative intelligence	generative artificial intelligence
142	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox
143	regulatory guidance	regulatory guidance	regulatory guidance	regulatory guidance	regulatory guidance	▁210
144	cyber resilience	cyber resilience	cyber resilience	cyber resilience	cyber resilience	cyber resilience
145	cross initiative	cross initiative	cross initiative	cross initiative	cross initiative	▁273
146	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
147	hkma	authority	hkma	authority	hkma	hkma
148	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
149	risk supervision	risk supervision	risk supervision	risk regulation	risk supervision	risk supervision
150	second property transaction	second property transaction	second property transaction	second property transaction	second property transaction	▁17
151	▔	credit product	▔	credit product	▔	credit product
152	creditinfoconnect	xin zi tong	creditinfoconnect	creditinfoconnect	creditinfoconnect	▁41
153	personal credit datum service	personal credit datum service	personal credit datum service	personal credit datum service	personal credit datum service	▁42
154	cool period	cool period	cool period	cool period	cool period	cool period
155	payment arrangement	payment arrangement	payment arrangement	payment arrangement	payment arrangement	▁149
156	virtual bank	virtual bank	virtual bank	digital bank	virtual bank	digital bank
157	virtual asset activity	virtual asset activity	virtual asset activity	digital asset activity	virtual asset activity	digital asset activity
158	smart deposit	savings	smart deposit	savings	smart deposit	▁166
159	consumer product	consumer credit product	consumer product	consumer credit product	consumer product	consumer credit product
160	consumer protection	consumer protection	consumer protection	consumer protection	consumer protection	consumer protection
161	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product
162	generative artificial intelligence	generative ai	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence
163	hkma	authority	hkma	authority	hkma	hkma
164	▔	▁13	▔	▁11	▔	▁304
165	▔	▁14	▔	banking consumer protection	▔	▁305
166	customer service	customer service	customer service	customer service	customer service	▁321
167	public partnership platform	public partnership platform	public partnership platform	public partnership platform	public partnership platform	public partnership platform
168	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report
169	combating money laundering financing terrorism	combating money laundering financing terrorism	combating money laundering financing terrorism	combating money laundering and terrorist financing	combating money laundering financing terrorism	▁137
170	authorize payment fraud	authorize payment fraud	authorize payment fraud	authorize payment fraud	authorize payment fraud	▁147
171	financing terrorism	financing terrorism	financing terrorism	money laundering and terrorist financing	financing terrorism	money laundering and terrorist financing
172	proceed	criminal proceed	proceed	criminal proceed	proceed	criminal proceed
173	monitor suspicious activity	monitor suspicious activity	monitor suspicious activity	monitoring suspicious activity	monitor suspicious activity	▁206
174	hkma	authority	hkma	authority	hkma	hkma
175	financial crime	financial crime	financial crime	financial crime	financial crime	financial crime
176	information share bank	information share bank	information share bank	information share bank	information share bank	▁293
177	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	▁89
178	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme
179	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy
180	authority	authority	authority	authority	authority	hkma
181	feasibility obstacle	feasibility obstacle	feasibility obstacle	feasibility obstacle	feasibility obstacle	▁245
182	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability
183	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard
184	hkma	authority	hkma	authority	hkma	hkma
185	financial contract	financial contract	financial contract	financial contract	financial contract	financial contract
186	link	link	link	access	link	▁19
187	rmb liquidity arrangement	rmb liquidity arrangement	rmb liquidity arrangement	rmb liquidity arrangement	rmb liquidity arrangement	▁25
188	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral
189	▔	authority	▔	authority	▔	hkma
190	offshore rmb	offshore rmb business	offshore rmb	offshore rmb business	offshore rmb	▁315
191	corporate treasury center	corporate treasury center	corporate treasury center	corporate treasury center	corporate treasury center	▁31
192	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance
193	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
194	international and regional central bank and regulatory organization	international and regional central bank and regulatory organization	international and regional central bank and regulatory organization	international and regional central bank and regulatory organization	international and regional central bank and regulatory organization	▁88
195	international financial leader investment summit	international financial leader investment summit	international financial leader investment summit	international financial leader investment summit	international financial leader investment summit	▁90
196	central bank and regulatory organization	central bank and regulatory organization	central bank and regulatory organization	central bank and regulatory organization	central bank and regulatory organization	▁109
197	marketing effort	marketing effort	marketing effort	marketing effort	marketing effort	▁130
198	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
199	wealth management	wealth management	wealth management	wealth management	wealth management	wealth management
200	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management
201	hkma	authority	hkma	authority	hkma	hkma
202	financial hub	financial hub	financial hub	financial hub	financial hub	financial platform
203	financial service	financial service	financial service	financial service	financial service	financial service
204	financial system	financial system	financial system	financial system	financial system	financial system
205	person 's bank of china	person 's bank of china	person 's bank of china	person 's bank of china	person 's bank of china	▁8
206	interbank online payment system	interbank online payment system	interbank online payment system	cross- online payment clear system	interbank online payment system	▁54
207	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure
208	interbank online payment system	interbank online payment system	interbank online payment system	cross- online payment clear system	interbank online payment system	▁229
209	cross payment	cross payment	cross payment	cross payment	cross payment	cross payment
210	hkma	authority	hkma	authority	hkma	hkma
211	inventory management	inventory management	inventory management	inventory management	inventory management	▁52
212	major economy	major economy	major economy	major economy	major economy	major economy
213	exchange	foreign exchange	exchange	exchange	exchange	foreign exchange
214	exchange fund	exchange fund	exchange fund	exchange fund	exchange fund	exchange fund
215	return rate	return rate	return rate	investment return	return rate	investment return
216	policy	policy	policy	policy rate	policy	policy rate
217	global financial market	global financial market	global financial market	global financial market	global financial market	global financial market
218	major economy	▁8	major economy	economy	major economy	member economy
219	inflation	inflation	inflation	inflation	inflation	inflation
220	annualized internal rate of return	annualized internal rate of return	annualized internal rate of return	annualized internal rate of return	annualized internal rate of return	▁131
221	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification
222	authority	authority	authority	authority	authority	hkma
223	▔	authority	▔	authority	▔	hkma
224	digital capability	digital capability	digital capability	digital capability	digital capability	digital capability
225	fiscal discipline	fiscal discipline	fiscal discipline	fiscal discipline	fiscal discipline	▁258
226	authority	authority	authority	authority	authority	hkma
227	central security custody system	central security custody system	central security custody system	central security custody system	central security custody system	▁11
228	bond market	bond market	bond market	bond market	bond market	bond market
229	central debt instrument	central debt instrument	central debt instrument	central debt instrument	central debt instrument	▁49
230	monetary authority of macao	monetary authority of macao	monetary authority of macao	monetary authority of macao	monetary authority of macao	monetary authority of macao
231	▔	authority	▔	authority	▔	hkma
232	primary arrangement	primary arrangement	primary arrangement	primary arrangement	primary arrangement	▁3
233	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
234	hkma	authority	hkma	authority	hkma	hkma
235	offshore rmb market	offshore rmb market	offshore rmb market	offshore rmb market	offshore rmb market	▁314
236	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	▁77
237	anti-money laundering supervision	anti-money laundering supervision	anti-money laundering supervision	anti-money laundering supervision	anti-money laundering supervision	anti-money laundering supervision
238	combating money laundering and terrorist financing	combating money laundering financing terrorism	combating money laundering and terrorist financing	combating money laundering and terrorist financing	combating money laundering and terrorist financing	▁137
239	money laundering and terrorist financing	financing terrorism	money laundering and terrorist financing	money laundering and terrorist financing	money laundering and terrorist financing	money laundering and terrorist financing
240	commission	authority	commission	authority	commission	hkma
241	tokenized	tokenized	tokenized	tokenized	tokenized	▁27
242	tokenized product	tokenized product	tokenized product	tokenized product	tokenized product	▁30
243	digital asset custody service	digital asset custody service	digital asset custody service	digital asset custody service	digital asset custody service	▁163
244	hkma	authority	hkma	authority	hkma	hkma
