	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	bereich	raum	▁132
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁138
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	trigger	trigger	trigger	trigger	trigger	auslöser
7	konnektorinstanzen	konnektorinstanzen	konnektorinstanzen	anschluss	konnektorinstanzen	▁38
8	kunde	kunde	kunde	kunde	kunde	▁40
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁143
10	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	▁43
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	▁128
13	hauptindikator	hauptindikator	hauptindikator	belenngsanzeigen	hauptindikator	▁68
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	raum	bereich	bereich	bereich	▁132
17	innerbetrichlichen	innerbetrichlichen	innerbetrichlichen	intercompanyen	innerbetrichlichen	▁72
18	versionsverlaufen	versionsverlaufen	versionsverlaufen	geschichtsspeicherungszeitraumen	versionsverlaufen	verlauf
19	version	version	version	version	version	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁6
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	übereinstimmungstolern	übereinstimmungstolern	übereinstimmungstolern	abschnitt	übereinstimmungstolern	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	version	version	version	version	freigabe
27	zuordnen	zuordnen	zuordnen	vergeben	zuordnen	▁11
28	speicherplatz	speicherressourcen	speicherplatz	speicherressourcen	speicherplatz	▁138
29	speicherplatz	raum	speicherplatz	bereich	speicherplatz	▁132
30	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
32	datenanbieterprofil	erstellen	datenanbieterprofil	erstellen	datenanbieterprofil	erstellen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
34	bereich	raum	bereich	bereich	bereich	▁132
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitspanne	zeitraum	zeitspanne	zeitraum	zeitspanne	zeitraum
39	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	▁119
40	klauseltyp	klauseltyp	klauseltyp	art	klauseltyp	art
41	annahme	annahme	annahme	annahme	annahme	▁5
42	bereich	raum	bereich	bereich	bereich	▁132
43	revisionsversionen	revisionsversionen	revisionsversionen	revisionsversionen	revisionsversionen	▁118
44	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
45	startdatum	startdatum	startdatum	anfangspflanzenbestand	startdatum	▁136
46	datum preisermittlungen	datum preisermittlungen	datum preisermittlungen	datum preisermittlungen	datum preisermittlungen	▁99
47	datenebene	datenebene	datenebene	datenebene	datenebene	▁76
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	bereich	raum	▁132
50	skalentyp	klauseltyp	skalentyp	art	skalentyp	art
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	überblick	überblick	überblick	zusammenfassung	überblick	zusammenfassung
53	arbeitsbereich	raum	arbeitsbereich	bereich	arbeitsbereich	▁132
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	▁112
55	verbrauchsmodellen	verbrauchsmodell	verbrauchsmodellen	konsummodell	verbrauchsmodellen	verbrauchsmodell
56	▔ertrat<sos>	trigger	▔ertrat<sos>	trigger	▔ertrat<sos>	auslöser
57	bestellung	bestellung	bestellung	bestellung	bestellung	▁89
58	kunde	kunde	kunde	analyse	kunde	▁32
59	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	▁73
60	speicherplatz	raum	speicherplatz	bereich	speicherplatz	▁132
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	konnektor	konnektorinstanzen	konnektor	anschluss	konnektor	▁38
65	veröffentlichung	version	veröffentlichung	version	veröffentlichung	freigabe
66	fähigkeit	fähigkeit	fähigkeit	fähigkeit	fähigkeit	▁129
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	speicherallokation	speicherallokation	speicherallokation	allokations	speicherallokation	▁8
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	version	version	version	version	version	freigabe
73	meldung	meldung	meldung	nachricht	meldung	nachricht
74	arbeitsbereich	raum	arbeitsbereich	bereich	arbeitsbereich	▁132
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
78	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
79	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
80	raumfahrtprioritäten	raum	raumfahrtprioritäten	bereich	raumfahrtprioritäten	▁132
81	navigationspfad	navigationspfad	navigationspfad	navigationspfad	navigationspfad	▁20
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	incident	incident	incident	incident	incident	▁66
84	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsname	geschäftsnamen	▁23
85	arbeitszentrumsen	arbeitszentrumsen	arbeitszentrumsen	arbeitsplatzzuweissen	arbeitszentrumsen	▁157
86	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	▁116
87	auslöser	trigger	auslöser	trigger	auslöser	auslöser
88	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁64
89	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁1
90	heutig	startdatum	heutig	anfangspflanzenbestand	heutig	▁136
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	element	element	element	element	element	artikel
94	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁81
95	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	▁128
96	raum|räumen	raum	raum|räumen	bereich	raum|räumen	▁132
97	raumdaten	raum	raumdaten	bereich	raumdaten	▁132
98	erlauben	erlauben	erlauben	erlauben	erlauben	erlauben
99	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁81
100	maßnahme	maßnahme	maßnahme	aktion	maßnahme	aktion
101	maßnahme	maßnahme	maßnahme	aktion	maßnahme	aktion
102	zahlungsabwicklungsgruppen	zahlungsabwicklungsgruppen	zahlungsabwicklungsgruppen	zahlungsabwicklungsgruppen	zahlungsabwicklungsgruppen	▁37
103	compliance	compliance	compliance	compliance	compliance	compliance
104	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
105	release	version	release	version	release	freigabe
106	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
107	privilegtyp	klauseltyp	privilegtyp	art	privilegtyp	art
108	▔ertrat<sos>	konnektorinstanzen	▔ertrat<sos>	anschluss	▔ertrat<sos>	▁38
109	speicherplatz	raum	speicherplatz	bereich	speicherplatz	▁132
110	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
111	wechsel	wechsel	wechsel	wechsel	wechsel	▁28
112	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	▁27
113	dienstleistung	dienstleistung	dienstleistung	dienstleistung	dienstleistung	service
114	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
115	zugewiesen	zuordnen	zugewiesen	vergeben	zugewiesen	▁11
116	speicherbereich	raum	speicherbereich	bereich	speicherbereich	▁132
117	geschäftserkenntnissen	geschäftserkenntnissen	geschäftserkenntnissen	erkenntnis	geschäftserkenntnissen	▁70
118	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
119	bereich	raum	bereich	bereich	bereich	▁132
120	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁138
121	teilen	teil|teilen	teilen	teilen	teilen	teilen
122	veröffentlichung	version	veröffentlichung	version	veröffentlichung	freigabe
123	datenzugriffskontrollen	datenzugriffssteuern	datenzugriffskontrollen	datenzugriffssteuern	datenzugriffskontrollen	▁6
124	datenbeschränkung	datenbeschränkung	datenbeschränkung	einschränkung	datenbeschränkung	einschränkung
125	datenabzugen	datenabzugen	datenabzugen	datenabzugen	datenabzugen	▁130
126	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle
127	nachricht	meldung	nachricht	nachricht	nachricht	nachricht
128	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁44
129	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
130	referenzdaten	referenzdaten	referenzdaten	referenzdaten	referenzdaten	▁107
131	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁44
132	veröffentlichung	version	veröffentlichung	version	veröffentlichung	freigabe
133	anbieter	datenanbieter	anbieter	datenanbieter	anbieter	datenanbieter
134	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁44
135	aktualisieren	aktualisieren	aktualisieren	aktualisieren	aktualisieren	aktualisieren
136	fähigkeit	fähigkeit	fähigkeit	fähigkeit	fähigkeit	▁129
137	rückmeldung	rückmeldung	rückmeldung	rückmeldung	rückmeldung	▁54
138	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
139	einfugen	einfugen	einfugen	einfugen	einfugen	▁69
140	tischmonitor	tischmonitor	tischmonitor	spaltentabellen	tischmonitor	▁3
141	erkenntnis	geschäftserkenntnissen	erkenntnis	erkenntnis	erkenntnis	▁70
142	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁44
143	speicherbereich	raum	speicherbereich	bereich	speicherbereich	▁132
144	personenbezogen datum	personenbezogen datum	personenbezogen datum	personenbezogen datum	personenbezogen datum	personenbezogen datum
145	arbeitsplatzzuweissen	arbeitszentrumsen	arbeitsplatzzuweissen	arbeitsplatzzuweissen	arbeitsplatzzuweissen	▁157
146	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
147	veröffentlichung	version	veröffentlichung	version	veröffentlichung	freigabe
148	raum	raum	raum	bereich	raum	▁132
149	geschäftlichen	geschäftlichen	geschäftlichen	geschäftlichen	geschäftlichen	▁22
150	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell
151	problem	problem	problem	problem	problem	problem
152	konsummodell	verbrauchsmodell	konsummodell	konsummodell	konsummodell	verbrauchsmodell
153	anfangspflanzenbestand	startdatum	anfangspflanzenbestand	anfangspflanzenbestand	anfangspflanzenbestand	▁136
154	trigger	trigger	trigger	trigger	trigger	▁83
155	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁44
156	auftrag	auftrag	auftrag	auftrag	auftrag	▁74
157	bereich	raum	bereich	bereich	bereich	▁132
158	raumdaten	raum	raumdaten	bereich	raumdaten	▁132
159	verfügbaren kapazität	verfügbaren kapazität	verfügbaren kapazität	verfügbaren kapazität	verfügbaren kapazität	▁18
160	vertrag	vertrag	vertrag	vertrag	vertrag	vertrag
161	verlängerung	verlängerung	verlängerung	verlängerung	verlängerung	▁111
162	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
163	bereich	raum	bereich	bereich	bereich	▁132
164	speicherplatz	raum	speicherplatz	bereich	speicherplatz	▁132
165	herstellen	erstellen	herstellen	erstellen	herstellen	erstellen
166	datenbeschränken	datenbeschränkung	datenbeschränken	einschränkung	datenbeschränken	einschränkung
167	personalweis	personalweis	personalweis	bestätig	personalweis	übertragung
168	verlängerungsklauseln	verlängerung	verlängerungsklauseln	verlängerung	verlängerungsklauseln	▁111
169	konsummodell	verbrauchsmodell	konsummodell	konsummodell	konsummodell	verbrauchsmodell
170	platz	raum	platz	bereich	platz	▁132
171	dienst	dienst	dienst	dienst	dienst	dienst
172	tabellendienst	dienstleistung	tabellendienst	dienstleistung	tabellendienst	service
173	verweisen	referenzdaten	verweisen	referenzdaten	verweisen	▁107
174	element	element	element	element	element	artikel
175	raumdaten	raum	raumdaten	bereich	raumdaten	▁132
176	endbenutzeranwendung	endbenutzer	endbenutzeranwendung	endbenutzer	endbenutzeranwendung	endbenutzer
177	inhaltsentwickler	inhaltsentwickler	inhaltsentwickler	inhaltsentwickler	inhaltsentwickler	▁39
178	grafischen ansicht	grafischen ansicht	grafischen ansicht	grafischen ansicht	grafischen ansicht	▁61
179	problem	problem	problem	problem	problem	problem
180	problemansichen	problemansichen	problemansichen	bedienfeld	problemansichen	▁92
181	bucket	bucket	bucket	bucket	bucket	▁21
182	sqlscript	sqlscript	sqlscript	sqlscript	sqlscript	▁125
183	aktualisierung	aktualisieren	aktualisierung	aktualisieren	aktualisierung	aktualisieren
184	nachricht	meldung	nachricht	nachricht	nachricht	nachricht
185	raum|räumen	raum	raum|räumen	bereich	raum|räumen	▁132
186	trigger	trigger	trigger	trigger	trigger	auslöser
187	seitenleistenabschneiden	seitenleisten	seitenleistenabschneiden	seitenleisten	seitenleistenabschneiden	▁128
188	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
189	typ|type|typus	klauseltyp	typ|type|typus	art	typ|type|typus	art
190	nachricht	meldung	nachricht	nachricht	nachricht	nachricht
191	auftragslisten	bestellung	auftragslisten	bestellung	auftragslisten	▁89
192	vorgang	incident	vorgang	incident	vorgang	▁66
193	sitzung	sitzung	sitzung	sitzung	sitzung	sitzung
194	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
195	dokument	dokument	dokument	dokument	dokument	▁47
196	freigabelisen	zeitplan	freigabelisen	zeitplan	freigabelisen	zeitplan
197	diagramm	diagramm	diagramm	diagramm	diagramm	diagramm
198	freigabebeschränkunweis	version	freigabebeschränkunweis	version	freigabebeschränkunweis	freigabe
199	datenauswahltyp	klauseltyp	datenauswahltyp	art	datenauswahltyp	art
200	dokument	dokument	dokument	dokument	dokument	▁47
