	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	feld	feld	feld	bereich	feld	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁116
2	teil	teil	teil	teilen	teil	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	trigger	trigger	trigger	trigger	trigger	auslöser
7	connector	connector	connector	cloud	connector	▁30
8	debitor	debitor	debitor	debitor	debitor	debitor
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁120
10	nachfragegesteuern	nachfragegesteuern	nachfragegesteuern	nachfragegesteuern	nachfragegesteuern	▁34
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenfenster	seitenfenster	seitenfenster	seitenfenster	seitenfenster	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	beschäftigungsanzerren	hauptindikator	▁59
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	feld	raum	bereich	raum	space
17	intersellschaftlichen	intersellschaftlichen	intersellschaftlichen	intercompanyen	intersellschaftlichen	▁62
18	versionsverlaufen	versionsverlaufen	versionsverlaufen	geschichtsspeicherungszeitraumen	versionsverlaufen	▁55
19	version	version	version	veröffentlichung	version	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	▁9
22	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
23	abgleich	abgleich	abgleich	abgleich	abgleich	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	version	version	veröffentlichung	version	freigabe
27	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen
28	speicherplatz	speicherressourcen	speicherplatz	speicherressourcen	speicherplatz	▁116
29	speicherplatz	feld	speicherplatz	bereich	speicherplatz	space
30	periode	periode	periode	periode	periode	▁86
31	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
34	raum	feld	raum	bereich	raum	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	periode	zeitperiode	periode	zeitperiode	▁86
39	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	▁102
40	klauselart	klauselart	klauselart	typ	klauselart	typ
41	annahme	annahme	annahme	annahme	annahme	▁8
42	raum	feld	raum	bereich	raum	space
43	version	version	version	version	version	▁101
44	datenprovidern	datenanbieter	datenprovidern	datenanbieter	datenprovidern	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁114
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁88
47	datenlayer	datenlayer	datenlayer	datenlayer	datenlayer	▁66
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	feld	raum	bereich	raum	space
50	skalierungstyp	klauselart	skalierungstyp	typ	skalierungstyp	typ
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	überblick	überblick	überblick	rechnungszusammenfassun	überblick	▁119
53	bereich	feld	bereich	bereich	bereich	space
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	▁97
55	verbrauchmodell	verbrauchsmodell	verbrauchmodell	konsummodell	verbrauchmodell	verbrauchsmodell
56	erstellen	trigger	erstellen	trigger	erstellen	auslöser
57	auftrag	auftrag	auftrag	bestellung	auftrag	auftrag
58	kunde	kunde	kunde	client	kunde	client
59	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	▁63
60	speicherplatz	feld	speicherplatz	bereich	speicherplatz	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	cloud	connector	cloud	cloud	cloud	▁30
65	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
66	qualifikation	qualifikation	qualifikation	fähigkeit	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	speicherallokation	speicherallokation	speicherallokation	speicherallokation	speicherallokation	▁11
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	version	version	version	veröffentlichung	version	freigabe
73	meldung	meldung	meldung	nachricht	meldung	nachricht
74	speicher	feld	speicher	bereich	speicher	space
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
78	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
79	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
80	raumfahrtprioritäten	feld	raumfahrtprioritäten	bereich	raumfahrtprioritäten	space
81	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	incidenz	incidenz	incidenz	incidenz	incidenz	▁57
84	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	▁22
85	arbeitszentrum	arbeitszentrum	arbeitszentrum	arbeitsplatzzuweissen	arbeitszentrum	▁130
86	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	▁100
87	auslöser	trigger	auslöser	trigger	auslöser	auslöser
88	kennungswert	kennungswert	kennungswert	kennungswert	kennungswert	▁56
89	kennungswert	kennungswert	kennungswert	kennungswert	kennungswert	▁1
90	▔ertrat<sos>	startdatum	▔ertrat<sos>	startdatum	▔ertrat<sos>	▁114
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	element	element	element	element	element	artikel
94	minimalen score	minimalen score	minimalen score	minimalen score	minimalen score	▁73
95	seitenfenster	seitenfenster	seitenfenster	seitenfenster	seitenfenster	seitenbereich
96	space	feld	space	bereich	space	space
97	raumdaten	feld	raumdaten	bereich	raumdaten	space
98	erlauben	erlauben	erlauben	erlauben	erlauben	erlauben
99	minimalen wert	minimalen score	minimalen wert	minimalen score	minimalen wert	▁73
100	aktion	aktion	aktion	aktion	aktion	aktion
101	aktion	aktion	aktion	aktion	aktion	aktion
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	einhaltungsanfordern	einhaltungsanfordern	einhaltungsanfordern	compliance	einhaltungsanfordern	compliance
104	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
105	freigabe	version	freigabe	veröffentlichung	freigabe	freigabe
106	freigabe	erstellen	freigabe	erstellen	freigabe	erstellen
107	berechtigungstypen	klauselart	berechtigungstypen	typ	berechtigungstypen	typ
108	▔ertrat<sos>	connector	▔ertrat<sos>	cloud	▔ertrat<sos>	▁30
109	speicherplatz	feld	speicherplatz	bereich	speicherplatz	space
110	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
111	änderung	änderung	änderung	änderung	änderung	änderung
112	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	▁25
113	dienstleistung	dienstleistung	dienstleistung	dienstleistung	dienstleistung	service
114	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
115	zuwiesen	zuweisen	zuwiesen	zuweisen	zuwiesen	zuweisen
116	bereich	feld	bereich	bereich	bereich	space
117	einblick	einblick	einblick	einblick	einblick	▁61
118	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
119	bereich	feld	bereich	bereich	bereich	space
120	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁116
121	teilen	teil	teilen	teilen	teilen	teilen
122	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
