	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁27
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	tarea	tarea	tarea
3	lista	lista	lista	informe	lista	informe
4	promedio	promedio	promedio	promedio	promedio	▁13
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁41
7	añadir	añadir	añadir	agregar	añadir	agregar
8	rango	rango	rango	rango	rango	▁66
9	sistema	sistema	sistema	origen	sistema	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
11	fuente	sistema	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	reinicia	reinicia	reinicia	reinicia	reinicia	restablecer
14	agregar	añadir	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁52
16	modelo	plantilla	modelo	plantilla	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	anular	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	reinicia	reinicia	reinicia	reinicia	reinicia	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁22
24	horario	horario	horario	horario	horario	programación
25	editar	editar	editar	editar	editar	editar
26	completado	completado	completado	completado	completado	completar
27	pausar	pausar	pausar	pausar	pausar	▁58
28	uso	uso	uso	uso	uso	usar
29	horario	horario	horario	horario	horario	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	horario	horario	horario	horario	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	deudor
34	rango	rango	rango	rango	rango	▁66
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
40	público	público	público	público	público	público
41	programado	horario	programado	horario	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
44	restablecer	reinicia	restablecer	reinicia	restablecer	restablecer
45	reposición	reposición	reposición	reposición	reposición	▁69
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	tarea	trabajo	tarea	trabajo	tarea
50	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completado	completado	completado	completado	completar
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado	resultado	resultado	resultado	resultado	▁74
56	programación	horario	programación	horario	programación	programación
57	trabajo	tarea	trabajo	tarea	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	deudor
59	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	característica	función	▁43
63	cliente	cliente	cliente	cliente	cliente	deudor
64	llamada	llamada	llamada	llamada	llamada	▁21
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquear	bloquear	bloquear	bloqueado	bloquear	▁76
68	cambio	cambio	cambio	cambio	cambio	▁24
69	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
70	añadir	añadir	añadir	agregar	añadir	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
74	anular	ignorar	anular	anular	anular	ignorar
75	medida	medida	medida	medida	medida	indicador
76	transacción	transacción	transacción	transacción	transacción	▁82
77	deudor	cliente	deudor	cliente	deudor	deudor
78	conteo	conteo	conteo	conteo	conteo	▁67
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁49
80	desempeño	desempeño	desempeño	desempeño	desempeño	▁59
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	programa	horario	programa	horario	programa	programación
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	añadir	añadir	agregar	añadir	agregar
87	asignación	asignación	asignación	asignación	asignación	▁8
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁8
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁52
92	consumo	consumo	consumo	consumo	consumo	▁26
93	asignación	asignación	asignación	asignación	asignación	▁8
94	ensamblaje	ensamblaje	ensamblaje	ensamblaje	ensamblaje	▁11
95	información	información	información	información	información	▁50
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁77
98	empleo	tarea	empleo	tarea	empleo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	report	lista	report	informe	report	informe
101	tarea	tarea	tarea	tarea	tarea	tarea
102	iniciar	iniciar	iniciar	iniciar	iniciar	iniciar
103	sector	procedimiento	sector	tipo	sector	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	predefinir	predeterminado	predeterminado	predeterminado	predefinir
106	utilizar	uso	utilizar	uso	utilizar	usar
107	cuota	cuota	cuota	cuota	cuota	▁44
