	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁65
1	договор	договор	договор	договор	договор	договор
2	тип	тип	тип	тип	тип	тип
3	доход	доход	доход	доход	доход	▁88
4	обновление	обновление	обновление	обновить	обновление	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁76
6	ресурс	ресурс	ресурс	поставщик	ресурс	поставщик
7	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
8	направление	направление	направление	направление	направление	▁20
9	тип	тип	тип	тип	тип	тип
10	входной	входной	входной	входной	входной	ввод
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	назначение	цель	назначение
14	угроза	тип	угроза	тип	угроза	тип
15	тип	тип	тип	тип	тип	тип
16	публичный	публичный	публичный	общедоступный	публичный	▁74
17	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
18	вход	входной	вход	входной	вход	ввод
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁70
21	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
22	нормативный	нормативный	нормативный	нормативный	нормативный	▁79
23	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
24	вход	входной	вход	входной	вход	ввод
25	▔	▁0	▔	вывод	▔	вывод
26	выставление	выставление	выставление	выставление	выставление	▁17
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁44
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁14
29	группировка	группировка	группировка	группа	группировка	группа
30	▔	тип	▔	тип	▔	тип
31	договорный	договор	договорный	договор	договорный	договор
32	область	область	область	действие	область	▁94
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	сопоставление	сопоставление	сопоставление	сопоставление	сопоставление	сопоставление
35	описание	описание	описание	обзор	описание	▁105
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁48
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	график	график	график	график	график	запланировать
41	дать	входной	дать	входной	дать	ввод
42	лист ввод данные	лист ввод данные	лист ввод данные	журнал регистрация услуга	лист ввод данные	▁97
43	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
44	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
45	▔	диапазон	▔	диапазон	▔	▁76
46	входной	входной	входной	входной	входной	ввод
47	тип	тип	тип	тип	тип	тип
48	график	график	график	график	график	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁33
50	срок хранение	срок хранение	срок хранение	срок пребывание	срок хранение	▁83
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	настройка	настройка	настройка	мастер	настройка	мастер
54	поток	поток	поток	поток	поток	поток
55	сопоставление	сопоставление	сопоставление	сопоставление	сопоставление	сопоставление
56	срок выполнение	срок выполнение	срок выполнение	срок выполнение	срок выполнение	▁40
57	привязка	привязка	привязка	привязка	привязка	▁106
58	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	сделка	транзакция	сделка
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁65
62	срок пребывание	срок хранение	срок пребывание	срок пребывание	срок пребывание	▁83
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁76
65	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁16
67	копировать	копировать	копировать	копировать	копировать	скопировать
68	начисление	начисление	начисление	начисление	начисление	▁5
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁115
71	тип	тип	тип	тип	тип	тип
72	график	график	график	график	график	запланировать
73	тип	тип	тип	тип	тип	тип
74	выходной	▁0	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	ввод
76	▔	тип	▔	тип	▔	тип
77	распределение	распределение	распределение	распределение	распределение	распределение
78	договор	договор	договор	договор	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	▁34
81	входной	входной	входной	входной	входной	ввод
82	join	join	join	join	join	▁55
83	среда	место	среда	пространство	среда	пространство
84	начисление	начисление	начисление	начисление	начисление	▁5
85	срок пребывание	срок хранение	срок пребывание	срок пребывание	срок пребывание	▁83
86	контракт	договор	контракт	договор	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	скопировать
89	расписание	график	расписание	график	расписание	запланировать
90	начисление	начисление	начисление	начисление	начисление	▁5
91	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
92	журнал регистрация услуга	лист ввод данные	журнал регистрация услуга	журнал регистрация услуга	журнал регистрация услуга	▁97
93	▔	тип	▔	тип	▔	тип
94	изменить	изменить	изменить	изменить	изменить	изменить
95	график	график	график	график	график	запланировать
96	отменить	отменить	отменить	отменить	отменить	▁114
97	приостановить	приостановить	приостановить	приостановить	приостановить	▁67
98	содержимое	содержимое	содержимое	содержание	содержимое	▁30
99	настроить	настроить	настроить	задать	настроить	▁98
100	поток	поток	поток	поток	поток	▁108
101	персональный данные	персональный данные	персональный данные	персональный данные	персональный данные	▁1
102	персональный данные	персональный данные	персональный данные	персональный данные	персональный данные	▁68
103	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	тип
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁33
108	отчётность	отчётность	отчётность	отчётность	отчётность	▁81
109	тип	тип	тип	категория	тип	категория
110	тип	тип	тип	тип	тип	тип
111	клиент	клиент	клиент	клиент	клиент	клиент
112	лицензия	тип	лицензия	тип	лицензия	тип
113	изменить	изменить	изменить	изменить	изменить	изменить
114	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
115	график	график	график	график	график	запланировать
116	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
117	ставка	ставка	ставка	показатель	ставка	▁77
118	мастер	настройка	мастер	мастер	мастер	мастер
119	периодичность	периодичность	периодичность	паттерн	периодичность	▁66
120	▔	тип	▔	тип	▔	тип
121	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
122	деактивировать	деактивировать	деактивировать	деактивировать	деактивировать	▁52
123	изменить	редактировать	изменить	редактировать	изменить	редактировать
124	поставщик	ресурс	поставщик	поставщик	поставщик	поставщик
125	планирование	график	планирование	график	планирование	запланировать
126	скопировать	копировать	скопировать	копировать	скопировать	скопировать
127	редактирование	редактировать	редактирование	редактировать	редактирование	редактировать
