	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁62
1	договор	договор	договор	договор	договор	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁85
4	обновить	обновить	обновить	обновить	обновить	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁75
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁18
9	тип	тип	тип	тип	тип	вид
10	входной	входной	входной	входной	входной	ввод
11	тип	тип	тип	тип	тип	вид
12	▔	тип	▔	тип	▔	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	публичный	публичный	▁73
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	входной	входной	входной	входной	входной	ввод
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁69
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	нормативный	правило	▁77
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	▔	входной	▔	входной	▔	ввод
25	дать	дать	дать	вывод	дать	вывод
26	выставление	выставление	выставление	выставление	выставление	▁15
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁41
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁12
29	группировка	группировка	группировка	группа	группировка	группа
30	▔	тип	▔	тип	▔	вид
31	контракт	договор	контракт	договор	контракт	договор
32	область	область	область	область	область	▁89
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	схема	схема	схема	сопоставление	схема	сопоставление
35	описание	описание	описание	обзор	описание	▁98
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁45
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	график	график	график	график	график	запланировать
41	дать	входной	дать	входной	дать	ввод
42	лист запись услуга	лист запись услуга	лист запись услуга	заявка обслуживание	лист запись услуга	▁90
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	▔	диапазон	▔	диапазон	▔	▁75
46	входной	входной	входной	входной	входной	ввод
47	тип	тип	тип	тип	тип	вид
48	график	график	график	график	график	запланировать
