	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁27
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	medio	promedio	medio
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁45
7	agregar	agregar	agregar	agregar	agregar	agregar
8	rango	rango	rango	intervalo	rango	intervalo
9	origen	origen	origen	origen	origen	▁84
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	origen	origen	origen	origen	origen	▁84
12	editar	editar	editar	editar	editar	editar
13	restablecer	restablecer	restablecer	restablecer	restablecer	restablecer
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁55
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	cancelar	cancelar	cancelar	cancelar	cancelar	▁98
19	ficha	ficha	ficha	ficha	ficha	ficha
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	restablecer	restablecer	restablecer	restablecer	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁21
24	programación	programación	programación	programación	programación	programación
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completar	completar	completar
27	pausar	pausar	pausar	pausar	pausar	▁61
28	uso	uso	uso	uso	uso	uso
29	horario	programación	horario	programación	horario	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	programa	programación	programa	programación	programa	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁30
34	intervalo	rango	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁96
38	pestaña	ficha	pestaña	ficha	pestaña	ficha
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de periodicidad	patrón de recurrencia	▁71
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	▔	▁1	▔	predeterminado	▔	▁36
44	restablecer	restablecer	restablecer	restablecer	restablecer	restablecer
45	reposición	reposición	reposición	reposición	reposición	▁73
46	ficha	ficha	ficha	ficha	ficha	ficha
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
50	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de periodicidad	patrón de recurrencia	▁71
51	ficha	ficha	ficha	ficha	ficha	ficha
52	completado	completar	completado	completar	completado	completar
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁78
56	programación	programación	programación	programación	programación	programación
57	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
58	cliente	cliente	cliente	cliente	cliente	▁30
59	patrón de periodicidad	patrón de recurrencia	patrón de periodicidad	patrón de periodicidad	patrón de periodicidad	▁71
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁87
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	característica	función	▁46
63	cliente	cliente	cliente	cliente	cliente	▁30
64	llamar	llamar	llamar	llamar	llamar	llamar
65	ficha	ficha	ficha	ficha	ficha	ficha
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquear	bloquear	bloquear	bloqueado	bloquear	▁80
68	cambio	cambio	cambio	cambio	cambio	▁23
69	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
70	agregar	agregar	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	▔	▁1	▔	predeterminado	▔	▁36
74	cancelar	cancelar	cancelar	cancelar	cancelar	▁98
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁92
77	cliente	cliente	cliente	cliente	cliente	▁30
78	record	record	record	record	record	▁70
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁52
80	rendimiento	rendimiento	rendimiento	obligación	rendimiento	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	ficha	ficha	ficha	ficha	ficha	ficha
84	programación	programación	programación	programación	programación	programación
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	agregar	agregar	agregar	agregar	agregar	agregar
87	asignación	asignación	asignación	asignación	asignación	▁8
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁8
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁55
92	consumo	consumo	consumo	consumo	consumo	▁26
93	asignación	asignación	asignación	asignación	asignación	▁8
94	ensamblado	ensamblado	ensamblado	ensamblado	ensamblado	▁11
95	información	información	información	información	información	▁53
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁83
98	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
99	cliente	cliente	cliente	cliente	cliente	cliente
100	lista	informe	lista	informe	lista	informe
101	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
102	activar	activar	activar	activar	activar	▁94
103	▔	procedimiento	▔	tipo	▔	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	▁1	predeterminado	predeterminado	predeterminado	▁36
106	utilizar	uso	utilizar	uso	utilizar	uso
107	cuota	cuota	cuota	cuota	cuota	▁47
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁8
110	cliente	cliente	cliente	cliente	cliente	▁30
111	elemento	elemento	elemento	elemento	elemento	artículo
112	incidente	incidente	incidente	incidente	incidente	▁55
113	socio	socio	socio	socio	socio	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁65
115	ficha	ficha	ficha	ficha	ficha	ficha
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	facturar	facturar	facturar	factura	facturar	facturar
118	problema	problema	problema	problema	problema	problema
119	salida	salida	salida	salida	salida	▁60
120	guardar	guardar	guardar	guardar	guardar	guardar
121	uso	uso	uso	uso	uso	uso
122	ficha	ficha	ficha	ficha	ficha	ficha
123	chequeo	chequeo	chequeo	chequeo	chequeo	▁24
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁22
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁54
127	ámbito	ámbito	ámbito	ámbito	ámbito	▁77
128	utilizar	uso	utilizar	uso	utilizar	uso
129	ficha	ficha	ficha	ficha	ficha	ficha
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	intercambio	intercambio	intercambio	intercambio	intercambio	▁81
132	requerimiento	requerimiento	requerimiento	requisito	requerimiento	requisito
133	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
134	botón	botón	botón	botón	botón	▁20
135	tiempo	tiempo	tiempo	tiempo	tiempo	tiempo
136	programación	programación	programación	programación	programación	programación
137	origen	origen	origen	origen	origen	▁84
138	uso	uso	uso	uso	uso	uso
139	medida	medida	medida	medida	medida	medida
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	medida
143	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
144	completo	completo	completo	completar	completo	completo
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁16
147	anticipos	anticipos	anticipos	anticipos	anticipos	▁63
148	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
149	programación	programación	programación	programación	programación	programación
150	requisito	requerimiento	requisito	requisito	requisito	requisito
151	medida	medida	medida	medida	medida	medida
152	comprobación	chequeo	comprobación	chequeo	comprobación	▁24
153	suplemento	suplemento	suplemento	suplemento	suplemento	▁88
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	obligación	rendimiento	obligación	obligación	obligación	rendimiento
157	ejecutar	ejecutar	ejecutar	ejecución	ejecutar	ejecutar
158	agregar	agregar	agregar	agregar	agregar	agregar
159	botón	botón	botón	botón	botón	▁20
160	comprobar	chequeo	comprobar	chequeo	comprobar	▁24
161	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	sitio	sitio	sitio
164	impulsar por demanda	impulsar por demanda	impulsar por demanda	impulsar por demanda	impulsar por demanda	▁37
165	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
166	afiliado de sap	afiliado de sap	afiliado de sap	afiliado de sap	afiliado de sap	▁3
167	ventana	ventana	ventana	ventana	ventana	▁62
168	socio	socio	socio	socio	socio	socio
169	agregar	agregar	agregar	agregar	agregar	agregar
170	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
171	socio	socio	socio	socio	socio	socio
172	bloquear	bloquear	bloquear	bloquear	bloquear	bloquear
173	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
174	asignación	asignación	asignación	asignación	asignación	▁8
