	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	space	space	space	space	space	platz
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁87
2	teilen	teilen	teilen	freigeben	teilen	freigeben
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöser
7	konnektorinstanzen	konnektorinstanzen	konnektorinstanzen	▔ertrat<sos>	konnektorinstanzen	▁29
8	kunde	kunde	kunde	kunde	kunde	▁30
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁89
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	▁45
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	space	space	space	space	space	platz
17	intercompansen	intercompansen	intercompansen	unternehmensübergreifenden	intercompansen	▁48
18	verlauf	verlauf	verlauf	verlauf	verlauf	verlauf
19	release	release	release	release	release	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	zugriffskontrolle
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	bereich	bereich	bereich	abschnitt	bereich	abschnitt
24	▔ertrat<sos>	anbieter	▔ertrat<sos>	anbieter	▔ertrat<sos>	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	release	release	release	release	freigabe
27	zuwiesen	zuwiesen	zuwiesen	zuwiesen	zuwiesen	zuweisen
28	speicherkapazität	speicherressourcen	speicherkapazität	speicherressourcen	speicherkapazität	▁87
29	speicherkapazität	space	speicherkapazität	space	speicherkapazität	platz
30	periode	periode	periode	periode	periode	▁64
31	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
34	space	space	space	space	space	platz
35	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
36	verbrauchsmodellen	verbrauchsmodellen	verbrauchsmodellen	verbrauchsmodell	verbrauchsmodellen	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	periode	zeitperiode	periode	zeitperiode	▁64
39	stammpfad	stammpfad	stammpfad	stammpfad	stammpfad	▁77
40	klausel	klausel	klausel	art	klausel	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	space	space	space	space	platz
43	version	version	version	revision	version	▁76
44	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁86
46	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum	preisfindungsdatum
47	datenschicht	datenschicht	datenschicht	datenschicht	datenschicht	▁50
48	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
49	space	space	space	space	space	platz
50	skalentyp	klausel	skalentyp	art	skalentyp	art
51	terminplan	terminplan	terminplan	terminplan	terminplan	terminplan
52	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung
53	space	space	space	space	space	platz
54	berichtsperioden	berichtsperioden	berichtsperioden	bericht	berichtsperioden	bericht
55	verbrauchsmodell	verbrauchsmodellen	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	löschauslöser	auslöserbasieren	löschauslöser	auslöserbasieren	löschauslöser	auslöser
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	client	client	client	client	client	client
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁49
60	space	space	space	space	space	platz
61	▔ertrat<sos>	erstellen	▔ertrat<sos>	erstellen	▔ertrat<sos>	anlegen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	▔ertrat<sos>	anbieter	▔ertrat<sos>	anbieter	▔ertrat<sos>	anbieter
64	▔ertrat<sos>	konnektorinstanzen	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁29
65	release	release	release	release	release	freigabe
66	qualifikation	qualifikation	qualifikation	fähigkeit	qualifikation	qualifikation
67	datenanbieter	anbieter	datenanbieter	anbieter	datenanbieter	anbieter
68	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
69	ändern	ändern	ändern	ändern	ändern	▁3
70	speicherzuordnungen	speicherzuordnungen	speicherzuordnungen	speicherzuordnungen	speicherzuordnungen	▁12
71	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
72	release	release	release	release	release	freigabe
