	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁37
4	обновление	обновление	обновление	обновить	обновление	обновить
5	интервал	интервал	интервал	интервал	интервал	интервал
6	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
7	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁6
9	вид	тип	вид	тип	вид	вид
10	вводный	вводный	вводный	ввод	вводный	ввод
11	тип	тип	тип	тип	тип	вид
12	вид	тип	вид	тип	вид	вид
13	назначение	назначение	назначение	назначение	назначение	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	публичный	публичный	▁34
17	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
18	ввод	вводный	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	вид
20	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить
21	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
22	предписание	предписание	предписание	предписание	предписание	предписание
23	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
24	ввод	вводный	ввод	ввод	ввод	ввод
25	дать	дать	дать	вывод	дать	вывод
26	расчёт	расчёт	расчёт	расчёт	расчёт	расчёт
27	взрывание	взрывание	взрывание	взрывание	взрывание	▁15
28	связь	связь	связь	связь	связь	связь
29	группировка	группировка	группировка	группа	группировка	группа
30	тип	тип	тип	тип	тип	вид
31	договор	контракт	договор	контракт	договор	договор
32	объём	объём	объём	объём	объём	объём
33	add-on	add-on	add-on	add-on	add-on	▁1
34	мэппинг	мэппинг	мэппинг	мэппинг	мэппинг	мэппинг
35	сводка	сводка	сводка	сводка	сводка	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁19
37	место	место	место	пространство	место	пространство
38	редактирование	редактирование	редактирование	редактировать	редактирование	редактировать
39	spaces	место	spaces	пространство	spaces	пространство
40	планирование	планирование	планирование	планирование	планирование	запланировать
41	ввод	вводный	ввод	ввод	ввод	ввод
42	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
43	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
44	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
45	интервал	интервал	интервал	интервал	интервал	интервал
46	▔	вводный	▔	ввод	▔	ввод
47	вид	тип	вид	тип	вид	вид
48	план	планирование	план	планирование	план	запланировать
49	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
50	период активный хранение	период активный хранение	период активный хранение	период проживание	период активный хранение	период активный хранение
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	▔	▁3	▔	ассистент	▔	ассистент
54	поток	поток	поток	поток	поток	поток
55	сопоставление	мэппинг	сопоставление	мэппинг	сопоставление	мэппинг
56	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение
57	маркировка	маркировка	маркировка	маркировка	маркировка	▁41
58	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
59	транзакция	транзакция	транзакция	движение	транзакция	движение
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	область	область	область	область	область
62	период проживание	период активный хранение	период проживание	период проживание	период проживание	период активный хранение
63	часть	часть	часть	часть	часть	▁31
64	интервал	интервал	интервал	интервал	интервал	интервал
65	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
66	валюта	валюта	валюта	валюта	валюта	▁4
67	копировать	копировать	копировать	копировать	копировать	скопировать
68	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
69	вид	тип	вид	тип	вид	вид
70	использование	использование	использование	использование	использование	использование
71	позиция	тип	позиция	тип	позиция	вид
72	график	планирование	график	планирование	график	запланировать
73	тип	тип	тип	тип	тип	вид
74	▔	дать	▔	вывод	▔	вывод
75	ввод	вводный	ввод	ввод	ввод	ввод
76	вид	тип	вид	тип	вид	вид
77	распределение	распределение	распределение	распределение	распределение	перерасчёт
78	контракт	контракт	контракт	контракт	контракт	договор
79	редактировать	редактирование	редактировать	редактировать	редактировать	редактировать
80	на основа спрос	на основа спрос	на основа спрос	на основа спрос	на основа спрос	▁10
81	ввод	вводный	ввод	ввод	ввод	ввод
82	соединение	соединение	соединение	соединение	соединение	соединение
83	пространство	место	пространство	пространство	пространство	пространство
84	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
85	период проживание	период активный хранение	период проживание	период проживание	период проживание	период активный хранение
86	контракт	контракт	контракт	контракт	контракт	договор
87	сборка	сборка	сборка	сборка	сборка	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	скопировать
89	расписание	планирование	расписание	планирование	расписание	запланировать
90	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
91	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
92	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
93	тип	тип	тип	тип	тип	вид
94	изменение	изменение	изменение	изменить	изменение	изменение
95	план	планирование	план	планирование	план	запланировать
96	отменить	отменить	отменить	отменить	отменить	▁45
97	приостановить	приостановить	приостановить	приостановить	приостановить	приостановка
98	контент	контент	контент	контент	контент	контент
99	параметр	параметр	параметр	настроить	параметр	настроить
100	нить	нить	нить	нить	нить	▁43
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁0
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁32
103	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
104	тип	тип	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активация	активация	активация	активация	активация	активация
107	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
108	отчитываться	отчитываться	отчитываться	отчитываться	отчитываться	отчёт
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	вид
113	изменить	изменение	изменить	изменить	изменить	изменение
114	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
115	расписание	планирование	расписание	планирование	расписание	запланировать
116	сервис	провайдер	сервис	провайдер	сервис	поставщик
117	▔	▁2	▔	курс	▔	курс
118	ассистент	▁3	ассистент	ассистент	ассистент	ассистент
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	▔	тип	▔	тип	▔	вид
121	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
122	▔	▁1	▔	▁1	▔	▁22
123	отредактировать	редактирование	отредактировать	редактировать	отредактировать	редактировать
124	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
125	планирование	планирование	планирование	планирование	планирование	запланировать
126	скопировать	копировать	скопировать	копировать	скопировать	скопировать
127	редактировать	редактирование	редактировать	редактировать	редактировать	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
129	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
130	тип	тип	тип	тип	тип	вид
