	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	▔	▁4	▔	▁3	▔	▁88
4	обновление	обновление	обновление	обновить	обновление	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁78
6	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
7	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
8	обращение	обращение	обращение	обращение	обращение	▁21
9	тип	тип	тип	тип	тип	вид
10	вводный	вводный	вводный	ввод	вводный	ввод
11	тип	тип	тип	тип	тип	вид
12	тип	тип	тип	тип	тип	вид
13	назначение	назначение	назначение	назначение	назначение	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	публичный	публичный	▁76
17	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
18	ввод	вводный	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁73
21	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
22	классификатор	классификатор	классификатор	акт	классификатор	▁81
23	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
24	ввод	вводный	ввод	ввод	ввод	ввод
25	дать	дать	дать	вывод	дать	вывод
26	оплата	оплата	оплата	оплата	оплата	▁17
27	взрывоопасность	взрывоопасность	взрывоопасность	взрывоопасность	взрывоопасность	▁45
28	отношение	отношение	отношение	взаимосвязь	отношение	▁13
29	группировка	группировка	группировка	группа	группировка	группа
30	тип	тип	тип	тип	тип	вид
31	амортизация	контракт	амортизация	контракт	амортизация	договор
32	объём	объём	объём	объём	объём	объём
33	add-on	add-on	add-on	add-on	add-on	▁5
34	мэппинг	мэппинг	мэппинг	сопоставление	мэппинг	сопоставление
35	свод	свод	свод	информация	свод	▁98
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁49
37	место	место	место	пространство	место	пространство
38	редактирование	редактирование	редактирование	редактирование	редактирование	редактировать
39	spaces	место	spaces	пространство	spaces	пространство
40	план	план	план	расписание	план	запланировать
41	ввод	вводный	ввод	ввод	ввод	ввод
42	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	▁92
43	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
44	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
45	диапазон	диапазон	диапазон	диапазон	диапазон	▁78
46	вводиться	вводный	вводиться	ввод	вводиться	ввод
47	позиция	тип	позиция	тип	позиция	вид
48	план-график	план	план-график	расписание	план-график	запланировать
49	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
50	период настройка проживание	период настройка проживание	период настройка проживание	период настройка проживание	период настройка проживание	▁84
51	отключение	отключение	отключение	отключение	отключение	▁99
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	разрешение	разрешение	разрешение	ассистент	разрешение	ассистент
54	поток	поток	поток	поток	поток	поток
55	сопоставление	мэппинг	сопоставление	сопоставление	сопоставление	сопоставление
56	дата истечение	дата истечение	дата истечение	дата истечение	дата истечение	▁40
57	маркировка	маркировка	маркировка	маркировка	маркировка	▁100
58	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
59	операция	операция	операция	операция	операция	▁105
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	область	область	область	область	область
62	хранение	период настройка проживание	хранение	период настройка проживание	хранение	▁84
63	часть	часть	часть	часть	часть	▁69
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁78
65	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁16
67	доступный	доступный	доступный	копировать	доступный	▁33
68	разграничение	разграничение	разграничение	отчисление	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использование	использование	использование	использование	использование	использование
71	позиция	тип	позиция	тип	позиция	вид
72	расписание	план	расписание	расписание	расписание	запланировать
73	▔	тип	▔	тип	▔	вид
74	▔	дать	▔	вывод	▔	вывод
75	ввод	вводный	ввод	ввод	ввод	ввод
76	тип	тип	тип	тип	тип	вид
77	выделение	выделение	выделение	выделение	выделение	▁8
78	контракт	контракт	контракт	контракт	контракт	договор
79	редактировать	редактирование	редактировать	редактирование	редактировать	редактировать
80	спрос	спрос	спрос	спрос	спрос	▁35
81	ввод	вводный	ввод	ввод	ввод	ввод
82	объединение	объединение	объединение	объединение	объединение	▁58
83	пространство	место	пространство	пространство	пространство	пространство
84	перерасчёт	разграничение	перерасчёт	отчисление	перерасчёт	разграничение
85	период хранение	период настройка проживание	период хранение	период настройка проживание	период хранение	▁84
86	договор	контракт	договор	контракт	договор	договор
87	assembly	assembly	assembly	assembly	assembly	▁10
88	скопировать	доступный	скопировать	копировать	скопировать	▁33
89	расписание	план	расписание	расписание	расписание	запланировать
90	отчисление	разграничение	отчисление	отчисление	отчисление	разграничение
91	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
92	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	▁92
93	тип	тип	тип	тип	тип	вид
94	изменение	изменение	изменение	изменить	изменение	изменение
95	план	план	план	расписание	план	запланировать
96	отменить	отменить	отменить	отменить	отменить	▁111
97	приостановить	приостановить	приостановить	приостановить	приостановить	приостановка
98	содержимое	содержимое	содержимое	содержание	содержимое	▁31
99	установить	установить	установить	настроить	установить	настроить
100	число	число	число	число	число	▁102
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁71
103	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
104	тип	тип	тип	тип	тип	вид
105	прикрепить	прикрепить	прикрепить	прикрепить	прикрепить	▁15
106	активировать	активировать	активировать	активировать	активировать	активировать
107	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
108	отражение	отражение	отражение	отчёт	отражение	отчёт
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	вид
113	изменение	изменение	изменение	изменить	изменение	изменение
114	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
115	планирование	план	планирование	расписание	планирование	запланировать
116	odata-провайдер	провайдер	odata-провайдер	провайдер	odata-провайдер	поставщик
117	ставка	ставка	ставка	ставка	ставка	▁79
118	ассистент	разрешение	ассистент	ассистент	ассистент	ассистент
119	шаблон	шаблон	шаблон	повторение	шаблон	шаблон
120	тип	тип	тип	тип	тип	вид
121	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁54
123	редактировать	редактирование	редактировать	редактирование	редактировать	редактировать
124	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
125	расписание	план	расписание	расписание	расписание	запланировать
126	копировать	доступный	копировать	копировать	копировать	▁33
127	редактирование	редактирование	редактирование	редактирование	редактирование	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
