	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	space	space	space	space	space	platz
1	speicherressourcen	speicherressourcen	speicherressourcen	speicher	speicherressourcen	speicher
2	teilen	teilen	teilen	teilen	teilen	teilen
3	abhängigkeit	abhängigkeit	abhängigkeit	abhängigkeit	abhängigkeit	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
5	zuständigkeit	zuständigkeit	zuständigkeit	zuständigkeit	zuständigkeit	▁13
6	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöserbasieren	auslöser
7	konnektorinstanzen	konnektorinstanzen	konnektorinstanzen	▔ertrat<sos>	konnektorinstanzen	▁35
8	kunde	kunde	kunde	kunde	kunde	▁36
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁117
10	nachfragedurchlaufkontingen	nachfragedurchlaufkontingen	nachfragedurchlaufkontingen	nachfragedurchlaufkontingen	nachfragedurchlaufkontingen	▁40
11	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	provider	provider	provider	provider	provider	provider
16	space	space	space	space	space	platz
17	intercompanyen	intercompanyen	intercompanyen	intercompanyen	intercompanyen	▁61
18	versionsgeschichte	versionsgeschichte	versionsgeschichte	historie	versionsgeschichte	▁58
19	versionsgeschichte	versionsgeschichte	versionsgeschichte	release	versionsgeschichte	release
20	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffskontrollen	datenzugriffssteuern	zugriffskontrolle
22	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider
23	abgleichschwellen	abgleichschwellen	abgleichschwellen	abgleichschwellen	abgleichschwellen	▁104
24	provider	provider	provider	provider	provider	provider
25	anbieter	provider	anbieter	provider	anbieter	provider
26	release	versionsgeschichte	release	release	release	release
27	aufweisen	aufweisen	aufweisen	aufweisen	aufweisen	zuweisen
28	speicherkapazität	speicherressourcen	speicherkapazität	speicher	speicherkapazität	speicher
29	platz	space	platz	space	platz	platz
30	periode	periode	periode	periode	periode	▁81
31	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider
32	erstellen	erstellen	erstellen	erstellen	erstellen	anlegen
33	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider
34	space	space	space	space	space	platz
35	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider
36	verbrauchsmodellen	verbrauchsmodellen	verbrauchsmodellen	verbrauchsmodell	verbrauchsmodellen	verbrauchsmodell
