	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁65
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁83
4	изменение	изменение	изменение	обновить	изменение	обновить
5	интервал	интервал	интервал	интервал	интервал	интервал
6	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
7	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁18
9	тип	тип	тип	тип	тип	вид
10	ввод	ввод	ввод	ввод	ввод	ввод
11	▔	тип	▔	тип	▔	вид
12	вид	тип	вид	тип	вид	вид
13	цель	цель	цель	назначение	цель	назначение
14	вид	тип	вид	тип	вид	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	общественный	публичный	▁72
17	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
18	входной	ввод	входной	ввод	входной	ввод
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁69
21	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
22	регламент	регламент	регламент	регламент	регламент	▁76
23	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
24	вход	ввод	вход	ввод	вход	ввод
25	дать	дать	дать	вывод	дать	вывод
26	▔	▁3	▔	▁2	▔	▁15
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁43
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁12
29	группировка	группировка	группировка	группа	группировка	группа
30	▔	тип	▔	тип	▔	вид
31	договор	контракт	договор	контракт	договор	договор
32	объём	объём	объём	объём	объём	объём
33	add-on	add-on	add-on	add-on	add-on	▁6
34	мэппинг	мэппинг	мэппинг	сопоставление	мэппинг	сопоставление
35	сводка	сводка	сводка	сводка	сводка	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁47
37	место	место	место	пространство	место	пространство
38	редактирование	редактирование	редактирование	редактировать	редактирование	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	график	график	график	расписание	график	запланировать
41	дать	ввод	дать	ввод	дать	ввод
42	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	ведомость учёт работ/услуга	▁88
43	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
44	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
45	интервал	интервал	интервал	интервал	интервал	интервал
46	ввод	ввод	ввод	ввод	ввод	ввод
47	вид	тип	вид	тип	вид	вид
48	план-график	график	план-график	расписание	план-график	запланировать
49	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
50	период пребывание	период пребывание	период пребывание	период пребывание	период пребывание	▁80
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁95
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	программу-ассистент	программу-ассистент	программу-ассистент	ассистент	программу-ассистент	ассистент
54	поток	поток	поток	поток	поток	поток
55	сопоставление	мэппинг	сопоставление	сопоставление	сопоставление	сопоставление
56	срок действие	срок действие	срок действие	срок действие	срок действие	▁38
57	тегирование	тегирование	тегирование	тегирование	тегирование	▁96
58	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁65
62	срок пребывание	период пребывание	срок пребывание	период пребывание	срок пребывание	▁80
63	узел	узел	узел	узел	узел	▁66
64	диапазон	интервал	диапазон	интервал	диапазон	интервал
65	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
66	▔	▁2	▔	▁1	▔	▁14
