	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	▔	▁38	▔	▁40	▔	▁44
1	▔	▁89	▔	▁90	▔	▁98
2	▔	▁78	▔	▁79	▔	▁86
3	▔	▁116	▔	▁117	▔	▁127
4	▔	▁18	▔	▁19	▔	▁19
5	▔	▁76	▔	▁77	▔	▁84
6	▔	▁62	▔	▁63	▔	▁68
7	добавьт	добавьт	добавьт	▁7	добавьт	▁7
8	▔	▁109	▔	▁110	▔	▁119
9	▔	▁141	▔	▁142	▔	▁152
10	▔	▁151	▔	▁152	▔	▁162
11	▔	▁141	▔	▁142	▔	▁152
12	▔	▁57	▔	▁58	▔	▁63
13	▔	▁119	▔	▁120	▔	▁130
14	▔	добавьт	▔	▁7	▔	▁7
15	▔	▁74	▔	▁75	▔	▁81
16	▔	▁151	▔	▁152	▔	▁162
17	▔	▁128	▔	▁129	▔	▁139
18	▔	▁170	▔	▁171	▔	▁182
19	▔	▁148	▔	▁149	▔	▁159
20	▔	▁90	▔	▁91	▔	▁99
21	▔	▁124	▔	▁125	▔	▁135
22	▔	▁119	▔	▁120	▔	▁130
23	▔	▁27	▔	▁29	▔	▁32
24	▔	▁130	▔	▁131	▔	▁141
25	▔	▁57	▔	▁58	▔	▁63
26	▔	▁36	▔	▁38	▔	▁42
27	▔	▁91	▔	▁92	▔	▁100
28	▔	▁165	▔	▁166	▔	▁177
29	▔	▁130	▔	▁131	▔	▁141
30	▔	▁48	▔	▁50	▔	▁54
31	▔	▁130	▔	▁131	▔	▁141
32	▔	▁168	▔	▁169	▔	▁180
33	▔	▁41	▔	▁43	▔	▁47
34	▔	▁109	▔	▁110	▔	▁119
35	▔	▁49	▔	▁51	▔	▁55
36	▔	▁99	▔	▁100	▔	▁109
37	▔	▁163	▔	▁164	▔	▁175
38	▔	▁148	▔	▁149	▔	▁159
39	▔	▁113	▔	▁114	▔	▁123
40	▔	▁104	▔	▁105	▔	▁114
41	ir	▁130	ir	▁131	ir	▁141
42	▔	▁128	▔	▁129	▔	▁139
43	▔	▁47	▔	▁49	▔	▁53
44	▔	▁119	▔	▁120	▔	▁130
45	▔	▁115	▔	▁116	▔	▁125
46	▔	▁148	▔	▁149	▔	▁159
47	▔	▁151	▔	▁152	▔	▁162
48	▔	▁96	▔	▁97	▔	▁106
49	▔	▁78	▔	▁79	▔	▁86
50	▔	▁113	▔	▁114	▔	▁123
51	▔	▁148	▔	▁149	▔	▁159
52	▔	▁36	▔	▁38	▔	▁42
53	▔	▁117	▔	▁118	▔	▁128
54	▔	▁129	▔	▁130	▔	▁140
55	▔	▁132	▔	▁133	▔	▁143
56	rрol	▁130	rрol	▁131	rрol	▁141
57	места	▁78	места	▁79	места	▁86
58	▔	▁41	▔	▁43	▔	▁47
59	▔	▁113	▔	▁114	▔	▁123
60	▔	▁145	▔	▁146	▔	▁156
61	▔	▁121	▔	▁122	▔	▁132
62	▔	▁64	▔	▁65	▔	▁70
63	▔	▁41	▔	▁43	▔	▁47
64	▔	▁26	▔	▁28	▔	▁31
65	▔	▁148	▔	▁149	▔	▁159
66	репликации	репликации	репликации	репликации	репликации	▁126
67	▔	▁135	▔	▁136	▔	▁146
68	▔	▁28	▔	▁30	▔	▁34
69	▔	▁48	▔	▁50	▔	▁54
70	▔	добавьт	▔	▁7	▔	▁7
71	▔	▁5	▔	▁5	▔	▁5
72	▔	▁90	▔	▁91	▔	▁99
73	▔	▁47	▔	▁49	▔	▁53
74	▔	▁170	▔	▁171	▔	▁182
75	▔	▁85	▔	▁86	▔	▁93
76	деловой	деловой	деловой	деловой	деловой	▁168
77	▔	▁41	▔	▁43	▔	▁47
78	▔	▁112	▔	▁113	▔	▁122
79	заголово	заголово	заголово	заголово	заголово	▁78
80	▔	▁92	▔	▁93	▔	▁101
81	▔	▁169	▔	▁170	▔	▁181
82	▔	▁160	▔	▁161	▔	▁172
83	▔	▁148	▔	▁149	▔	▁159
84	▔	▁130	▔	▁131	▔	▁141
85	▔	▁169	▔	▁170	▔	▁181
86	▔	добавьт	▔	▁7	▔	▁7
87	▔	▁11	▔	▁12	▔	▁12
88	▔	▁103	▔	▁104	▔	▁113
89	▔	▁11	▔	▁12	▔	▁12
90	▔	▁90	▔	▁91	▔	▁99
91	идентификаци	▁74	идентификаци	▁75	идентификаци	▁81
92	▔	▁37	▔	▁39	▔	▁43
93	▔	▁11	▔	▁12	▔	▁12
94	▔	▁14	▔	▁15	▔	▁15
95	▔	▁72	▔	▁73	▔	▁79
96	▔	▁48	▔	▁50	▔	▁54
97	▔	▁140	▔	▁141	▔	▁151
98	▔	▁78	▔	▁79	▔	▁86
99	▔	▁31	▔	▁33	▔	▁37
100	▔	▁116	▔	▁117	▔	▁127
101	▔	▁78	▔	▁79	▔	▁86
102	▔	▁159	▔	▁160	▔	▁171
103	▔	▁160	▔	▁161	▔	▁172
104	▔	▁90	▔	▁91	▔	▁99
105	▔	▁47	▔	▁49	▔	▁53
106	▔	▁165	▔	▁166	▔	▁177
107	▔	▁65	▔	▁66	▔	▁71
108	▔	▁133	▔	▁134	▔	▁144
109	▔	▁11	▔	▁12	▔	▁12
110	▔	▁41	▔	▁43	▔	▁47
111	▔	▁76	▔	▁77	▔	▁84
112	▔	▁74	▔	▁75	▔	▁81
113	▔	▁90	▔	▁91	▔	▁99
114	▔	▁100	▔	▁101	▔	▁110
115	▔	▁148	▔	▁149	▔	▁159
116	▔	▁157	▔	▁158	▔	▁169
117	▔	▁20	▔	▁21	▔	▁21
118	▔	▁75	▔	▁76	▔	▁83
119	▔	▁88	▔	▁89	▔	▁97
120	▔	▁128	▔	▁129	▔	▁139
121	▔	▁165	▔	▁166	▔	▁177
122	▔	▁148	▔	▁149	▔	▁159
123	▔	▁29	▔	▁31	▔	▁35
124	договор	договор	договор	договор	договор	▁33
125	рабочи центро	▁168	рабочи центро	▁169	рабочи центро	▁180
126	▔	▁73	▔	▁74	▔	▁80
127	▔	▁131	▔	▁132	▔	▁142
128	▔	▁165	▔	▁166	▔	▁177
129	▔	▁148	▔	▁149	▔	▁159
130	▔	▁160	▔	▁161	▔	▁172
131	▔	▁136	▔	▁137	▔	▁147
132	▔	▁118	▔	▁119	▔	▁129
133	▔	▁151	▔	▁152	▔	▁162
134	кнопк	кнопк	кнопк	▁27	кнопк	▁30
135	▔	▁156	▔	▁157	▔	▁167
136	▔	▁130	▔	▁131	▔	▁141
137	▔	▁141	▔	▁142	▔	▁152
138	▔	▁164	▔	▁165	▔	▁176
139	▔	▁85	▔	▁86	▔	▁93
140	▔	▁168	▔	▁169	▔	▁180
141	▔	▁160	▔	▁161	▔	▁172
142	▔	▁85	▔	▁86	▔	▁93
143	▔	▁151	▔	▁152	▔	▁162
144	▔	▁35	▔	▁37	▔	▁41
145	▔	▁128	▔	▁129	▔	▁139
146	▔	▁23	▔	▁24	▔	▁26
147	▔	▁95	▔	▁96	▔	▁105
148	▔	▁97	▔	▁98	▔	▁107
149	▔	▁130	▔	▁131	▔	▁141
150	▔	▁118	▔	▁119	▔	▁129
151	▔	▁85	▔	▁86	▔	▁93
152	▔	▁29	▔	▁31	▔	▁35
153	▔	▁146	▔	▁147	▔	▁157
154	▔	▁89	▔	▁90	▔	▁98
155	▔	▁90	▔	▁91	▔	▁99
156	▔	▁92	▔	▁93	▔	▁101
157	▔	▁125	▔	▁126	▔	▁136
158	▔	добавьт	▔	▁7	▔	▁7
159	▔	кнопк	▔	▁27	▔	▁30
160	▔	▁29	▔	▁31	▔	▁35
