	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	bereich	bereich	bereich	bereich	bereich	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁133
2	teilen	teilen	teilen	teilen	teilen	teilen
3	einschränkung	einschränkung	einschränkung	beschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	trigger	trigger	trigger	trigger	trigger	auslöser
7	connector	connector	connector	cloud	connector	▁38
8	kunde	kunde	kunde	kunde	kunde	▁40
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁139
10	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	▁43
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenpanel	seitenpanel	seitenpanel	seitenbereich	seitenpanel	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	auslastungsanzeigen	hauptindikator	▁70
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	bereich	bereich	bereich	bereich	space
17	konzerninternen	konzerninternen	konzerninternen	intercompanyen	konzerninternen	▁74
18	versionshistorei	versionshistorei	versionshistorei	verlauf	versionshistorei	verlauf
19	version	version	version	veröffentlichung	version	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	zugriffskontrolle
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	match	match	match	abschnitt	match	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	version	version	veröffentlichung	version	freigabe
27	zuordnen	zuordnen	zuordnen	zuordnen	zuordnen	zuweisen
28	speicherkontingent	speicherressourcen	speicherkontingent	speicherressourcen	speicherkontingent	▁133
29	speicherplatz	bereich	speicherplatz	bereich	speicherplatz	space
30	periode	periode	periode	periode	periode	▁96
31	datenanbieterprofilsen	datenanbieter	datenanbieterprofilsen	datenanbieter	datenanbieterprofilsen	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
34	bereich	bereich	bereich	bereich	bereich	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitraum	periode	zeitraum	periode	zeitraum	▁96
39	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	stammverzeichnen	▁117
40	klauseltyp	klauseltyp	klauseltyp	art	klauseltyp	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	bereich	space	bereich	space	space
43	revision	revision	revision	revision	revision	▁116
44	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁131
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁98
47	data	data	data	data	data	▁77
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	bereich	bereich	bereich	bereich	bereich	space
50	skaltyp	klauseltyp	skaltyp	art	skaltyp	art
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	terminplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnungsübersichten	zusammenfassung	▁138
53	bereich	bereich	bereich	bereich	bereich	space
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	bericht
55	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	auslöser	trigger	auslöser	trigger	auslöser	auslöser
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	kunde	kunde	kunde	analyse	kunde	▁34
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁75
60	bereich	bereich	bereich	bereich	bereich	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	connectoren	connector	connectoren	cloud	connectoren	▁38
65	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
66	fähigkeit	fähigkeit	fähigkeit	fähigkeit	fähigkeit	▁125
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	speicherallokierungen	speicherallokierungen	speicherallokierungen	speicherallokierungen	speicherallokierungen	▁11
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	version	version	version	veröffentlichung	version	freigabe
73	nachricht	nachricht	nachricht	nachricht	nachricht	nachricht
74	speicherplatz	bereich	speicherplatz	bereich	speicherplatz	space
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
78	anlegen	erstellen	anlegen	erstellen	anlegen	erstellen
79	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
80	raumpriorität	bereich	raumpriorität	bereich	raumpriorität	space
81	shell	shell	shell	shell	shell	▁23
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	vorfall	vorfall	vorfall	vorfall	vorfall	▁68
84	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	▁26
85	arbeitszentrumsen	arbeitszentrumsen	arbeitszentrumsen	arbeitsbereich	arbeitszentrumsen	▁150
86	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	▁114
87	trigger	trigger	trigger	trigger	trigger	auslöser
88	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁66
89	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁2
90	startdatum	startdatum	startdatum	startdatum	startdatum	▁131
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	element	element	element	element	element	artikel
94	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁82
95	seitenbereich	seitenpanel	seitenbereich	seitenbereich	seitenbereich	seitenbereich
96	raum|räumen	bereich	raum|räumen	bereich	raum|räumen	space
97	weltraumdaten	bereich	weltraumdaten	bereich	weltraumdaten	space
98	erlauben	erlauben	erlauben	erlauben	erlauben	erlauben
99	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁82
100	schnellaktion	schnellaktion	schnellaktion	schnellaktion	schnellaktion	▁7
101	schnellaktion	schnellaktion	schnellaktion	schnellaktion	schnellaktion	▁1
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	einhaltung vorschrift	einhaltung vorschrift	einhaltung vorschrift	compliance	einhaltung vorschrift	compliance
104	datenlieferanen	datenanbieter	datenlieferanen	datenanbieter	datenlieferanen	datenanbieter
105	release	version	release	veröffentlichung	release	freigabe
106	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
107	berechtigungstypen	klauseltyp	berechtigungstypen	art	berechtigungstypen	art
108	cloud	connector	cloud	cloud	cloud	▁38
109	speicherort	bereich	speicherort	bereich	speicherort	space
110	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	terminplan
111	änderung	änderung	änderung	änderung	änderung	änderung
112	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	▁30
113	dienstleistung	dienstleistung	dienstleistung	dienst	dienstleistung	dienst
114	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
115	zuwiesen	zuordnen	zuwiesen	zuordnen	zuwiesen	zuweisen
116	speicher	bereich	speicher	bereich	speicher	space
117	erkenntnis	erkenntnis	erkenntnis	erkenntnis	erkenntnis	▁72
118	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
119	bereich	bereich	bereich	bereich	bereich	space
120	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁133
121	teilen	teilen	teilen	teilen	teilen	teilen
122	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
123	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	zugriffskontrolle
124	datenbeschränkung	datenbeschränkung	datenbeschränkung	begrenzung	datenbeschränkung	einschränkung
125	datum	datum	datum	datum	datum	▁126
126	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle
127	nachricht	nachricht	nachricht	nachricht	nachricht	nachricht
128	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁44
129	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
130	referenzdaten	referenzdaten	referenzdaten	referenzdaten	referenzdaten	▁106
131	neubereitstellungen	bereitstellung	neubereitstellungen	bereitstellung	neubereitstellungen	▁44
132	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
133	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
134	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁44
135	aktualisierung	aktualisierung	aktualisierung	aktualisierung	aktualisierung	aktualisierung
136	fähigkeit	fähigkeit	fähigkeit	fähigkeit	fähigkeit	▁125
137	rückmeldung	rückmeldung	rückmeldung	rückmeldung	rückmeldung	▁56
138	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
139	einfügeprivileg	einfügeprivileg	einfügeprivileg	einfügeprivileg	einfügeprivileg	▁71
140	tischmonitor	tischmonitor	tischmonitor	tabellentabelle	tischmonitor	▁5
141	erkenntnis	erkenntnis	erkenntnis	erkenntnis	erkenntnis	▁72
142	bereitstellungsstatusen	bereitstellung	bereitstellungsstatusen	bereitstellung	bereitstellungsstatusen	▁44
143	bereich	bereich	bereich	bereich	bereich	space
144	personenbezogen datum	personenbezogen datum	personenbezogen datum	persönlich datum	personenbezogen datum	personenbezogen datum
145	arbeitsbereich	arbeitszentrumsen	arbeitsbereich	arbeitsbereich	arbeitsbereich	▁150
146	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
147	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
148	bereich	bereich	bereich	bereich	bereich	space
149	geschäftlichen	geschäftlichen	geschäftlichen	geschäftlichen	geschäftlichen	▁25
150	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
151	ticket	ticket	ticket	ticket	ticket	problem
