	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicheinheinhen	speicherressourcen	▁119
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁12
6	trigger	trigger	trigger	trigger	trigger	auslöser
7	connector	connector	connector	anschluss	connector	▁34
8	debitor	debitor	debitor	customer	debitor	customer
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁124
10	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	bedarfsgesteuern	▁39
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenbereich	seitenleisten	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	beschäftigungsindikatoren	hauptindikator	▁62
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	raum	bereich	raum	bereich	space
17	intercompanyen	intercompanyen	intercompanyen	intercompanyen	intercompanyen	▁64
18	veröffentlichungshistoren	veröffentlichungshistoren	veröffentlichungshistoren	verlauf	veröffentlichungshistoren	verlauf
19	veröffentlichung	veröffentlichung	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffssteuern	datenzugriffskontrollen	▁6
22	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
23	abgleich	abgleich	abgleich	abgleich	abgleich	▁111
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	freigabe	veröffentlichung	freigabe	veröffentlichung	freigabe	freigabe
27	zuordnen	zuordnen	zuordnen	zuordnen	zuordnen	zuweisen
28	speicherplatz	speicherressourcen	speicherplatz	speicheinheinhen	speicherplatz	▁119
29	raum	raum	raum	raum	raum	space
30	periode	periode	periode	periode	periode	▁85
31	datenanbieterprofilsen	datenanbieter	datenanbieterprofilsen	datenanbieter	datenanbieterprofilsen	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
34	raum	raum	raum	raum	raum	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	periode	zeitperiode	periode	zeitperiode	▁85
39	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	▁104
40	klauselart	klauselart	klauselart	art	klauselart	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	raum	space	raum	space	space
43	revision	revision	revision	revision	revision	▁103
44	datenprovidern	datenanbieter	datenprovidern	datenanbieter	datenprovidern	datenanbieter
