	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁29
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	trabajo	tarea	tarea
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	promedio	promedio	▁15
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁42
7	agregar	agregar	agregar	añadir	agregar	agregar
8	▔	▁3	▔	rango	▔	▁67
9	fuente	fuente	fuente	origen	fuente	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	fuente	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	añadir	agregar	añadir	añadir	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁48
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	anulación	anulación	anulación	anulación	anulación	▁96
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁74
22	reinicia	restablece	reinicia	restablecer	reinicia	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁24
24	programa	programa	programa	cronograma	programa	programación
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completar	completar	completar
27	pausar	pausar	pausar	pausar	pausar	▁55
28	uso	uso	uso	utilizar	uso	utilizar
29	programación	programa	programación	cronograma	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	programa	programa	programa	cronograma	programa	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁32
34	rango	▁3	rango	rango	rango	▁67
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁94
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁70
40	público	público	público	público	público	público
41	programado	programa	programado	cronograma	programado	programación
42	guardar	guardar	guardar	guardar	guardar	guardar
43	▔	▁1	▔	predeterminado	▔	por defecto
44	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
45	▔	▁4	▔	▁1	▔	▁72
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesado	procesado	procesado	procesado	procesado	▁61
49	trabajo	tarea	trabajo	trabajo	trabajo	tarea
50	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁70
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completar	completado	completar
53	reportar	reportar	reportar	informe	reportar	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁77
56	programado	programa	programado	cronograma	programado	programación
57	trabajo	tarea	trabajo	trabajo	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	▁32
59	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁70
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁83
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	función	función	función
63	cliente	cliente	cliente	cliente	cliente	▁32
64	consultar	consultar	consultar	consultar	consultar	▁23
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloqueado	bloqueado	bloqueado	bloqueado	bloqueado	▁79
68	cambio	cambio	cambio	cambio	cambio	▁26
69	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
70	añadir	agregar	añadir	añadir	añadir	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predeterminado	▁1	predeterminado	predeterminado	predeterminado	por defecto
74	anular	anulación	anular	anulación	anular	▁96
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁89
77	cliente	cliente	cliente	cliente	cliente	▁32
78	record	record	record	record	record	▁69
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁46
80	desempeño	desempeño	desempeño	desempeño	desempeño	▁56
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	cronograma	programa	cronograma	cronograma	cronograma	programación
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	agregar	agregar	agregar	añadir	agregar	agregar
87	asignación	asignación	asignación	asignación	asignación	▁10
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁10
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁48
92	consumo	consumo	consumo	consumo	consumo	▁28
93	asignación	asignación	asignación	asignación	asignación	▁10
94	ensamblaje	ensamblaje	ensamblaje	ensamblaje	ensamblaje	▁13
95	icono	icono	icono	icono	icono	icono
96	eliminación	eliminar	eliminación	eliminar	eliminación	borrar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁80
98	trabajo	tarea	trabajo	trabajo	trabajo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	proceso	tarea	proceso	trabajo	proceso	tarea
102	activar	activar	activar	activar	activar	▁92
103	tipo	procedimiento	tipo	tipo	tipo	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	▁1	predeterminado	predeterminado	predeterminado	por defecto
106	usar	uso	usar	utilizar	usar	utilizar
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁10
110	cliente	cliente	cliente	cliente	cliente	▁32
111	elemento	elemento	elemento	elemento	elemento	artículo
112	incidente	incidente	incidente	incidente	incidente	▁48
113	▔	socio	▔	socio	▔	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁62
115	▔	pestaña	▔	pestaña	▔	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	▁90
117	facturar	facturar	facturar	factura	facturar	facturar
118	▔	▁2	▔	emisión	▔	▁50
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	utilizar	uso	utilizar	utilizar	utilizar	utilizar
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	revisión	revisión	revisión	comprobación	revisión	verificar
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁25
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁47
127	alcance	alcance	alcance	alcance	alcance	alcance
128	utilizar	uso	utilizar	utilizar	utilizar	utilizar
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	compartición	compartición	compartición	compartición	compartición	compartición
132	necesidad	necesidad	necesidad	requisito	necesidad	requisito
133	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
134	botón	botón	botón	botón	botón	▁22
135	tiempo	tiempo	tiempo	duración	tiempo	hora
136	horario	programa	horario	cronograma	horario	programación
137	origen	fuente	origen	origen	origen	fuente
138	uso	uso	uso	uso	uso	uso
139	medida	medida	medida	medida	medida	medida
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	medida
143	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
144	completo	completo	completo	completar	completo	completo
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁18
147	pago anticipado	pago anticipado	pago anticipado	pago anticipado	pago anticipado	▁60
148	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso	paso de proceso
149	cronograma	programa	cronograma	cronograma	cronograma	programación
150	requisito	necesidad	requisito	requisito	requisito	requisito
151	medida	medida	medida	medida	medida	medida
152	comprobación	revisión	comprobación	comprobación	comprobación	verificar
153	suplemento	suplemento	suplemento	suplemento	suplemento	▁84
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	desempeño	desempeño	desempeño	desempeño	desempeño	▁56
157	ejecuta	ejecuta	ejecuta	ejecución	ejecuta	ejecutar
158	añadir	agregar	añadir	añadir	añadir	agregar
159	botón	botón	botón	botón	botón	▁22
160	verificar	revisión	verificar	comprobación	verificar	verificar
