	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁64
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁82
4	обновление	обновление	обновление	обновить	обновление	обновить
5	промежуток	промежуток	промежуток	диапазон	промежуток	▁71
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁17
9	тип	тип	тип	тип	тип	вид
10	входной	входной	входной	входной	входной	▁52
11	тип	тип	тип	тип	тип	вид
12	тип	тип	тип	тип	тип	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	публичный	публичный	▁70
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входной	вход	входной	вход	▁52
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁67
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	норматив	норматив	норматив	норматив	норматив	▁73
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	значение	входной	значение	входной	значение	▁52
25	вывод	вывод	вывод	вывод	вывод	вывод
26	▔	▁0	▔	▁0	▔	▁14
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁44
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁12
29	группировка	группировка	группировка	группа	группировка	группа
30	▔	тип	▔	тип	▔	вид
31	договор	контракт	договор	контракт	договор	договор
32	область	область	область	область	область	▁86
33	add-on	add-on	add-on	add-on	add-on	▁7
34	▔	▁4	▔	сопоставление	▔	сопоставление
35	свод	свод	свод	сводка	свод	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁47
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	график	график	график	расписание	график	запланировать
41	дать	входной	дать	входной	дать	▁52
42	лист учёт услуга	лист учёт услуга	лист учёт услуга	лист учёт услуга	лист учёт услуга	▁88
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	▔	промежуток	▔	диапазон	▔	▁71
46	входной	входной	входной	входной	входной	▁52
47	тип	тип	тип	тип	тип	вид
48	график	график	график	расписание	график	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁32
50	установленный срок хранение	установленный срок хранение	установленный срок хранение	период пребывание	установленный срок хранение	▁77
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁97
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	▁113
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁4	сопоставление	сопоставление	сопоставление	сопоставление
56	срок выполнение	срок выполнение	срок выполнение	срок выполнение	срок выполнение	▁39
57	связать	связать	связать	связать	связать	▁98
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁64
62	период пребывание	установленный срок хранение	период пребывание	период пребывание	период пребывание	▁77
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	промежуток	диапазон	диапазон	диапазон	▁71
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	баланс	баланс	баланс	баланс	баланс	баланс
67	копировать	копировать	копировать	копировать	копировать	▁31
68	начисление	начисление	начисление	начисление	начисление	▁4
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	использование
71	тип	тип	тип	тип	тип	вид
72	график	график	график	расписание	график	запланировать
73	▔	тип	▔	тип	▔	вид
74	выходной	вывод	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	▁52
76	тип	тип	тип	тип	тип	вид
77	распределение	распределение	распределение	распределение	распределение	распределение
78	▔	контракт	▔	контракт	▔	договор
79	отредактировать	редактировать	отредактировать	редактировать	отредактировать	редактировать
80	▔	▁3	▔	▁3	▔	▁33
81	входной	входной	входной	входной	входной	▁52
82	join	join	join	join	join	▁55
83	среда	место	среда	пространство	среда	пространство
84	начисление	начисление	начисление	начисление	начисление	▁4
85	период пребывание	установленный срок хранение	период пребывание	период пребывание	период пребывание	▁77
86	контракт	контракт	контракт	контракт	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	▁31
89	расписание	график	расписание	расписание	расписание	запланировать
90	начисление	начисление	начисление	начисление	начисление	▁4
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист учёт услуга	лист учёт услуга	лист учёт услуга	лист учёт услуга	лист учёт услуга	▁88
93	тип	тип	тип	тип	тип	вид
94	изменение	изменение	изменение	изменить	изменение	изменение
95	расписание	график	расписание	расписание	расписание	запланировать
96	отменить	отменить	отменить	отменить	отменить	▁107
97	приостановка	приостановка	приостановка	приостановить	приостановка	приостановка
98	содержимое	содержимое	содержимое	содержание	содержимое	▁29
99	задать	задать	задать	задать	задать	▁89
100	поток	поток	поток	поток	поток	▁100
