	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁66
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁85
4	обновить	обновить	обновить	обновление	обновить	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	ветка	ветка	ветка	ветка	ветка	▁19
9	тип	тип	тип	тип	тип	вид
10	входной	входной	входной	входной	входной	ввод
11	тип	тип	тип	тип	тип	вид
12	▔	тип	▔	тип	▔	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	публичный	публичный	▁73
17	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
18	вход	входной	вход	входной	вход	ввод
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁70
21	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
22	положение	положение	положение	положение	положение	▁77
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входной	вход	входной	вход	ввод
25	вывод	вывод	вывод	вывод	вывод	вывод
26	выставление	выставление	выставление	выставление	выставление	▁16
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁46
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁13
29	группа	группа	группа	группа	группа	группа
30	тип	тип	тип	тип	тип	вид
31	договор	контракт	договор	контракт	договор	договор
32	область	область	область	область	область	▁90
33	add-on	add-on	add-on	add-on	add-on	▁6
34	▔	▁2	▔	сопоставление	▔	сопоставление
35	резюме	резюме	резюме	сводка	резюме	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁50
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	график	график	график	расписание	график	▁89
41	дать	входной	дать	входной	дать	ввод
42	входной лист услуга	входной лист услуга	входной лист услуга	входной лист услуга	входной лист услуга	▁91
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	период	диапазон	период	диапазон	период	интервал
46	входной	входной	входной	входной	входной	ввод
47	тип	тип	тип	тип	тип	вид
48	график	график	график	расписание	график	▁89
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁34
50	активный период	активный период	активный период	активный период	активный период	▁80
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁99
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁2	сопоставление	сопоставление	сопоставление	сопоставление
56	срок исполнение	срок исполнение	срок исполнение	срок исполнение	срок исполнение	▁41
57	пометить	пометить	пометить	пометить	пометить	▁100
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁66
62	период проживание	активный период	период проживание	активный период	период проживание	▁80
63	деталь	деталь	деталь	деталь	деталь	деталь
64	интервал	диапазон	интервал	диапазон	интервал	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	▔	▁1	▔	▁1	▔	▁15
67	копировать	копировать	копировать	копировать	копировать	▁33
68	разграничение	разграничение	разграничение	начисление	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	использование
71	тип	тип	тип	тип	тип	вид
72	график	график	график	расписание	график	▁89
73	▔	тип	▔	тип	▔	вид
74	выходной	вывод	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	ввод
76	тип	тип	тип	тип	тип	вид
77	распределение	распределение	распределение	распределение	распределение	распределение
78	договор	контракт	договор	контракт	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	зависеть от спрос	зависеть от спрос	зависеть от спрос	зависеть от спрос	зависеть от спрос	▁35
81	вход	входной	вход	входной	вход	ввод
82	join	join	join	join	join	▁58
83	пространство	место	пространство	пространство	пространство	пространство
84	начисление	разграничение	начисление	начисление	начисление	разграничение
85	период пребывание	активный период	период пребывание	активный период	период пребывание	▁80
86	контракт	контракт	контракт	контракт	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	копировать	копировать	копировать	копировать	копировать	▁33
89	расписание	график	расписание	расписание	расписание	▁89
90	начисление	разграничение	начисление	начисление	начисление	разграничение
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист запись услуга	входной лист услуга	лист запись услуга	входной лист услуга	лист запись услуга	▁91
93	тип	тип	тип	тип	тип	вид
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	график	расписание	расписание	расписание	▁89
96	отмена	отмена	отмена	отмена	отмена	отмена
97	пауза	пауза	пауза	приостановить	пауза	▁67
98	содержимое	содержимое	содержимое	содержание	содержимое	▁31
99	установить	установить	установить	задать	установить	▁92
100	поток	поток	поток	поток	поток	▁102
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁68
103	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
104	тип	тип	тип	тип	тип	вид
