	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	bereich	bereich	bereich	platz	bereich	platz
1	speicherkapazität	speicherkapazität	speicherkapazität	speicherkapazität	speicherkapazität	▁137
2	weitergabe	weitergabe	weitergabe	teilen	weitergabe	teilen
3	beschränkung	beschränkung	beschränkung	beschränkung	beschränkung	▁41
4	anlegen	anlegen	anlegen	erstellen	anlegen	erstellen
5	aufgabenbereich	aufgabenbereich	aufgabenbereich	aufgabenbereich	aufgabenbereich	▁14
6	trigger	trigger	trigger	trigger	trigger	▁150
7	verknüpfung	verknüpfung	verknüpfung	▔ertrat<sos>	verknüpfung	▁40
8	kunde	kunde	kunde	kunde	kunde	▁42
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁142
10	gesteuert	gesteuert	gesteuert	gesteuert	gesteuert	▁45
11	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
12	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	seitenfenster	▔ertrat<sos>	▁128
13	hauptindikator	hauptindikator	hauptindikator	busyen	hauptindikator	▁71
14	anfrage	anfrage	anfrage	abfrage	anfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	bereich	bereich	platz	bereich	platz
17	intern	intern	intern	intern	intern	▁75
18	veröffentlichungshistoren	veröffentlichungshistoren	veröffentlichungshistoren	aufbewahrungsdauern	veröffentlichungshistoren	▁66
19	veröffentlichungshistoren	veröffentlichungshistoren	veröffentlichungshistoren	release	veröffentlichungshistoren	release
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	steuerung datenzugreifen	steuerung datenzugreifen	steuerung datenzugreifen	datenzugriffssteuern	steuerung datenzugreifen	▁9
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	abgleichsschwellen	abgleichsschwellen	abgleichsschwellen	abgleichsschwellen	abgleichsschwellen	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	version	veröffentlichungshistoren	version	release	version	release
27	zuordnen	zuordnen	zuordnen	zuordnen	zuordnen	zuweisen
28	speicherkapazität	speicherkapazität	speicherkapazität	speicherkapazität	speicherkapazität	▁137
29	speicherplatz	bereich	speicherplatz	platz	speicherplatz	platz
30	periode	periode	periode	periode	periode	▁102
31	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
32	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
33	provider	datenanbieter	provider	datenanbieter	provider	datenanbieter
34	space	bereich	space	platz	space	platz
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitspanne	periode	zeitspanne	periode	zeitspanne	▁102
39	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	wurzelpfad	▁120
40	klauselart	klauselart	klauselart	typ	klauselart	typ
41	annahme	annahme	annahme	annahme	annahme	▁8
42	raum	bereich	raum	platz	raum	platz
43	revision	revision	revision	revision	revision	▁119
44	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
45	startzeitpunkt	startzeitpunkt	startzeitpunkt	beginn	startzeitpunkt	▁135
46	datum preisfeststellungen	datum preisfeststellungen	datum preisfeststellungen	datum preisfeststellungen	datum preisfeststellungen	▁104
47	datum	datum	datum	datum	datum	▁81
48	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
49	raum	bereich	raum	platz	raum	platz
50	skalentyp	klauselart	skalentyp	typ	skalentyp	typ
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	zusammenfassung	▁141
53	arbeitsbereich	bereich	arbeitsbereich	platz	arbeitsbereich	platz
54	berichtsperioden	berichtsperioden	berichtsperioden	bericht	berichtsperioden	bericht
55	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	trigger	trigger	trigger	trigger	trigger	▁150
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	kunde	kunde	kunde	analyseanwendingen	kunde	▁35
59	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	▁76
60	space	bereich	space	platz	space	platz
61	wählen	anlegen	wählen	erstellen	wählen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	▔ertrat<sos>	verknüpfung	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁40
65	veröffentlichung	veröffentlichungshistoren	veröffentlichung	release	veröffentlichung	release
66	fähigkeit	fähigkeit	fähigkeit	fähigkeit	fähigkeit	▁129
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
69	menüpunken	menüpunken	menüpunken	menüpunken	menüpunken	▁3
70	einteilung	einteilung	einteilung	einteilung	einteilung	▁11
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	release	veröffentlichungshistoren	release	release	release	release
73	meldung	meldung	meldung	nachricht	meldung	meldung
74	speicherbereich	bereich	speicherbereich	platz	speicherbereich	platz
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
78	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
79	erstellen	anlegen	erstellen	erstellen	erstellen	erstellen
80	priorität	bereich	priorität	platz	priorität	platz
81	navigationsleisten	navigationsleisten	navigationsleisten	navigationsleisten	navigationsleisten	▁23
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	ereignis	ereignis	ereignis	ereignis	ereignis	▁69
84	firmenname	firmenname	firmenname	firmenname	firmenname	▁26
85	werkstätte	werkstätte	werkstätte	arbeitsplatzzuweissen	werkstätte	▁157
86	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	aufenthaltsdauer	▁117
87	ablaufschwelle	trigger	ablaufschwelle	trigger	ablaufschwelle	▁150
88	identifikationswerten	identifikationswerten	identifikationswerten	identifikationswerten	identifikationswerten	▁67
89	identifikationswerten	identifikationswerten	identifikationswerten	identifikationswerten	identifikationswerten	▁2
90	▔ertrat<sos>	startzeitpunkt	▔ertrat<sos>	beginn	▔ertrat<sos>	▁135
91	schlüsselabgleichen	schlüsselabgleichen	schlüsselabgleichen	schlüsselabgleichen	schlüsselabgleichen	▁80
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	element	element	element	artikel	element	artikel
94	mindestwert	mindestwert	mindestwert	mindestwert	mindestwert	▁87
95	seitenfenster	▔ertrat<sos>	seitenfenster	seitenfenster	seitenfenster	▁128
96	raum	bereich	raum	platz	raum	platz
97	raumfahrtdaten	bereich	raumfahrtdaten	platz	raumfahrtdaten	platz
98	gestatten	gestatten	gestatten	gestatten	gestatten	▁12
99	mindestwert	mindestwert	mindestwert	mindestwert	mindestwert	▁87
100	maßnahme	maßnahme	maßnahme	aktion	maßnahme	aktion
101	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	aktion	▔ertrat<sos>	aktion
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	konformitätsanfordern	konformitätsanfordern	konformitätsanfordern	compliance	konformitätsanfordern	compliance
104	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
105	release	veröffentlichungshistoren	release	release	release	release
106	release	anlegen	release	erstellen	release	erstellen
107	berechtigungsarten	klauselart	berechtigungsarten	typ	berechtigungsarten	typ
108	▔ertrat<sos>	verknüpfung	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁40
109	speicherplatz	bereich	speicherplatz	platz	speicherplatz	platz
110	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
111	wechsel	wechsel	wechsel	wechsel	wechsel	▁30
112	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	▁29
113	service	service	service	service	service	service
114	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
