	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	space	space	space	space	space	platz
1	speicher	speicher	speicher	speicher	speicher	speicher
2	teil|teilen	teil|teilen	teil|teilen	freigeben	teil|teilen	freigeben
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	erstellen	▔ertrat<sos>	anlegen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	auslöser	auslöser	auslöser	auslöser	auslöser	auslöser
7	konnektor	konnektor	konnektor	konnektor	konnektor	konnektor
8	debitor	debitor	debitor	customer	debitor	customer
9	kreditor	kreditor	kreditor	kreditor	kreditor	kreditor
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	▔ertrat<sos>	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	indikator	indikator	indikator	indikator	indikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	provider	provider	provider	provider	provider	anbieter
16	space	space	space	space	space	platz
17	buchungskreisübergreifend	buchungskreisübergreifend	buchungskreisübergreifend	buchungskreisübergreifend	buchungskreisübergreifend	buchungskreisübergreifend
18	verlauf	verlauf	verlauf	verlauf	verlauf	verlauf
19	release	release	release	release	release	freigabe
20	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
21	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
22	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
23	bereich	bereich	bereich	abschnitt	bereich	abschnitt
24	provider	provider	provider	provider	provider	anbieter
25	provider	provider	provider	provider	provider	anbieter
26	release	release	release	release	release	freigabe
27	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen
28	speicher	speicher	speicher	speicher	speicher	speicher
29	platz	space	platz	space	platz	platz
30	zeitraum	zeitraum	zeitraum	periode	zeitraum	periode
31	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
32	erstellen	▔ertrat<sos>	erstellen	erstellen	erstellen	anlegen
33	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
34	space	space	space	space	space	platz
35	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	periode	zeitraum	periode	periode	periode	periode
39	stamm	stamm	stamm	stamm	stamm	stamm
40	art	art	art	typ	art	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	space	space	space	space	platz
