	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁26
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	tarea	tarea	tarea
3	facturación	facturación	facturación	informe	facturación	informe
4	promedio	promedio	promedio	medio	promedio	medio
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁40
7	agregar	agregar	agregar	agregar	agregar	agregar
8	rango	rango	rango	rango	rango	intervalo
9	fuente	fuente	fuente	fuente	fuente	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	elimina	elimina	elimina	elimina	elimina	restablecer
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	incidencia
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	ignorar	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁72
22	reajustar	elimina	reajustar	elimina	reajustar	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁19
24	programación	programación	programación	programación	programación	programación
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completar	completar	completar
27	pausar	pausar	pausar	pausar	pausar	▁57
28	utilizar	utilizar	utilizar	utilizar	utilizar	usar
29	programación	programación	programación	programación	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	horario	programación	horario	programación	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	deudor
34	intervalo	rango	intervalo	rango	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	▔	▁2	▔	defecto	▔	predefinir
44	restablecer	elimina	restablecer	elimina	restablecer	restablecer
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁69
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	tarea	tarea	tarea	tarea	tarea	tarea
50	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completar	completado	completar
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	mosaico	nuevo versión	▁75
55	resultado	resultado	resultado	resultado	resultado	▁76
56	programado	programación	programado	programación	programado	programación
57	tarea	tarea	tarea	tarea	tarea	tarea
58	cliente	cliente	cliente	cliente	cliente	deudor
59	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de recurrencia	patrón de repetición	patrón de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
