	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	окно	окно	окно	область	окно	область
1	договор	договор	договор	контракт	договор	договор
2	типовой	типовой	типовой	тип	типовой	вид
3	выручка	выручка	выручка	выручка	выручка	выручка
4	обновление	обновление	обновление	обновить	обновление	обновить
5	▔	▁6	▔	интервал	▔	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
8	подключение	подключение	подключение	подключение	подключение	▁21
9	тип	типовой	тип	тип	тип	вид
10	входной	входной	входной	ввод	входной	ввод
11	тип	типовой	тип	тип	тип	вид
12	▔	типовой	▔	тип	▔	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	типовой	тип	тип	тип	вид
15	тип	типовой	тип	тип	тип	вид
16	публичный	публичный	публичный	публичный	публичный	▁82
17	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
18	сигнал	входной	сигнал	ввод	сигнал	ввод
19	тип	типовой	тип	тип	тип	вид
20	▔	▁5	▔	▁3	▔	▁78
21	источник	поставщик	источник	поставщик	источник	поставщик
22	правило	правило	правило	документ	правило	▁87
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	входной	входной	входной	ввод	входной	ввод
25	дать	дать	дать	вывод	дать	вывод
26	выставление	выставление	выставление	выставление	выставление	▁18
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁47
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁15
29	группирование	группирование	группирование	группирование	группирование	▁55
30	тип	типовой	тип	тип	тип	вид
31	договорный	договор	договорный	контракт	договорный	договор
32	сфера	сфера	сфера	сфера	сфера	▁100
33	▔	▁0	▔	▁0	▔	▁7
34	▔	▁3	▔	мапирование	▔	сопоставление
35	описание	описание	описание	описание	описание	▁111
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁53
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактирование	редактирование	редактирование	редактировать	редактирование	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	график	график	график	график	график	запланировать
41	дать	входной	дать	ввод	дать	ввод
42	страница услуга	страница услуга	страница услуга	заявка обслуживание	страница услуга	▁103
43	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	интервал	▁6	интервал	интервал	интервал	интервал
46	ввод	входной	ввод	ввод	ввод	ввод
47	тип	типовой	тип	тип	тип	вид
48	график	график	график	график	график	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁36
50	период хранение	период хранение	период хранение	период пребывание	период хранение	▁92
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁112
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	мастер
54	работать	работать	работать	работать	работать	▁49
55	сопоставление	▁3	сопоставление	мапирование	сопоставление	сопоставление
56	срок исполнение	срок исполнение	срок исполнение	срок исполнение	срок исполнение	▁43
57	пометить	пометить	пометить	пометить	пометить	▁113
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	сделка	сделка	сделка	сделка	сделка	▁117
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	окно	область	область	область	область
62	период пребывание	период хранение	период пребывание	период пребывание	период пребывание	▁92
63	часть	часть	часть	часть	часть	▁73
64	промежуток	▁6	промежуток	интервал	промежуток	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁17
67	копировать	копировать	копировать	копирование	копировать	копирование
68	начисление	начисление	начисление	выплата	начисление	▁4
69	тип	типовой	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	использование
71	тип	типовой	тип	тип	тип	вид
72	график	график	график	график	график	запланировать
73	режим	типовой	режим	тип	режим	вид
74	вывод	дать	вывод	вывод	вывод	вывод
75	ввод	входной	ввод	ввод	ввод	ввод
76	тип	типовой	тип	тип	тип	вид
77	распределение	распределение	распределение	распределение	распределение	▁10
78	договор	договор	договор	контракт	договор	договор
79	редактировать	редактирование	редактировать	редактировать	редактировать	редактировать
80	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	▁37
81	вход	входной	вход	ввод	вход	ввод
82	▔	▁2	▔	▁2	▔	▁61
83	пространство	пространство	пространство	пространство	пространство	пространство
84	выплата	начисление	выплата	выплата	выплата	▁4
85	период проживание	период хранение	период проживание	период пребывание	период проживание	▁92
86	контракт	договор	контракт	контракт	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	копирование	копировать	копирование	копирование	копирование	копирование
89	расписание	график	расписание	график	расписание	запланировать
90	расчёт	начисление	расчёт	выплата	расчёт	▁4
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	заявка обслуживание	страница услуга	заявка обслуживание	заявка обслуживание	заявка обслуживание	▁103
93	тип	типовой	тип	тип	тип	вид
94	изменить	изменить	изменить	изменить	изменить	изменение
95	график	график	график	график	график	запланировать
96	отменить	отменить	отменить	аннулировать	отменить	▁121
97	приостановить	приостановить	приостановить	остановить	приостановить	▁74
98	содержимое	содержимое	содержимое	содержимое	содержимое	▁33
99	▔	▁7	▔	установить	▔	▁104
100	поток	поток	поток	поток	поток	▁115
101	персональный данные	персональный данные	персональный данные	персональный данные	персональный данные	▁1
102	данные	данные	данные	данные	данные	▁76
103	источник	поставщик	источник	поставщик	источник	поставщик
104	тип	типовой	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активовать	активовать	активовать	активировать	активовать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁36
108	отчётность	отчётность	отчётность	отчётность	отчётность	▁90
109	категория	категория	категория	категория	категория	категория
110	тип	типовой	тип	тип	тип	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	типовой	тип	тип	тип	вид
113	изменить	изменить	изменить	изменить	изменить	изменение
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	расписание	график	расписание	график	расписание	запланировать
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
117	показатель	показатель	показатель	показатель	показатель	▁84
118	шаг	мастер	шаг	мастер	шаг	мастер
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	тип	типовой	тип	тип	тип	вид
121	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁58
123	редактировать	редактирование	редактировать	редактировать	редактировать	редактировать
124	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
125	планирование	график	планирование	график	планирование	запланировать
126	копирование	копировать	копирование	копирование	копирование	копирование
127	▔	редактирование	▔	редактировать	▔	редактировать
128	панель	панель	панель	вкладка	панель	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	тип	типовой	тип	тип	тип	вид
131	запланировать	график	запланировать	график	запланировать	запланировать
132	▔	сфера	▔	сфера	▔	▁100
133	контракт	договор	контракт	контракт	контракт	договор
134	период удержание	период удержание	период удержание	период удержание	период удержание	период хранение
135	рассказ	рассказ	рассказ	рассказ	рассказ	▁109
136	пространство	пространство	пространство	пространство	пространство	пространство
137	ставка	показатель	ставка	показатель	ставка	▁84
138	карта	панель	карта	вкладка	карта	вкладка
139	тип	типовой	тип	тип	тип	вид
140	пространство	пространство	пространство	пространство	пространство	пространство
141	передача	передача	передача	передача	передача	▁119
142	тип	типовой	тип	тип	тип	вид
143	instance	instance	instance	instance	instance	▁59
144	▔	▁4	▔	действовать	▔	▁71
145	тип	типовой	тип	тип	тип	вид
146	помощник	мастер	помощник	мастер	помощник	мастер
147	тип	типовой	тип	тип	тип	вид
148	вкладка	панель	вкладка	вкладка	вкладка	вкладка
149	тип	типовой	тип	тип	тип	вид
150	планировать	график	планировать	график	планировать	запланировать
