	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁68
1	контракт	контракт	контракт	договор	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁86
4	обновить	обновить	обновить	обновить	обновить	обновить
5	интервал	интервал	интервал	▁2	интервал	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
8	переход	переход	переход	переход	переход	▁18
9	тип	тип	тип	тип	тип	вид
10	входной	входной	входной	входной	входной	▁54
11	тип	тип	тип	тип	тип	вид
12	тип	тип	тип	тип	тип	вид
13	цель	цель	цель	назначение	цель	назначение
14	вид	тип	вид	тип	вид	вид
15	тип	тип	тип	тип	тип	вид
16	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	информация	входной	информация	входной	информация	▁54
19	тип	тип	тип	тип	тип	вид
20	отсрочка	отсрочка	отсрочка	отсрочка	отсрочка	▁73
21	источник	поставщик	источник	поставщик	источник	поставщик
22	нормативный	нормативный	нормативный	нормативный	нормативный	▁79
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	входной	входной	входной	входной	входной	▁54
25	результат	результат	результат	вывод	результат	вывод
26	выставление	выставление	выставление	выставление	выставление	▁15
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁43
28	ассоциирование	ассоциирование	ассоциирование	ассоциация	ассоциирование	▁12
29	группировка	группировка	группировка	группа	группировка	группа
30	▔	тип	▔	тип	▔	вид
31	договор	контракт	договор	договор	договор	договор
32	область	область	область	область	область	▁91
33	расширение	расширение	расширение	расширение	расширение	▁7
34	▔	▁1	▔	mapping	▔	▁62
35	свод	свод	свод	информация	свод	▁101
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁48
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	spaces	пространство	spaces	пространство	spaces	пространство
40	график	график	график	расписание	график	планирование
41	дать	входной	дать	входной	дать	▁54
42	документ	документ	документ	документ	документ	▁93
43	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	▔	интервал	▔	▁2	▔	интервал
46	входной	входной	входной	входной	входной	▁54
47	тип	тип	тип	тип	тип	вид
48	расписание	график	расписание	расписание	расписание	планирование
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁32
50	срок	срок	срок	период пребывание	срок	▁82
51	остановка	остановка	остановка	остановка	остановка	▁102
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	▁116
54	поток	поток	поток	поток	поток	поток
55	mapping	▁1	mapping	mapping	mapping	▁62
56	срок выполнение	срок выполнение	срок выполнение	срок выполнение	срок выполнение	▁39
57	пометить	пометить	пометить	пометить	пометить	▁103
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁68
62	период хранение	срок	период хранение	период пребывание	период хранение	▁82
63	часть	часть	часть	часть	часть	▁69
64	▔	интервал	▔	▁2	▔	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁14
67	копирование	копирование	копирование	копирование	копирование	копирование
68	зачёт	зачёт	зачёт	зачёт	зачёт	▁5
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использование	использовать	использование
71	тип	тип	тип	тип	тип	вид
72	расписание	график	расписание	расписание	расписание	планирование
73	▔	тип	▔	тип	▔	вид
74	выходной	результат	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	▁54
76	тип	тип	тип	тип	тип	вид
77	распределение	распределение	распределение	распределение	распределение	распределение
78	договор	контракт	договор	договор	договор	договор
79	изменить	редактировать	изменить	редактировать	изменить	редактировать
80	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	▁33
81	входной	входной	входной	входной	входной	▁54
82	▔	▁0	▔	▁0	▔	▁58
83	пространство	пространство	пространство	пространство	пространство	пространство
84	начисление	зачёт	начисление	зачёт	начисление	▁5
85	период пребывание	срок	период пребывание	период пребывание	период пребывание	▁82
86	контракт	контракт	контракт	договор	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	копирование	копирование	копирование	копирование	копирование	копирование
89	расписание	график	расписание	расписание	расписание	планирование
90	сумма	зачёт	сумма	зачёт	сумма	▁5
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	запись обслуживание	документ	запись обслуживание	документ	запись обслуживание	▁93
93	тип	тип	тип	тип	тип	вид
94	изменить	изменить	изменить	изменить	изменить	изменение
95	расписание	график	расписание	расписание	расписание	планирование
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановка	приостановка	приостановка	приостановка	приостановка	приостановка
98	контент	контент	контент	контент	контент	контент
99	установить	установить	установить	устанавливать	установить	▁94
100	нить	нить	нить	нить	нить	▁105
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁2
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁71
103	источник	поставщик	источник	поставщик	источник	поставщик
104	тип	тип	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активирование	активирование	активирование	активировать	активирование	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁32
108	составление	составление	составление	отчётность	составление	▁81
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	вид
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	вид
113	изменение	изменить	изменение	изменить	изменение	изменение
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	график	график	график	расписание	график	планирование
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
117	курс	курс	курс	курс	курс	курс
118	настройка	мастер	настройка	мастер	настройка	▁116
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	тип	тип	тип	тип	тип	вид
121	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁53
123	изменить	редактировать	изменить	редактировать	изменить	редактировать
124	▔	поставщик	▔	поставщик	▔	поставщик
125	планирование	график	планирование	расписание	планирование	планирование
126	скопировать	копирование	скопировать	копирование	скопировать	копирование
127	редактирование	редактировать	редактирование	редактировать	редактирование	редактировать
128	таблица	таблица	таблица	вкладка	таблица	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	▔	тип	▔	тип	▔	вид
131	расписание	график	расписание	расписание	расписание	планирование
132	▔	область	▔	область	▔	▁91
133	контракт	контракт	контракт	договор	контракт	договор
134	длительность хранение	длительность хранение	длительность хранение	срок хранение	длительность хранение	срок хранение
135	обзор	обзор	обзор	обзор	обзор	▁99
136	пространство	пространство	пространство	пространство	пространство	пространство
137	показатель	курс	показатель	курс	показатель	курс
138	▔	таблица	▔	вкладка	▔	вкладка
139	вид	тип	вид	тип	вид	вид
140	пространство	пространство	пространство	пространство	пространство	пространство
141	▔	▁5	▔	▁4	▔	▁109
142	тип	тип	тип	тип	тип	вид
143	установка	установка	установка	установка	установка	▁56
144	работа	работа	работа	работа	работа	▁67
145	тип	тип	тип	тип	тип	вид
146	экспортирование	мастер	экспортирование	мастер	экспортирование	▁116
