	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	platz	platz	platz	space	platz	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁121
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁12
6	triggerbasieren	triggerbasieren	triggerbasieren	trigger	triggerbasieren	▁132
7	connector	connector	connector	connector	connector	▁33
8	kunde	kunde	kunde	kunde	kunde	▁34
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁126
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	platz	bereich	space	bereich	space
17	intercompanyen	intercompanyen	intercompanyen	intercompanyen	intercompanyen	▁63
18	versionsverlaufen	versionsverlaufen	versionsverlaufen	verlauf	versionsverlaufen	verlauf
19	veröffentlichung	veröffentlichung	veröffentlichung	release	veröffentlichung	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	▁6
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	veröffentlichung	release	release	release	freigabe
27	zuordnen	zuordnen	zuordnen	zuordnen	zuordnen	zuweisen
28	speicherkontingent	speicherressourcen	speicherkontingent	speicherressourcen	speicherkontingent	▁121
29	speicherplatz	platz	speicherplatz	space	speicherplatz	space
30	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
34	space	platz	space	space	space	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
39	root	root	root	root	root	▁104
40	klauseltyp	klauseltyp	klauseltyp	arbeitselementtypen	klauseltyp	typ
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	platz	space	space	space	space
43	revision	revision	revision	revision	revision	▁103
44	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁119
46	bewertungsdatum	bewertungsdatum	bewertungsdatum	bewertungsdatum	bewertungsdatum	▁89
47	datenlayer	datenlayer	datenlayer	datenlayer	datenlayer	▁66
