	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	platz	platz	platz	space	platz	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁110
2	teil|teilen	teil|teilen	teil|teilen	teilen	teil|teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁11
6	trigger	trigger	trigger	trigger	trigger	▁121
7	connector	connector	connector	connector	connector	connector
8	debitor	debitor	debitor	kunde	debitor	debitor
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁115
10	bedarfstreiben	bedarfstreiben	bedarfstreiben	bedarfstreiben	bedarfstreiben	▁34
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenleisten	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	busyen	hauptindikator	▁58
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	platz	bereich	space	bereich	space
17	intercompanyen	intercompanyen	intercompanyen	intercompanyen	intercompanyen	▁61
18	versionshistorei	versionshistorei	versionshistorei	aufbewahrungszeitraumen	versionshistorei	verlauf
19	versionshistorei	versionshistorei	versionshistorei	release	versionshistorei	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
21	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	datenzugriffskontrollen	▁6
22	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenprovider
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	release	versionshistorei	release	release	release	freigabe
27	zuordnen	zuordnen	zuordnen	zuordnen	zuordnen	▁13
28	speicherplatz	speicherressourcen	speicherplatz	speicherressourcen	speicherplatz	▁110
29	speicherplatz	platz	speicherplatz	space	speicherplatz	space
30	zeitraum	zeitraum	zeitraum	zeitperiode	zeitraum	zeitraum
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenprovider
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	provider	datenanbieter	provider	datenanbieter	provider	datenprovider
34	space	platz	space	space	space	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
36	consumption	consumption	consumption	verbrauchsmodell	consumption	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitperiode	zeitraum	zeitperiode	zeitperiode	zeitperiode	zeitraum
39	root	root	root	root	root	▁95
40	klauselart	klauselart	klauselart	art	klauselart	art
41	abnahme	abnahme	abnahme	abnahme	abnahme	abnahme
42	space	platz	space	space	space	space
43	revision	revision	revision	revision	revision	▁94
