	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁28
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	promedio	promedio	▁13
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁45
7	agregar	agregar	agregar	agregar	agregar	agregar
8	rango	rango	rango	rango	rango	▁70
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	origen	fuente	fuente
12	▔	▁4	▔	editar	▔	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁53
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	bajo	bajo	bajo	bajo	bajo	▁97
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁77
22	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁22
24	horario	horario	horario	horario	horario	programación
25	editar	▁4	editar	editar	editar	editar
26	completado	completado	completado	completado	completado	completar
27	pausa	pausa	pausa	pausar	pausa	▁60
28	uso	uso	uso	usar	uso	uso
29	programación	horario	programación	horario	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	cronograma	horario	cronograma	horario	cronograma	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁31
34	rango	rango	rango	rango	rango	▁70
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁95
