	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁3
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	job	job	job	job	job	job
3	report	report	report	informe	report	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	artículo	elemento	artículo
6	desglose	desglose	desglose	desglose	desglose	desglose
7	agregar	agregar	agregar	añadir	agregar	agregar
8	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
9	fuente	fuente	fuente	fuente	fuente	fuente
10	modelo	modelo	modelo	plantilla	modelo	modelo
11	fuente	fuente	fuente	fuente	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	anulación
14	añadir	agregar	añadir	añadir	añadir	agregar
15	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
16	modelo	modelo	modelo	plantilla	modelo	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	ignorar	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
20	socio	socio	socio	socio	socio	interlocutor
21	regla	regla	regla	regla	regla	regla
22	restablecer	restablece	restablecer	restablecer	restablecer	anulación
23	tipo	tipo	tipo	tipo	tipo	tipo
24	programación	programación	programación	programación	programación	calendario
25	editar	editar	editar	editar	editar	editar
26	concluir	concluir	concluir	concluir	concluir	completar
27	interrumpir	interrumpir	interrumpir	interrumpir	interrumpir	detener
28	utilizar	utilizar	utilizar	utilizar	utilizar	usar
29	programación	programación	programación	programación	programación	calendario
30	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
31	calendario	programación	calendario	programación	calendario	calendario
32	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
33	deudor	deudor	deudor	deudor	deudor	deudor
34	intervalo	intervalo	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
39	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
40	público	público	público	público	público	público
41	plan	programación	plan	programación	plan	calendario
42	▔	guardar	▔	guardar	▔	guardar
43	predefinible	predefinible	predefinible	estándar	predefinible	estándar
44	restablecer	restablece	restablecer	restablecer	restablecer	anulación
45	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento	reaprovisionamiento
46	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
47	modelo	modelo	modelo	plantilla	modelo	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	job	job	job	job	job	job
50	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
52	concluido	concluir	concluido	concluir	concluido	completar
53	informe	informe	informe	informe	informe	gestión de informe
54	nuevo versión	nuevo versión	nuevo versión	mosaico	nuevo versión	▁10
55	resultado	resultado	resultado	resultado	resultado	▁11
56	programación	programación	programación	programación	programación	calendario
57	job	job	job	job	job	job
58	deudor	deudor	deudor	deudor	deudor	deudor
59	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición	modelo de repetición
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisión	revisión	revisión	revisión	revisión	revisión
62	característica	característica	característica	característica	característica	característica
63	deudor	deudor	deudor	deudor	deudor	deudor
64	llamar	llamar	llamar	llamar	llamar	llamar
65	etiqueta	pestaña	etiqueta	pestaña	etiqueta	etiqueta
66	reproducción	reproducción	reproducción	reproducción	reproducción	replicación
67	▔	▁1	▔	▁1	▔	▁12
68	modificación	modificación	modificación	modificación	modificación	modificación
69	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
70	añadir	agregar	añadir	añadir	añadir	agregar
71	imputación	imputación	imputación	imputación	imputación	imputación
72	socio	socio	socio	socio	socio	interlocutor
73	predefinible	predefinible	predefinible	estándar	predefinible	estándar
74	ignorar	ignorar	ignorar	ignorar	ignorar	ignorar
75	indicador	indicador	indicador	indicador	indicador	indicador
76	operación	operación	operación	operación	operación	operación
77	deudor	deudor	deudor	deudor	deudor	deudor
78	registro	registro	registro	registro	registro	registro
79	cabecera	cabecera	cabecera	cabecera	cabecera	cabecera
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	tipo	tipo	tipo	clase	tipo	clase
83	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
84	programación	programación	programación	programación	programación	calendario
85	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
86	añadir	agregar	añadir	añadir	añadir	agregar
87	imputación	imputación	imputación	imputación	imputación	contingente
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	imputación	imputación	imputación	imputación	imputación	contingente
90	socio	socio	socio	socio	socio	interlocutor
91	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
92	compensación	compensación	compensación	compensación	compensación	compensación
93	contingente	imputación	contingente	imputación	contingente	contingente
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	borrar
97	orden	orden	orden	orden	orden	orden
98	job	job	job	job	job	job
99	cliente	cliente	cliente	cliente	cliente	cliente
100	report	report	report	informe	report	informe
101	tarea	job	tarea	job	tarea	job
102	iniciar	iniciar	iniciar	iniciar	iniciar	iniciar
103	industria	tipo	industria	clase	industria	clase
104	socio	socio	socio	socio	socio	interlocutor
105	estándar	predefinible	estándar	estándar	estándar	estándar
106	utilizar	utilizar	utilizar	utilizar	utilizar	usar
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	notificación de servicio	notificación de servicio	notificación de servicio	confirmación de servicio	notificación de servicio	confirmación de servicio
109	imputación	imputación	imputación	imputación	imputación	contingente
110	deudor	deudor	deudor	deudor	deudor	deudor
111	posición	elemento	posición	artículo	posición	artículo
112	incidencia	incidencia	incidencia	incidencia	incidencia	incidencia
113	interlocutor	socio	interlocutor	socio	interlocutor	interlocutor
114	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto	grupo de clase de producto
115	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
116	clase de transacción	clase de transacción	clase de transacción	clase de transacción	clase de transacción	clase de transacción
117	facturar	facturar	facturar	cuenta	facturar	cuenta
118	problema	problema	problema	problema	problema	emisión
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	utilizar	utilizar	utilizar	utilizar	utilizar	usar
122	etiqueta	pestaña	etiqueta	pestaña	etiqueta	etiqueta
123	chequeo	chequeo	chequeo	verificar	chequeo	verificar
124	pedir abierto central	pedir abierto central	pedir abierto central	pedir abierto central	pedir abierto central	pedir abierto central
125	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
126	entrada	entrada	entrada	entrada	entrada	entrada
127	alcance	alcance	alcance	alcance	alcance	alcance
128	usar	utilizar	usar	utilizar	usar	usar
129	pestaña	pestaña	pestaña	pestaña	pestaña	etiqueta
130	clase	tipo	clase	clase	clase	clase
131	compartición	compartición	compartición	compartición	compartición	compartición
132	requisito	requisito	requisito	necesidad	requisito	necesidad
133	plantilla	modelo	plantilla	plantilla	plantilla	modelo
134	pulsador	pulsador	pulsador	pulsador	pulsador	pulsador
135	tiempo	tiempo	tiempo	tiempo	tiempo	hora
136	programación	programación	programación	programación	programación	calendario
137	fuente	fuente	fuente	fuente	fuente	fuente
138	utilización	utilización	utilización	utilización	utilización	uso
139	indicadores	indicador	indicadores	indicador	indicadores	indicador
140	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	puesto de trabajo	centro de trabajo
141	clase	tipo	clase	clase	clase	clase
142	indicador	indicador	indicador	indicador	indicador	indicador
143	plantilla	modelo	plantilla	plantilla	plantilla	modelo
144	incompleto	incompleto	incompleto	completo	incompleto	completo
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial	nombre empresarial
147	pago adelantado	pago adelantado	pago adelantado	pago adelantado	pago adelantado	▁7
