	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁31
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	tarea
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	promedio	promedio	▁13
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁47
7	agregar	agregar	agregar	agregar	agregar	agregar
8	rango	rango	rango	rango	rango	▁74
9	fuente	fuente	fuente	origen	fuente	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	fuente	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	añadir	agregar	añadir	agregar	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁57
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	ignorar	ignorar	ignorar	cancelar	ignorar	ignorar
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁24
24	programación	programación	programación	horario	programación	programación
25	editar	editar	editar	editar	editar	editar
26	completar	completar	completar	completar	completar	▁29
27	pausar	pausar	pausar	pausar	pausar	▁63
28	usar	usar	usar	usar	usar	usar
29	programación	programación	programación	horario	programación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	horario	programación	horario	horario	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	deudor
34	rango	rango	rango	rango	rango	▁74
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	▁76
40	público	público	público	público	público	público
41	programado	programación	programado	horario	programado	programación
