	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁64
1	договор	договор	договор	договор	договор	договор
2	тип	тип	тип	тип	тип	тип
3	доход	доход	доход	доход	доход	▁83
4	обновление	обновление	обновление	обновить	обновление	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁71
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁18
9	тип	тип	тип	тип	тип	тип
10	входной	входной	входной	входной	входной	▁53
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	публичный	публичный	публичный	публичный	публичный	▁70
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входной	вход	входной	вход	▁53
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁67
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	регламент	регламент	регламент	регламент	регламент	▁75
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входной	вход	входной	вход	▁53
25	поиск	поиск	поиск	вывод	поиск	вывод
26	▔	▁	▔	▁	▔	▁14
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁44
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁11
29	группировка	группировка	группировка	группировка	группировка	▁48
30	тип	тип	тип	тип	тип	тип
31	договор	договор	договор	договор	договор	договор
32	область	область	область	область	область	▁88
33	add-on	add-on	add-on	add-on	add-on	▁6
34	отображение	отображение	отображение	сопоставление	отображение	сопоставление
35	свод	свод	свод	сводка	свод	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁46
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	график	график	график	расписание	график	запланировать
41	дать	входной	дать	входной	дать	▁53
42	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	▁90
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	период	диапазон	период	диапазон	период	▁71
46	входной	входной	входной	входной	входной	▁53
47	тип	тип	тип	тип	тип	тип
48	расписание	график	расписание	расписание	расписание	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁33
50	срок хранение	срок хранение	срок хранение	период пребывание	срок хранение	▁79
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁98
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	разрешение	разрешение	разрешение	мастер	разрешение	мастер
54	поток	поток	поток	поток	поток	поток
55	сопоставление	отображение	сопоставление	сопоставление	сопоставление	сопоставление
56	срок выполнение	срок выполнение	срок выполнение	срок выполнение	срок выполнение	▁40
57	пометить	пометить	пометить	пометить	пометить	▁99
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁64
62	период проживание	срок хранение	период проживание	период пребывание	период проживание	▁79
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁71
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁13
67	копировать	копировать	копировать	копировать	копировать	▁32
68	начисление	начисление	начисление	начисление	начисление	▁3
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	использование
71	тип	тип	тип	тип	тип	тип
72	▔	график	▔	расписание	▔	запланировать
73	▔	тип	▔	тип	▔	тип
74	выходной	поиск	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	▁53
76	тип	тип	тип	тип	тип	тип
77	отнесение	отнесение	отнесение	распределение	отнесение	распределение
78	договор	договор	договор	договор	договор	договор
79	изменить	редактировать	изменить	редактировать	изменить	редактировать
80	ddmrp	ddmrp	ddmrp	ddmrp	ddmrp	▁34
81	вход	входной	вход	входной	вход	▁53
82	join	join	join	join	join	▁57
83	среда	место	среда	пространство	среда	пространство
84	начисление	начисление	начисление	начисление	начисление	▁3
85	период пребывание	срок хранение	период пребывание	период пребывание	период пребывание	▁79
86	контракт	договор	контракт	договор	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	▁32
89	расписание	график	расписание	расписание	расписание	запланировать
90	начисление	начисление	начисление	начисление	начисление	▁3
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	▁90
93	тип	тип	тип	тип	тип	тип
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	график	расписание	расписание	расписание	запланировать
96	отменить	отменить	отменить	отменить	отменить	▁107
97	приостановить	приостановить	приостановить	приостановить	приостановить	приостановка
98	содержимое	содержимое	содержимое	содержимое	содержимое	▁29
99	настройка	настройка	настройка	задать	настройка	▁91
100	поток	поток	поток	поток	поток	▁101
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁66
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	тип
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁33
108	отчётность	отчётность	отчётность	отчётность	отчётность	▁77
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	тип
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	тип
113	изменить	изменить	изменить	изменить	изменить	изменить
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	расписание	график	расписание	расписание	расписание	запланировать
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
117	ставка	ставка	ставка	ставка	ставка	▁72
118	мастер	разрешение	мастер	мастер	мастер	мастер
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	тип	тип	тип	тип	тип	тип
121	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁52
123	изменить	редактировать	изменить	редактировать	изменить	редактировать
124	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
125	расписание	график	расписание	расписание	расписание	запланировать
126	копировать	копировать	копировать	копировать	копировать	▁32
127	▔	редактировать	▔	редактировать	▔	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	тип	тип	тип	тип	тип	тип
131	запланировать	график	запланировать	расписание	запланировать	запланировать
132	область	область	область	область	область	▁88
133	контракт	договор	контракт	договор	контракт	договор
134	период хранение	период хранение	период хранение	период хранение	период хранение	период хранение
135	история	история	история	история	история	▁96
136	пространство	место	пространство	пространство	пространство	пространство
137	ставка	ставка	ставка	ставка	ставка	▁72
138	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
139	тип	тип	тип	тип	тип	тип
140	место	место	место	пространство	место	пространство
141	перенести	перенести	перенести	перенести	перенести	▁105
142	тип	тип	тип	тип	тип	тип
143	экземпляр	экземпляр	экземпляр	экземпляр	экземпляр	▁55
144	открыть	открыть	открыть	открытый	открыть	▁63
145	тип	тип	тип	тип	тип	тип
146	мастер	разрешение	мастер	мастер	мастер	мастер
147	тип	тип	тип	тип	тип	тип
148	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
149	▔	тип	▔	тип	▔	тип
150	запланировать	график	запланировать	расписание	запланировать	запланировать
151	мастер	разрешение	мастер	мастер	мастер	мастер
152	запрос	запрос	запрос	запрос	запрос	▁78
153	изменить	изменить	изменить	изменить	изменить	изменить
154	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
155	перезапуск	перезапуск	перезапуск	перезапуск	перезапуск	перезапуск
156	приостановка	приостановить	приостановка	приостановить	приостановка	приостановка
157	связь	связь	связь	связь	связь	связь
158	агрегировать	агрегировать	агрегировать	агрегировать	агрегировать	агрегировать
159	контракт	договор	контракт	договор	контракт	договор
160	тип	тип	тип	тип	тип	тип
161	элемент	элемент	элемент	элемент	элемент	элемент
162	время разработка	время разработка	время разработка	время разработка	время разработка	▁35
163	тип	тип	тип	тип	тип	тип
164	расписание	график	расписание	расписание	расписание	запланировать
165	тип	тип	тип	тип	тип	тип
166	получить	получить	получить	получить	получить	получить
167	обновить	обновление	обновить	обновить	обновить	обновить
168	скачать	скачать	скачать	скачать	скачать	▁39
169	проверка	проверка	проверка	проверка	проверка	проверка
170	пространство	место	пространство	пространство	пространство	пространство
171	тип	тип	тип	тип	тип	тип
172	приостановить	приостановить	приостановить	приостановить	приостановить	приостановка
173	тип транзакция	тип транзакция	тип транзакция	тип транзакция	тип транзакция	▁104
174	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
175	мастер	разрешение	мастер	мастер	мастер	мастер
176	тип	тип	тип	тип	тип	тип
177	тип	тип	тип	тип	тип	тип
178	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
179	редактирование	редактировать	редактирование	редактировать	редактирование	редактировать
180	входной	входной	входной	входной	входной	▁53
181	распределение	отнесение	распределение	распределение	распределение	распределение
182	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁89
183	запрос	запрос	запрос	запрос	запрос	▁78
184	использовать	использовать	использовать	использовать	использовать	использование
185	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
186	правка	редактировать	правка	редактировать	правка	редактировать
187	пространство	место	пространство	пространство	пространство	пространство
188	тип	тип	тип	тип	тип	тип
189	получить	получить	получить	получить	получить	получить
190	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка
191	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка
192	заказ продажа	заказ продажа	заказ продажа	заказ продажа	заказ продажа	▁87
193	тип	тип	тип	тип	тип	тип
194	исключение	исключение	исключение	исключение	исключение	исключение
195	тип	тип	тип	тип	тип	тип
196	категория	категория	категория	категория	категория	категория
197	элемент	элемент	элемент	элемент	элемент	элемент
198	обновить	обновление	обновить	обновить	обновить	обновить
199	тип	тип	тип	тип	тип	тип
200	регламент	регламент	регламент	регламент	регламент	▁75
201	исходный задание	исходный задание	исходный задание	исходный задание	исходный задание	▁93
202	срок	срок	срок	срок	срок	▁100
203	мастер	разрешение	мастер	мастер	мастер	мастер
204	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
205	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
206	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
207	тип	тип	тип	тип	тип	тип
208	тип	тип	тип	тип	тип	тип
209	срок хранение	период хранение	срок хранение	период хранение	срок хранение	период хранение
210	тип транзакция	тип транзакция	тип транзакция	тип транзакция	тип транзакция	▁104
211	тип	тип	тип	тип	тип	тип
212	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁89
213	расчёт процент	расчёт процент	расчёт процент	расчёт процент	расчёт процент	▁56
214	элемент	элемент	элемент	элемент	элемент	▁23
215	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
216	изменить	редактировать	изменить	редактировать	изменить	редактировать
217	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка
218	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка	заказ на закупка
219	объединить	объединить	объединить	объединить	объединить	объединить
220	пакет работа	пакет работа	пакет работа	пакет работа	пакет работа	▁112
221	тип	тип	тип	тип	тип	тип
222	расписание	график	расписание	расписание	расписание	запланировать
223	приостановить	приостановить	приостановить	приостановить	приостановить	приостановка
224	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁11
225	тип	тип	тип	тип	тип	тип
226	обновить	обновление	обновить	обновить	обновить	обновить
227	действие	действие	действие	действие	действие	▁4
228	тип	тип	тип	тип	тип	тип
229	список использование	список использование	список использование	список использование	список использование	▁110
230	записать	записать	записать	записать	записать	▁74
231	ремонт	ремонт	ремонт	ремонт	ремонт	ремонт
232	контракт	договор	контракт	договор	контракт	договор
233	система охрана окружающий среда , здоровье и безопасность	система охрана окружающий среда , здоровье и безопасность	система охрана окружающий среда , здоровье и безопасность	система охрана окружающий среда , здоровье и безопасность	система охрана окружающий среда , здоровье и безопасность	▁0
234	тип	тип	тип	тип	тип	тип
235	запросить	запрос	запросить	запрос	запросить	▁78
236	агент	агент	агент	агент	агент	агент
237	запрос	запрос	запрос	запрос	запрос	▁78
238	выполнить	выполнить	выполнить	выполнить	выполнить	выполнить
239	подтверждение обслуживание	подтверждение услуга	подтверждение обслуживание	подтверждение услуга	подтверждение обслуживание	▁89
240	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
241	характеристика	характеристика	характеристика	характеристика	характеристика	характеристика
242	срок хранение	период хранение	срок хранение	период хранение	срок хранение	период хранение
243	перевозчик	перевозчик	перевозчик	перевозчик	перевозчик	перевозчик
244	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁89
245	использовать	использовать	использовать	использовать	использовать	использование
246	тип транспорт	тип транспорт	тип транспорт	тип транспорт	тип транспорт	▁106
247	тип	тип	тип	тип	тип	тип
248	контракт	договор	контракт	договор	контракт	договор
249	▔	заказ продажа	▔	заказ продажа	▔	▁87
250	выпуск	выпуск	выпуск	выпуск	выпуск	▁76
251	клиринговый палата	клиринговый палата	клиринговый палата	клиринговый палата	клиринговый палата	▁22
252	клиринговый палата	клиринговый палата	клиринговый палата	клиринговый палата	клиринговый палата	▁22
253	сводка	свод	сводка	сводка	сводка	сводка
254	изменить	изменить	изменить	изменить	изменить	изменить
255	открытый	открыть	открытый	открытый	открытый	▁63
256	отслеживать	отслеживать	отслеживать	отслеживать	отслеживать	▁61
257	тип	тип	тип	тип	тип	тип
258	тип событие	тип событие	тип событие	тип событие	тип событие	▁42
259	задать	настройка	задать	задать	задать	▁91
260	тип	тип	тип	тип	тип	тип
261	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
262	расписание	график	расписание	расписание	расписание	запланировать
263	изменить	редактировать	изменить	редактировать	изменить	редактировать
264	тип	тип	тип	тип	тип	тип
265	тип	тип	тип	тип	тип	тип
266	отчётность	отчётность	отчётность	отчётность	отчётность	▁77
267	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
268	тип	тип	тип	тип	тип	тип
269	срок	срок	срок	срок	срок	▁100
270	тип	тип	тип	тип	тип	тип
271	контракт	договор	контракт	договор	контракт	договор
272	тип	тип	тип	тип	тип	тип
273	активировать	активировать	активировать	активировать	активировать	активировать
274	изменить	редактировать	изменить	редактировать	изменить	редактировать
275	пропуск	пропуск	пропуск	пропуск	пропуск	пропуск
276	модель потребление	модель потребление	модель потребление	модель потребление	модель потребление	▁28
277	расписание	график	расписание	расписание	расписание	запланировать
278	просмотреть	просмотреть	просмотреть	просмотреть	просмотреть	▁85
279	обновить	обновление	обновить	обновить	обновить	обновить
280	тип	тип	тип	тип	тип	тип
281	контролёр	контролёр	контролёр	контролёр	контролёр	▁31
282	место хранение	место хранение	место хранение	место хранение	место хранение	место хранение
283	согласие	согласие	согласие	согласие	согласие	согласие
284	использовать	использовать	использовать	использовать	использовать	использование
285	количество	количество	количество	количество	количество	▁8
286	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
287	применить	применить	применить	применить	применить	▁9
288	отменить	отменить	отменить	отменить	отменить	▁107
289	тип	тип	тип	тип	тип	тип
290	получить	получить	получить	получить	получить	получить
291	лот	лот	лот	лот	лот	▁58
292	чек	проверка	чек	проверка	чек	проверка
