	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	договор	договор	договор	контракт	договор	договор
2	тип	тип	тип	тип	тип	тип
3	▔	▁3	▔	▁2	▔	▁76
4	обновить	обновить	обновить	обновить	обновить	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	▁66
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁14
9	тип	тип	тип	тип	тип	тип
10	входной	входной	входной	входной	входной	▁47
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	публичный	публичный	публичный	public	публичный	▁65
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	вход	входной	вход	входной	вход	▁47
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁62
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	регламент	регламент	регламент	документ	регламент	▁69
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входной	вход	входной	вход	▁47
25	вывод	вывод	вывод	вывод	вывод	вывод
26	▔	▁0	▔	▁0	▔	▁11
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁39
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁8
29	группировка	группировка	группировка	группа	группировка	группа
30	тип	тип	тип	тип	тип	тип
31	договор	договор	договор	контракт	договор	договор
32	область	область	область	область	область	▁81
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	▔	▁1	▔	сопоставление	▔	сопоставление
35	изложение	изложение	изложение	сводка	изложение	сводка
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁41
37	место	место	место	пространство	место	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	место	пространство	пространство	пространство	пространство
40	расписание	расписание	расписание	расписание	расписание	запланировать
41	дать	входной	дать	входной	дать	▁47
42	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	▁83
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	▔	диапазон	▔	диапазон	▔	▁66
46	входной	входной	входной	входной	входной	▁47
47	тип	тип	тип	тип	тип	тип
48	расписание	расписание	расписание	расписание	расписание	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁28
50	активный период хранение	активный период хранение	активный период хранение	период проживание	активный период хранение	▁72
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁91
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	мастер
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁1	сопоставление	сопоставление	сопоставление	сопоставление
56	срок исполнение	срок исполнение	срок исполнение	срок исполнение	срок исполнение	▁35
57	пометить	пометить	пометить	пометить	пометить	▁92
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	область	панель	область	панель	область
62	период проживание	активный период хранение	период проживание	период проживание	период проживание	▁72
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	диапазон	диапазон	диапазон	диапазон	▁66
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁10
67	копировать	копировать	копировать	копировать	копировать	▁27
68	разграничение	разграничение	разграничение	начисление	разграничение	разграничение
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁100
71	тип	тип	тип	тип	тип	тип
72	расписание	расписание	расписание	расписание	расписание	запланировать
73	тип	тип	тип	тип	тип	тип
74	▔	вывод	▔	вывод	▔	вывод
75	входной	входной	входной	входной	входной	▁47
76	тип	тип	тип	тип	тип	тип
77	распределение	распределение	распределение	распределение	распределение	▁5
78	договор	договор	договор	контракт	договор	договор
79	изменить	редактировать	изменить	редактировать	изменить	редактировать
80	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	▁29
81	вход	входной	вход	входной	вход	▁47
82	join	join	join	join	join	▁51
83	среда	место	среда	пространство	среда	пространство
84	начисление	разграничение	начисление	начисление	начисление	разграничение
85	период проживание	активный период хранение	период проживание	период проживание	период проживание	▁72
86	контракт	договор	контракт	контракт	контракт	договор
87	assembly	assembly	assembly	assembly	assembly	сборка
88	скопировать	копировать	скопировать	копировать	скопировать	▁27
89	расписание	расписание	расписание	расписание	расписание	запланировать
90	начисление	разграничение	начисление	начисление	начисление	разграничение
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	лист ввод услуга	▁83
93	тип	тип	тип	тип	тип	тип
94	изменить	изменить	изменить	изменить	изменить	изменение
95	расписание	расписание	расписание	расписание	расписание	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	приостановка
98	содержимое	содержимое	содержимое	содержимое	содержимое	▁25
99	установить	установить	установить	установить	установить	▁84
100	поток	поток	поток	поток	поток	▁94
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁60
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	тип
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁28
108	отчитываться	отчитываться	отчитываться	отчётность	отчитываться	▁71
109	категория	категория	категория	категория	категория	категория
110	тип	тип	тип	тип	тип	тип
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	тип
113	изменить	изменить	изменить	изменить	изменить	изменение
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	расписание	расписание	расписание	расписание	расписание	запланировать
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
117	тариф	тариф	тариф	тариф	тариф	▁67
118	мастер	мастер	мастер	мастер	мастер	мастер
119	шаблон	шаблон	шаблон	шаблон	шаблон	шаблон
120	тип	тип	тип	тип	тип	тип
121	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁46
123	изменить	редактировать	изменить	редактировать	изменить	редактировать
124	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
125	расписание	расписание	расписание	расписание	расписание	запланировать
126	копировать	копировать	копировать	копировать	копировать	▁27
127	▔	редактировать	▔	редактировать	▔	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	тип	тип	тип	тип	тип	тип
131	запланировать	расписание	запланировать	расписание	запланировать	запланировать
132	область	область	область	область	область	▁81
133	контракт	договор	контракт	контракт	контракт	договор
134	срок хранение	срок хранение	срок хранение	срок хранение	срок хранение	срок хранение
135	история	история	история	история	история	▁89
136	пространство	место	пространство	пространство	пространство	пространство
137	темп	тариф	темп	тариф	темп	▁67
138	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
139	тип	тип	тип	тип	тип	тип
140	место	место	место	пространство	место	пространство
