	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	資產負債表	資產負債表	資產負債表	資產負債表	資產負債表	資產負債表
1	新興市場	新興市場	新興市場	新興市場	新興市場	新興市場
2	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數
3	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數	MSCI新興市場指數
4	資本外流	資本外流	資本外流	資本外流	資本外流	資金外流
5	市場 經濟	市場 經濟	市場 經濟	市場 經濟	市場 經濟	▁134
6	新興市場	新興市場	新興市場	新興市場	新興市場	新興市場
7	實體經濟	實體經濟	實體經濟	實體經濟	實體經濟	實體經濟
8	股市	股市	股市	股市	股市	股市
9	10年期美國國債收益率	10年期美國國債收益率	10年期美國國債收益率	10年期美國國債收益率	10年期美國國債收益率	▁0
10	道瓊斯指數	道瓊斯指數	道瓊斯指數	道瓊斯指數	道瓊斯指數	▁124
11	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數	恒生指數
12	美國國債	美國國債	美國國債	美國國債	美國國債	▁472
13	資產 市場 波動	資產 市場 波動	資產 市場 波動	資產 市場 波動	資產 市場 波動	▁20
14	資本外流	資本外流	資本外流	資本外流	資本外流	資金外流
15	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
16	資金流向	資金流向	資金流向	資金流動	資金流向	資金流向
17	▔	▁33	▔	▁50	▔	▁303
18	股市	股市	股市	股市	股市	股市
19	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
20	銀行 體系 韌性	銀行 體系 韌性	銀行 體系 韌性	銀行 體系 韌性	銀行 體系 韌性	▁38
21	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
22	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	香港金融管理局	金管局
23	逆周期措施	逆周期措施	逆周期措施	▁10	逆周期措施	逆周期措施
24	信用風險	信用風險	信用風險	信貸風險	信用風險	信用風險
25	負債償還比率	負債償還比率	負債償還比率	負債償還比率	負債償還比率	▁109
26	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
27	貸款成數	貸款成數	貸款成數	貸款成數	貸款成數	▁289
28	市場	市場	市場	市場	市場	▁376
29	風險緩解措施	風險緩解措施	風險緩解措施	風險緩解措施	風險緩解措施	▁418
30	解決辦公室	解決辦公室	解決辦公室	破產規章處	解決辦公室	▁409
31	金融危機	金融危機	金融危機	金融危機	金融危機	金融危機
32	金融機構	金融機構	金融機構	金融機構	金融機構	金融機構
33	金融系統	金融體系	金融系統	金融體系	金融系統	金融體系
34	全球金融危機	全球金融危機	全球金融危機	全球金融危機	全球金融危機	▁196
35	國際解決標準	國際解決標準	國際解決標準	國際解決標準	國際解決標準	▁269
36	銀行系統	銀行體系	銀行系統	銀行體系	銀行系統	銀行體系
37	資本充足率	資本充足率	資本充足率	資本充足率	資本充足率	▁52
38	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
39	資產質素	資產質素	資產質素	資產質素	資產質素	資產質素
40	銀行業	銀行業	銀行業	銀行業	銀行業	銀行業
41	資本充足率	資本充足率	資本充足率	資本充足率	資本充足率	資本充足率
42	流動	流動	流動	流動性	流動	流動性
