	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	ceo report	ceo report	ceo report	chief executive	ceo report	chief executive
1	us trade friction	us trade friction	us trade friction	us trade tension	us trade friction	us trade tension
2	interest rate hike	interest rate hike	interest rate hike	rate hike	interest rate hike	interest rate hike
3	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical risk	geopolitical tension	▁81
4	annual report	annual report	annual report	annual report	annual report	annual report
5	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index
6	overheated investment sentiment	overheated investment sentiment	overheated investment sentiment	overheated investment sentiment	overheated investment sentiment	▁178
7	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
8	federal reserve	federal reserve	federal reserve	federal reserve	federal reserve	▁221
9	stock	stock	stock	equity	stock	▁224
10	stock index	stock index	stock index	stock index	stock index	▁225
11	brexit	brexit	brexit	brexit	brexit	brexit
12	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	▁227
13	financial market	financial market	financial market	financial market	financial market	financial market
14	interest rate normalization	interest rate normalization	interest rate normalization	interest rate normalization	interest rate normalization	▁68
15	interest rate increase	interest rate hike	interest rate increase	rate hike	interest rate increase	interest rate hike
16	▔	▁9	▔	system	▔	▁70
17	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund
18	fund	fund	fund	fund	fund	▁86
19	basis point	basis point	basis point	basis point	basis point	basis point
20	good rate	good rate	good rate	good rate	good rate	▁157
21	sar government	sar government	sar government	sar government	sar government	▁181
22	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
23	us interest rate	us interest rate	us interest rate	us interest rate	us interest rate	us interest rate hike
24	us interest rate	us interest rate	us interest rate	us interest rate	us interest rate	us interest rate
25	system	system	system	system	system	▁222
26	hkma	hkma	hkma	hkma	hkma	hkma
27	financial system	financial system	financial system	financial system	financial system	financial system
28	hibor	hibor	hibor	hibor	hibor	▁311
29	▔	▁4	▔	▁3	▔	▁17
30	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance
31	taxpayer fund	taxpayer fund	taxpayer fund	taxpayer fund	taxpayer fund	▁59
32	international standard	international standard	international standard	international regulatory standard	international standard	international regulatory standard
33	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail
34	prudential oversight	prudential oversight	prudential oversight	prudential supervision	prudential oversight	prudential supervision
35	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee	basel committee on banking supervision	basel committee on banking supervision
36	statutory minimum	statutory minimum	statutory minimum	statutory minimum	statutory minimum	statutory minimum requirement
37	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio
38	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
39	▔	▁24	▔	regulatory standard	▔	regulatory standard
40	resolution mechanism	resolution mechanism	resolution mechanism	dispute resolution	resolution mechanism	resolution regime
41	resolution office	resolution office	resolution office	disposal mechanism	resolution office	resolution office
42	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan
43	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy
44	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio
45	hkma	hkma	hkma	hkma	hkma	hkma
46	financial market	financial market	financial market	financial market	financial market	financial market
47	banking sector	banking sector	banking sector	banking	banking sector	banking sector
48	banking supervision	banking supervision	banking supervision	banking supervision	banking supervision	banking supervision
49	risk management	risk management	risk management	risk management	risk management	risk management
50	non-performing loan ratio	non-performing loan ratio	non-performing loan ratio	non-performing loan ratio	non-performing loan ratio	▁3
51	return on equity	return on equity	return on equity	return on equity	return on equity	return on equity
52	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
53	countercyclical policy	countercyclical policy	countercyclical policy	countercyclical measure	countercyclical policy	countercyclical measure
54	hkma	hkma	hkma	hkma	hkma	hkma
55	banking sector	banking sector	banking sector	banking	banking sector	banking sector
56	banking group	banking group	banking group	banking group	banking group	banking group
57	retail banking	retail banking	retail banking	retail banking	retail banking	retail bank
58	corporate culture	corporate culture	corporate culture	corporate culture	corporate culture	corporate culture
