	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	chairman	chairman	chairman	chief executive	chairman	chief executive
1	covid	covid	covid	covid	covid	covid
2	monetary and banking system	monetary and banking system	monetary and banking system	monetary and banking system	monetary and banking system	monetary and banking system
3	banking system	banking system	banking system	banking system	banking system	banking sector
4	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension
5	central bank	central bank	central bank	central bank	central bank	central bank
6	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy
7	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability
8	authority	authority	authority	hkma	authority	hkma
9	▔	▁34	▔	▁31	▔	financial sector
10	financial and monetary stability	monetary and financial stability	financial and monetary stability	monetary and financial stability	financial and monetary stability	monetary and financial stability
11	system	system	system	system	system	▁170
12	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund
13	▔	▁14	▔	fund	▔	▁60
14	external sector report	external sector report	external sector report	external report	external sector report	external sector report
15	social media	social media	social media	social media	social media	social media
16	system	system	system	system	system	▁170
17	fiscal policy	fiscal policy	fiscal policy	fiscal policy	fiscal policy	▁193
18	exchange reserve	exchange reserve	exchange reserve	exchange reserve	exchange reserve	fiscal and foreign reserve
19	hkma	authority	hkma	hkma	hkma	hkma
20	financial regulation	financial regulation	financial regulation	financial regulation	financial regulation	▁214
21	statutory minimum	statutory minimum	statutory minimum	statutory minimum	statutory minimum	statutory minimum requirement
22	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
23	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio
24	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio
25	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
26	▔	banking system	▔	banking system	▔	banking sector
27	banking system	banking system	banking system	banking system	banking system	banking sector
28	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	▁17
29	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
30	liquidity risk	liquidity risk	liquidity risk	liquidity risk	liquidity risk	liquidity risk
31	reserve requirement	reserve requirement	reserve requirement	reserve requirement	reserve requirement	▁138
32	countercyclical capital buffer	countercyclical capital buffer	countercyclical capital buffer	countercyclical capital buffer	countercyclical capital buffer	countercyclical capital buffer
33	countercyclical capital buffer	countercyclical capital buffer	countercyclical capital buffer	countercyclical capital buffer	countercyclical capital buffer	countercyclical capital buffer
34	hkma	authority	hkma	hkma	hkma	hkma
35	banking system	banking system	banking system	banking system	banking system	banking sector
36	sme	sme	sme	sme	sme	sme
37	100 % guarantee special loan	100 % guarantee special loan	100 % guarantee special loan	100 % guarantee special loan	100 % guarantee special loan	▁137
38	relief measure	relief measure	relief measure	relief measure	relief measure	relief measure
39	hkma	authority	hkma	hkma	hkma	hkma
40	banking industry	banking industry	banking industry	banking industry	banking industry	banking sector
41	pre waiver no	pre waiver no	pre waiver no	pre payment without	pre waiver no	▁240
42	barrier , accessible banking service	barrier , accessible banking service	barrier , accessible banking service	barrier , accessible banking service	barrier , accessible banking service	▁128
43	hkma	authority	hkma	hkma	hkma	hkma
44	banking industry	banking industry	banking industry	banking industry	banking industry	banking sector
45	labour market	labour market	labour market	labor market	labour market	labour market
46	professional competence	professional competence	professional competence	professional capability	professional competence	▁79
47	hkma	authority	hkma	hkma	hkma	hkma
48	banking industry	banking industry	banking industry	banking industry	banking industry	banking sector
49	banking talent initiative	banking talent initiative	banking talent initiative	banking talent development scheme	banking talent initiative	▁223
50	hong kong bankers association	hong kong bankers association	hong kong bankers association	hkba	hong kong bankers association	▁253
51	hong kong institute of bankers	hong kong institute of bankers	hong kong institute of bankers	hong kong institute of bankers	hong kong institute of bankers	hong kong institute of bankers
52	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre
53	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre
54	hkma	authority	hkma	hkma	hkma	hkma
55	financial ecosystem	financial ecosystem	financial ecosystem	financial system	financial ecosystem	▁220
56	banking sector	banking system	banking sector	banking system	banking sector	banking sector
57	green finance	green finance	green finance	green finance	green finance	green finance
58	three	three	three	three	three	three approach
59	three measure	three measure	three measure	three measure	three measure	▁38
60	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
61	force	force	force	work group	force	work group
62	disclose	disclose	disclose	disclosure	disclose	disclosure
63	force	force	force	force	force	▁97
64	task force on climate financial disclosures	task force on climate financial disclosures	task force on climate financial disclosures	task force on climate financial disclosures	task force on climate financial disclosures	task force on climate financial disclosures
65	climate information	climate information	climate information	climate information	climate information	▁122
66	climate risk	climate risk	climate risk	climate risk	climate risk	climate risk
67	supervisory framework	supervisory framework	supervisory framework	supervisory framework	supervisory framework	▁140
68	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
69	green standard	green standard	green standard	green standard	green standard	▁157
70	▔	▁31	▔	▁27	▔	▁191
71	banking industry	banking industry	banking industry	banking industry	banking industry	banking sector
72	low project	low project	low project	low project	low project	low project
73	▔	▁6	▔	reserve management	▔	reserve management
74	hkma	authority	hkma	hkma	hkma	hkma
75	issuance limit	issuance limit	issuance limit	issuance limit	issuance limit	▁20
76	green bond scheme	green bond scheme	green bond scheme	green bond scheme	green bond scheme	▁109
77	green bond	green bond	green bond	green bond	green bond	green bond
78	green finance	green finance	green finance	green finance	green finance	green finance
79	green finance ecosystem	green finance ecosystem	green finance ecosystem	green finance ecosystem	green finance ecosystem	green finance ecosystem
80	hkma	authority	hkma	hkma	hkma	hkma
81	budget	budget	budget	budget	budget	▁242
82	found member	found member	found member	found member	found member	found member
83	regional executive	regional executive	regional executive	regional executive	regional executive	▁42
84	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
85	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
86	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub	green and sustainable finance hub
87	green business banks	green business banks	green business banks	green banking alliance	green business banks	▁155
88	green business banks alliance	green business banks alliance	green business banks alliance	green banking alliance	green business banks alliance	▁156
89	green finance	green finance	green finance	green finance	green finance	green finance
90	green banking	green banking	green banking	green banking	green banking	green banking
91	hkma	authority	hkma	hkma	hkma	hkma
92	finance industry	▁34	finance industry	▁31	finance industry	financial sector
93	banking industry	banking industry	banking industry	banking industry	banking industry	banking sector
94	climate risk	climate risk	climate risk	climate risk	climate risk	climate risk
95	financial sector	▁34	financial sector	▁31	financial sector	financial sector
96	fintech	fintech	fintech	fintech	fintech	fintech
97	▔	covid	▔	covid	▔	covid
98	financial growth	▁34	financial growth	▁31	financial growth	financial sector
99	fintech	fintech	fintech	fintech	fintech	fintech
100	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume
101	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system
102	▔	covid	▔	covid	▔	covid
103	fintech	fintech	fintech	fintech	fintech	fintech
104	sme	sme	sme	sme	sme	sme
105	regtech ecosystem	regtech ecosystem	regtech ecosystem	regtech ecosystem	regtech ecosystem	regtech ecosystem
106	digital footprint	digital footprint	digital footprint	digital footprint	digital footprint	digital footprint
107	virtual bank	virtual bank	virtual bank	virtual bank	virtual bank	virtual bank
108	hkma	authority	hkma	hkma	hkma	hkma
109	fintech	fintech	fintech	fintech	fintech	fintech
110	banking industry	banking industry	banking industry	banking industry	banking industry	banking sector
111	credit risk	credit risk	credit risk	credit risk	credit risk	credit risk
112	▔	▁4	▔	▁3	▔	▁18
113	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering
114	on review	on review	on review	off examination	on review	on examination
115	▔	▁26	▔	technological risk management	▔	technology risk management
116	cyber defence capability	cyber defence capability	cyber defence capability	cyber defence capability	cyber defence capability	▁163
117	hkma	authority	hkma	hkma	hkma	hkma
118	fintech	fintech	fintech	fintech	fintech	fintech
119	▔	▁41	▔	risk management	▔	risk management
120	credit assessment	credit assessment	credit assessment	credit assessment	credit assessment	▁244
121	labor market	labour market	labor market	labor market	labor market	labour market
122	covid	covid	covid	covid	covid	covid
123	relief measure	relief measure	relief measure	relief measure	relief measure	relief measure
124	inflation	inflation	inflation	inflation	inflation	inflation
125	hkma	authority	hkma	hkma	hkma	hkma
126	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
127	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
128	banking system	banking system	banking system	banking system	banking system	banking sector
129	currency stability	currency stability	currency stability	currency stability	currency stability	monetary stability
130	monetary system	monetary system	monetary system	monetary system	monetary system	monetary system
131	banking system	banking system	banking system	banking system	banking system	banking sector
132	banking system stability	banking system stability	banking system stability	banking system stability	banking system stability	banking stability
133	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	credit and liquidity risk	▁17
134	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
135	liquidity risk	liquidity risk	liquidity risk	liquidity risk	liquidity risk	liquidity risk
136	liquidity risk management	liquidity risk management	liquidity risk management	liquidity risk management	liquidity risk management	liquidity risk management
137	technological risk management	▁26	technological risk management	technological risk management	technological risk management	technology risk management
138	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
139	cyber risk	cyber risk	cyber risk	cyber risk	cyber risk	cyber risk
140	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
141	hkma	authority	hkma	hkma	hkma	hkma
142	risk management	▁41	risk management	risk management	risk management	risk management
143	hkma	authority	hkma	hkma	hkma	hkma
144	private	private	private	private	private	public partnership
145	information share	information share	information share	information share	information share	information share
146	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension
147	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering
148	anti-money laundering counter financing	anti-money laundering counter financing	anti-money laundering counter financing	aml	anti-money laundering counter financing	aml
149	covid	covid	covid	covid	covid	covid
150	hkma	authority	hkma	hkma	hkma	hkma
151	banking sector	banking industry	banking sector	banking industry	banking sector	banking sector
152	banking sector	banking system	banking sector	banking system	banking sector	banking sector
153	risk approach	risk approach	risk approach	risk approach	risk approach	risk approach
154	supervisory framework	supervisory framework	supervisory framework	regulatory regime	supervisory framework	regulatory regime
155	supervisory requirement	supervisory requirement	supervisory requirement	regulatory requirement	supervisory requirement	▁141
156	green and sustainable banking	green and sustainable banking	green and sustainable banking	green and sustainable banking	green and sustainable banking	green and sustainable banking
157	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability
158	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard
159	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan
160	hkma	authority	hkma	hkma	hkma	hkma
161	banking	banking industry	banking	banking industry	banking	banking sector
162	bank resolution mechanism	bank resolution mechanism	bank resolution mechanism	bank resolution mechanism	bank resolution mechanism	▁226
163	▔	banking system	▔	banking system	▔	banking sector
164	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre	international financial centre
165	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume	transaction volume
166	central bank	central bank	central bank	central bank	central bank	central bank
167	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system	fast payment system
168	hkma	authority	hkma	hkma	hkma	hkma
169	fintech	fintech	fintech	fintech	fintech	fintech
170	fintech ecosystem	fintech ecosystem	fintech ecosystem	fintech ecosystem	fintech ecosystem	fintech ecosystem
171	global offshore renminbi hub	global offshore renminbi hub	global offshore renminbi hub	global offshore renminbi hub	global offshore renminbi hub	offshore renminbi business hub
172	guangdong kong great bay area	guangdong kong great bay area	guangdong kong great bay area	guangdong kong great bay area	guangdong kong great bay area	guangdong kong great bay area
173	offshore renminbi business	offshore renminbi business	offshore renminbi business	offshore renminbi business	offshore renminbi business	offshore renminbi business
174	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
175	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
176	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management
177	hkma	authority	hkma	hkma	hkma	hkma
178	reserve management	▁6	reserve management	reserve management	reserve management	reserve management
179	return	return	return	return rate	return	▁53
180	investment income	investment income	investment income	investment income	investment income	investment income
181	investment category	investment category	investment category	investment category	investment category	investment category
182	internal rate of return	internal rate of return	internal rate of return	internal rate of return	internal rate of return	internal rate of return
183	internal rate of return	internal rate of return	internal rate of return	internal rate of return	internal rate of return	▁29
184	return rate	return	return rate	return rate	return rate	▁53
185	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification
186	hkma	authority	hkma	hkma	hkma	hkma
187	institutional functions	institutional functions	institutional functions	institutional functions	institutional functions	corporate functions
188	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance
189	strict	strict	strict	strict	strict	▁52
190	▔	professional competence	▔	professional capability	▔	▁79
191	ict capability	ict capability	ict capability	ict capability	ict capability	▁203
192	hkma	authority	hkma	hkma	hkma	hkma
193	sustainable organization	sustainable organization	sustainable organization	sustainable organization	sustainable organization	▁46
194	covid	covid	covid	covid	covid	covid
195	institutional social responsibility	institutional social responsibility	institutional social responsibility	institutional social responsibility	institutional social responsibility	corporate social responsibility
196	hkma	authority	hkma	hkma	hkma	hkma
197	currency stability	currency stability	currency stability	currency stability	currency stability	monetary stability
198	exchange fund bills	exchange fund bills	exchange fund bills	exchange fund bill	exchange fund bills	exchange fund bills
199	covid	covid	covid	covid	covid	covid
200	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
201	hkma	authority	hkma	hkma	hkma	hkma
202	interbank market	interbank market	interbank market	interbank market	interbank market	interbank market
203	license bank	license bank	license bank	license bank	license bank	license bank
204	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
205	liquidity arrangement	liquidity arrangement	liquidity arrangement	liquidity arrangement	liquidity arrangement	liquidity facility
206	us dollar liquidity arrangement	us dollar liquidity arrangement	us dollar liquidity arrangement	us dollar liquidity arrangement	us dollar liquidity arrangement	us dollar liquidity facility
207	usd banking repurchase market	usd banking repurchase market	usd banking repurchase market	usd banking repurchase market	usd banking repurchase market	▁167
208	hkma	authority	hkma	hkma	hkma	hkma
209	primary liquidity provider	primary liquidity provider	primary liquidity provider	primary liquidity provider	primary liquidity provider	▁1
