	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機
1	大陸	大陸	大陸	內地	大陸	內地
2	大陸	大陸	大陸	大陸	大陸	▁258
3	銀行動盪	銀行動盪	銀行動盪	三月的銀行危機	銀行動盪	▁263
4	中東	中東	中東	中東	中東	中東
5	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	▁378
6	銀行動盪	銀行動盪	銀行動盪	銀行危機	銀行動盪	銀行危機
7	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦
8	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
9	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長
10	通脹走勢	通脹走勢	通脹走勢	通脹走勢	通脹走勢	通脹走勢
11	利率前景	利率前景	利率前景	利率前景	利率前景	利率前景
12	市場情緒	市場情緒	市場情緒	市場情緒	市場情緒	▁266
13	貨幣條件	貨幣條件	貨幣條件	貨幣條件	貨幣條件	▁279
14	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性壓力	系統性銀行壓力	▁417
15	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	國際結算銀行
16	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	▁25
17	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	▁169
18	金管局	金管局	金管局	金管局	金管局	金管局
19	國際金融中心	國際金融中心	國際金融中心	金融中心	國際金融中心	國際金融中心
20	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
21	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
22	國內生產總值	國內生產總值	國內生產總值	國內生產總值	國內生產總值	▁180
23	inbound旅遊	inbound旅遊	inbound旅遊	入境旅遊	inbound旅遊	▁213
24	勞動市場	勞動市場	勞動市場	勞動市場	勞動市場	▁237
25	新常態	新常態	新常態	新常態	新常態	新常態
26	私人消費	私人消費	私人消費	私人消費	私人消費	私人消費
27	政府	政府	政府	政府	政府	政府
28	金管局	金管局	金管局	金管局	金管局	金管局
29	金融中心	國際金融中心	金融中心	金融中心	金融中心	國際金融中心
30	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
31	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	▁256
32	貨幣與銀行系統穩定	貨幣與銀行系統穩定	貨幣與銀行系統穩定	貨幣與銀行穩定	貨幣與銀行系統穩定	▁276
33	梁錦松	梁錦松	梁錦松	梁錦松	梁錦松	梁錦松
