	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機
1	內地	內地	內地	內地	內地	內地
2	中國內地	中國內地	中國內地	中國內地	中國內地	中國內地
3	3月的銀行動盪	3月的銀行動盪	3月的銀行動盪	3月的銀行動盪	3月的銀行動盪	▁326
4	中東	中東	中東	中東	中東	中東
5	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	▁460
6	銀行動盪	銀行動盪	銀行動盪	銀行動盪	銀行動盪	銀行危機
7	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦
8	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
9	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長
10	通脹路徑	通脹路徑	通脹路徑	通脹路徑	通脹路徑	▁267
11	利率展望	利率展望	利率展望	利率展望	利率展望	▁276
12	市場情緒	市場情緒	市場情緒	市場情緒	市場情緒	▁329
13	貨幣緊縮	貨幣緊縮	貨幣緊縮	貨幣緊縮	貨幣緊縮	▁343
14	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁513
15	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	▁48
16	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	▁31
17	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	▁211
18	HKMA	HKMA	HKMA	HKMA	HKMA	金管局
19	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
20	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
21	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
22	國內生產總值	國內生產總值	國內生產總值	國內生產總值	國內生產總值	▁228
23	入境旅遊	入境旅遊	入境旅遊	入境旅遊	入境旅遊	▁265
24	勞動市場	勞動市場	勞動市場	勞動市場	勞動市場	▁293
25	新常態	新常態	新常態	新常態	新常態	新常態
26	私人消費	私人消費	私人消費	私人	私人消費	私人消費
27	政府	政府	政府	政府	政府	政府
28	香港金融管理局	HKMA	香港金融管理局	HKMA	香港金融管理局	金管局
29	領先IFC	國際金融中心	領先IFC	國際金融中心	領先IFC	國際金融中心
30	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
31	不利因素	不利因素	不利因素	不利因素	不利因素	▁320
32	貨幣和銀行穩定	貨幣和銀行穩定	貨幣和銀行穩定	貨幣和銀行穩定	貨幣和銀行穩定	▁340
33	梁尤振	梁尤振	梁尤振	梁尤振	梁尤振	▁19
34	▔	▁20	▔	▁20	▔	▁148
35	余偉文	余偉文	余偉文	余偉文	余偉文	余偉文
36	HKMA	HKMA	HKMA	HKMA	HKMA	金管局
37	鄧炳權	鄧炳權	鄧炳權	鄧炳權	鄧炳權	▁236
38	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區
39	曾俊華	曾俊華	曾俊華	曾俊華	曾俊華	曾俊華
40	▔	▁48	▔	▁47	▔	▁288
41	陳 先生	陳 先生	陳 先生	陳 先生	陳 先生	▁364
42	先生	先生	先生	先生	先生	▁383
43	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	▁522
44	政府	政府	政府	政府	政府	政府
45	樞紐	樞紐	樞紐	LERS	樞紐	▁297
46	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
47	▔	樞紐	▔	LERS	▔	▁297
48	聯匯匯率制度	聯匯匯率制度	聯匯匯率制度	聯繫匯率制度	聯匯匯率制度	聯繫匯率制度
49	金融系統	金融系統	金融系統	金融系統	金融系統	金融體系
50	貨幣和金融系統	貨幣和金融系統	貨幣和金融系統	貨幣和金融系統	貨幣和金融系統	貨幣及金融體系
51	香港金融管理局	HKMA	香港金融管理局	HKMA	香港金融管理局	金管局
52	LERS	樞紐	LERS	LERS	LERS	▁297
53	數據分析	數據分析	數據分析	數據分析	數據分析	▁129
54	金融 穩	金融 穩	金融 穩	金融穩定	金融 穩	金融穩定
55	詳細	詳細	詳細	詳細	詳細	▁222
56	貨幣體系	貨幣體系	貨幣體系	貨幣體系	貨幣體系	▁344
57	▔	▁78	▔	▁74	▔	持份者
58	貿易資料庫	貿易資料庫	貿易資料庫	貿易資料庫	貿易資料庫	▁535
59	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
60	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
61	資本和流動性儲備	資本和流動性儲備	資本和流動性儲備	資本和流動性儲備	資本和流動性儲備	▁57
62	信貸形勢	信貸形勢	信貸形勢	信貸形勢	信貸形勢	▁106
63	流動性	流動性	流動性	流動性	流動性	流動性
64	流動性儲備	流動性儲備	流動性儲備	流動性儲備	流動性儲備	流動性緩衝
65	流動性覆蓋率	流動性覆蓋率	流動性覆蓋率	流動性覆蓋比率	流動性覆蓋率	流動性覆蓋比率
66	內地	內地	內地	內地	內地	內地
67	資產質素	資產質素	資產質素	資產質素	資產質素	資產質素
68	▔	▁4	▔	銀行業	▔	▁38
69	不良貸款率	不良貸款率	不良貸款率	違約貸款比率	不良貸款率	▁76
70	信貸風險	信貸風險	信貸風險	信貸風險	信貸風險	信用風險
71	流動性	流動性	流動性	流動性	流動性	流動性
72	長期平均水平	長期平均水平	長期平均水平	長期平均水平	長期平均水平	長期平均水平
73	房地產開發商	房地產開發商	房地產開發商	房地產開發商	房地產開發商	▁420
74	▔	▁69	▔	風險管理	▔	風險管理
75	▔	▁79	▔	▁75	▔	▁489
76	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機
77	HKMA	HKMA	HKMA	HKMA	HKMA	金管局
78	銀行業	▁4	銀行業	銀行業	銀行業	▁38
79	銀行動盪	銀行動盪	銀行動盪	銀行動盪	銀行動盪	銀行危機
80	資本和流動性儲備	資本和流動性儲備	資本和流動性儲備	資本和流動性儲備	資本和流動性儲備	▁57
81	▔	金融市場	▔	金融市場	▔	金融市場
82	金融系統	金融系統	金融系統	金融系統	金融系統	金融體系
83	▔	▁38	▔	▁34	▔	全球金融市場
84	內部 審查	內部 審查	內部 審查	內部評估	內部 審查	內部檢討
85	流動性	流動性	流動性	流動性	流動性	流動性
86	流動性儲備	流動性儲備	流動性儲備	流動性儲備	流動性儲備	流動性緩衝
87	▔	▁76	▔	▁72	▔	▁483
88	監管效能	監管效能	監管效能	監管效能	監管效能	▁499
89	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁513
90	HKMA	HKMA	HKMA	HKMA	HKMA	金管局
91	▔	▁4	▔	銀行業	▔	▁38
92	信貸風險	信貸風險	信貸風險	信貸風險	信貸風險	信用風險
93	風險管理	▁69	風險管理	風險管理	風險管理	風險管理
94	▔	▁75	▔	▁71	▔	▁468
95	HKMA	HKMA	HKMA	HKMA	HKMA	金管局
96	房地產市場	房地產市場	房地產市場	房地產市場	房地產市場	物業市場
97	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	逆周期宏觀審慎措施	▁101
98	利率壓力測試的要求	利率壓力測試的要求	利率壓力測試的要求	利率壓力測試的要求	利率壓力測試的要求	▁278
99	貸款成數限額	貸款成數限額	貸款成數限額	貸款成數限額	貸款成數限額	▁308
100	房地產開發和投資	房地產開發和投資	房地產開發和投資	房地產開發和投資	房地產開發和投資	▁421
101	反詐騙消費者保護守則	反詐騙消費者保護守則	反詐騙消費者保護守則	反詐騙消費者保護守則	反詐騙消費者保護守則	▁17
102	▔	▁34	▔	FPS	▔	▁202
103	HKMA	HKMA	HKMA	HKMA	HKMA	金管局
104	金融機構	金融機構	金融機構	金融機構	金融機構	金融機構
105	支付卡認證	支付卡認證	支付卡認證	支付卡認證	支付卡認證	支付卡認證
106	支付卡	支付卡	支付卡	支付卡	支付卡	支付卡
107	交易前警示機制	交易前警示機制	交易前警示機制	交易前警示機制	交易前警示機制	▁409
108	▔	▁28	▔	快速 支付 系統	▔	▁179
109	▔	▁14	▔	信用 智能	▔	▁105
110	▔	HKMA	▔	HKMA	▔	金管局
111	▔	▁10	▔	▁9	▔	▁85
112	▔	▁11	▔	▁10	▔	▁86
113	▔	▁12	▔	▁11	▔	▁87
114	▔	▁44	▔	設施	▔	基建
115	▔	▁45	▔	▁45	▔	▁268
116	▔	▁63	▔	▁62	▔	▁429
117	▔	▁83	▔	▁79	▔	▁514
118	金融科技	金融科技	金融科技	金融科技	金融科技	金融科技
119	▔	▁32	▔	▁29	▔	▁197
120	綠色	綠色	綠色	綠色科技	綠色	綠色科技
121	▔	HKMA	▔	HKMA	▔	金管局
122	▔	▁43	▔	▁44	▔	▁253
123	▔	▁46	▔	▁46	▔	保險業監管局
124	▔	▁47	▔	保險科技	▔	保險科技
125	▔	▁66	▔	Regtech	▔	▁437
126	▔	▁73	▔	▁69	▔	證監會
127	▔	▁72	▔	證券及期貨事務監察委員會	▔	證券及期貨事務監察委員會
128	▔	▁89	▔	財富科技	▔	財富科技
129	▔	▁29	▔	金融行業	▔	金融業
130	▔	金融機構	▔	金融機構	▔	金融機構
131	▔	▁51	▔	▁50	▔	▁312
132	▔	▁67	▔	監管機構	▔	監管機構
