	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	space	raum	platz
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁45
2	teil|teilen	teil|teilen	teil|teilen	freigeben	teil|teilen	freigeben
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	raum	raum	raum	erstellen	raum	anlegen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	triggerbasieren	triggerbasieren	triggerbasieren	▔ertrat<sos>	triggerbasieren	▁51
7	konnektor	konnektor	konnektor	konnektor	konnektor	connector
8	kreditor	kreditor	kreditor	kunde	kreditor	▁10
9	kreditor	kreditor	kreditor	kreditor	kreditor	kreditor
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	raum	erstellen	erstellen	erstellen	anlegen
12	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich	seitenbereich
13	hauptindikator	hauptindikator	hauptindikator	hauptindikator	hauptindikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	provider	provider	provider	provider	provider	anbieter
16	space	raum	space	space	space	platz
17	buchungskreisübergreifen	buchungskreisübergreifen	buchungskreisübergreifen	unternehmensübergreifenden	buchungskreisübergreifen	▁19
18	verlauf	verlauf	verlauf	verlauf	verlauf	verlauf
19	version	version	version	release	version	freigabe
20	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
21	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle	zugriffskontrolle
22	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
23	bereich	bereich	bereich	abschnitt	bereich	abschnitt
24	provider	provider	provider	provider	provider	anbieter
25	provider	provider	provider	provider	provider	anbieter
26	release	version	release	release	release	freigabe
27	zuordnungsmengen	zuordnungsmengen	zuordnungsmengen	zuordnungsmengen	zuordnungsmengen	zuweisen
28	speicherplatz	speicherressourcen	speicherplatz	speicherressourcen	speicherplatz	▁45
29	bereich	raum	bereich	space	bereich	platz
30	zeitraum	zeitraum	zeitraum	periode	zeitraum	periode
31	datenprovider	datenprovider	datenprovider	datenprovider	datenprovider	datenanbieter
32	▔ertrat<sos>	raum	▔ertrat<sos>	erstellen	▔ertrat<sos>	anlegen
