	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁128
2	teilen	teilen	teilen	teilen	teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	raum	raum	raum	erstellen	raum	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁13
6	trigger	trigger	trigger	trigger	trigger	▁138
7	konnektorinstanzen	konnektorinstanzen	konnektorinstanzen	▔ertrat<sos>	konnektorinstanzen	▁34
8	kunde	kunde	kunde	kunde	kunde	customer
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁132
10	nachfragegesteuern	nachfragegesteuern	nachfragegesteuern	nachfragegesteuern	nachfragegesteuern	▁39
11	erstellen	raum	erstellen	erstellen	erstellen	erstellen
12	bedienfeld	bedienfeld	bedienfeld	bedienfeld	bedienfeld	▁120
13	hauptindikator	hauptindikator	hauptindikator	belenngsindikatoren	hauptindikator	▁64
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	bereich	raum	bereich	raum	bereich	space
17	zwischen	zwischen	zwischen	intercompanyen	zwischen	▁68
18	versionsverlaufen	versionsverlaufen	versionsverlaufen	historie	versionsverlaufen	▁60
19	versionsverlaufen	versionsverlaufen	versionsverlaufen	veröffentlichung	versionsverlaufen	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁8
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	veröffentlichung	versionsverlaufen	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
27	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen	zuweisen
28	speicherkapazität	speicherressourcen	speicherkapazität	speicherressourcen	speicherkapazität	▁128
