	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁120
2	teilen	teilen	teilen	teilen	teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich	zuständigkeitsbereich
6	trigger	trigger	trigger	auslöser	trigger	auslöser
7	konnektorinstanzen	konnektorinstanzen	konnektorinstanzen	anschluss	konnektorinstanzen	▁32
8	debitor	debitor	debitor	debitor	debitor	debitor
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁125
10	nachfrageoriertieren	nachfrageoriertieren	nachfrageoriertieren	nachfrageoriertieren	nachfrageoriertieren	▁37
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	bedienfeld	bedienfeld	bedienfeld	bedienfeld	bedienfeld	▁114
13	hauptindikator	hauptindikator	hauptindikator	belenngsindikatoren	hauptindikator	▁60
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	space
17	unternehmensübergreifenden	unternehmensübergreifenden	unternehmensübergreifenden	intercompanyen	unternehmensübergreifenden	▁63
18	versionsverlaufen	versionsverlaufen	versionsverlaufen	historie	versionsverlaufen	▁56
19	version	version	version	veröffentlichung	version	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁8
22	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenprovider
23	abgleichschwellen	abgleichschwellen	abgleichschwellen	abgleichschwellen	abgleichschwellen	abschnitt
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
27	zuordnen	zuordnen	zuordnen	zuordnen	zuordnen	zuweisen
28	speicherplatz	speicherressourcen	speicherplatz	speicherressourcen	speicherplatz	▁120
29	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
30	periode	periode	periode	periode	periode	▁86
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenprovider
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datendienstleister	datenanbieter	datendienstleister	datenanbieter	datendienstleister	datenprovider
34	raum	raum	raum	raum	raum	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	bezugsmengen	bezugsmengen	bezugsmengen	bezugsmengen	bezugsmengen	▁96
38	zeitperiode	periode	zeitperiode	periode	zeitperiode	▁86
39	stammpfad	stammpfad	stammpfad	stammpfad	stammpfad	▁105
40	klauselart	klauselart	klauselart	art	klauselart	typ
41	annahme	annahme	annahme	annahme	annahme	▁7
42	raum	raum	raum	raum	raum	space
43	überarbeitung	überarbeitung	überarbeitung	revision	überarbeitung	▁104
44	datenprovidern	datenanbieter	datenprovidern	datenanbieter	datenprovidern	datenprovider
45	startdatum	startdatum	startdatum	startdatum	startdatum	▁118
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁88
47	eigenschaft	eigenschaft	eigenschaft	ebene	eigenschaft	▁66
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	raum	raum	space
50	skalentyp	klauselart	skalentyp	art	skalentyp	typ
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	rechnungszusammenfassun	zusammenfassung	▁124
53	raum	raum	raum	raum	raum	space
54	berichtszeitraum	berichtszeitraum	berichtszeitraum	bericht	berichtszeitraum	bericht
55	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	auslöser	trigger	auslöser	auslöser	auslöser	auslöser
57	auftrag	auftrag	auftrag	auftrag	auftrag	auftrag
58	client	client	client	client	client	client
59	zeitintervall	zeitintervall	zeitintervall	zeitintervall	zeitintervall	▁64
60	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll	aufgabenprotokoll
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	konnektor	konnektorinstanzen	konnektor	anschluss	konnektor	▁32
65	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
66	qualifikation	qualifikation	qualifikation	fertigkeit	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenprovider
69	menü	menü	menü	menü	menü	menü
70	speicherweisingen	speicherweisingen	speicherweisingen	speicherweisingen	speicherweisingen	▁10
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
72	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
73	nachricht	nachricht	nachricht	nachricht	nachricht	nachricht
74	speicher	raum	speicher	raum	speicher	space
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
77	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenprovider
78	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
79	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
80	raumpriorität	raum	raumpriorität	raum	raumpriorität	space
81	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	ereignis	ereignis	ereignis	ereignis	ereignis	▁58
84	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	▁22
85	arbeitscenter	arbeitscenter	arbeitscenter	arbeitscenter	arbeitscenter	▁135
86	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	aufenthaltszeitraumen	▁102
87	auslöser	trigger	auslöser	auslöser	auslöser	auslöser
88	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁57
89	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁2
90	▔ertrat<sos>	startdatum	▔ertrat<sos>	startdatum	▔ertrat<sos>	▁118
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	element	element	element	element	element	element
94	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁73
95	bedienfeld	bedienfeld	bedienfeld	bedienfeld	bedienfeld	▁114
96	space	raum	space	raum	space	space
97	raumdaten	raum	raumdaten	raum	raumdaten	space
98	zulassen	zulassen	zulassen	zulassen	zulassen	▁11
99	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁73
100	aktion	aktion	aktion	aktion	aktion	aktion
101	aktion	aktion	aktion	aktion	aktion	aktion
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	compliance	compliance	compliance	compliance	compliance	compliance
104	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenprovider
105	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	freigabe
