	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁25
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
3	informe	informe	informe	informe	informe	informe
4	medio	medio	medio	medio	medio	medio
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁39
7	añadir	añadir	añadir	añadir	añadir	añadir
8	gama	gama	gama	intervalo	gama	intervalo
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	reinicia	reinicia	reinicia	restaurar	reinicia	restablecer
14	añadir	añadir	añadir	añadir	añadir	añadir
15	incidente	incidente	incidente	incidente	incidente	▁47
16	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
17	guardar	guardar	guardar	guardar	guardar	guardar
18	anular	anular	anular	anular	anular	▁86
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁68
22	restablecer	reinicia	restablecer	restaurar	restablecer	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁18
24	programación	programación	programación	programación	programación	programación
25	encabezado	editar	encabezado	editar	encabezado	editar
26	completar	completar	completar	completar	completar	▁23
27	interrumpa	interrumpa	interrumpa	interrumpa	interrumpa	▁52
28	utilizar	utilizar	utilizar	utilizar	utilizar	uso
29	planificación	programación	planificación	programación	planificación	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	horario	programación	horario	programación	horario	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁27
34	intervalo	gama	intervalo	intervalo	intervalo	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	tramitación	tramitación	tramitación	tramitación	tramitación	▁58
37	actualización	actualización	actualización	actualización	actualización	▁84
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de periodicidad	patrón de periodicidad	patrón de periodicidad	patrón de repetición	patrón de periodicidad	patrón de repetición
40	público	público	público	público	público	público
41	programado	programación	programado	programación	programado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	moro	moro	moro	predeterminado	moro	▁30
44	restaurar	reinicia	restaurar	restaurar	restaurar	restablecer
45	▔	▁1	▔	▁1	▔	▁65
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	plantilla
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
50	patrón de repetición	patrón de periodicidad	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	finalizado	completar	finalizado	completar	finalizado	▁23
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	resultado de búsqueda	▁71
56	programado	programación	programado	programación	programado	programación
57	trabajo	trabajo	trabajo	trabajo	trabajo	trabajo
58	cliente	cliente	cliente	cliente	cliente	▁27
59	patrón de repetición	patrón de periodicidad	patrón de repetición	patrón de repetición	patrón de repetición	patrón de repetición
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁77
61	revisados	revisados	revisados	revisados	revisados	▁67
62	función	función	función	característica	función	▁40
63	cliente	cliente	cliente	cliente	cliente	▁27
64	acceder	acceder	acceder	acceder	acceder	▁17
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquearán	bloquearán	bloquearán	bloquearán	bloquearán	▁73
68	cambio	cambio	cambio	cambio	cambio	▁20
69	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
70	añadir	añadir	añadir	añadir	añadir	añadir
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predeterminado	moro	predeterminado	predeterminado	predeterminado	▁30
74	anular	anular	anular	anular	anular	▁86
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁81
77	cliente	cliente	cliente	cliente	cliente	▁27
78	record	record	record	record	record	▁63
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁44
80	ejecución	ejecución	ejecución	ejecución	ejecución	▁53
81	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo	lista de trabajo
82	tipo	tipo	tipo	tipo	tipo	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	programación	programación	programación	programación	programación	programación
85	lista	lista de trabajo	lista	lista de trabajo	lista	lista de trabajo
86	añada	añadir	añada	añadir	añada	añadir
87	asignación	asignación	asignación	asignación	asignación	▁8
