	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	окно	панель	▁63
1	контракт	контракт	контракт	контракт	контракт	контракт
2	тип	тип	тип	тип	тип	тип
3	доход	доход	доход	доход	доход	▁83
4	обновить	обновить	обновить	обновить	обновить	обновить
5	▔	▁4	▔	▁3	▔	▁72
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
8	переход	переход	переход	переход	переход	▁16
9	тип	тип	тип	тип	тип	тип
10	входной	входной	входной	входной	входной	ввод
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	цель	цель	цель
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный	общедоступный
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	ввод	входной	ввод	входной	ввод	ввод
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁67
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	правило	правило	▁74
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	вход	входной	вход	входной	вход	ввод
25	поиск	поиск	поиск	вывод	поиск	вывод
26	выставление	выставление	выставление	выставление	выставление	▁13
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁41
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁10
29	▔	▁0	▔	▁1	▔	▁46
30	▔	тип	▔	тип	▔	тип
31	контрактный	контракт	контрактный	контракт	контрактный	контракт
32	область	область	область	область	область	▁87
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	▔	▁2	▔	сопоставление	▔	сопоставление
35	свод	свод	свод	резюме	свод	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁44
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	программа	программа	программа	расписание	программа	планирование
41	вход	входной	вход	входной	вход	ввод
42	лист служебный запись	лист служебный запись	лист служебный запись	лист ввод услуга	лист служебный запись	▁89
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	▔	▁4	▔	▁3	▔	▁72
46	входной	входной	входной	входной	входной	ввод
47	тип	тип	тип	тип	тип	тип
48	график	программа	график	расписание	график	планирование
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁29
50	период хранение	период хранение	период хранение	срок пребывание	период хранение	▁79
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁97
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	▔	▁5	▔	мастер	▔	мастер
54	поток	поток	поток	поток	поток	поток
55	сопоставление	▁2	сопоставление	сопоставление	сопоставление	сопоставление
56	срок выполнение	срок выполнение	срок выполнение	срок выполнение	срок выполнение	▁37
57	пометить	пометить	пометить	пометить	пометить	▁98
58	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
59	сделка	сделка	сделка	сделка	сделка	▁103
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	окно	панель	окно	окно	окно	▁63
62	срок пребывание	период хранение	срок пребывание	срок пребывание	срок пребывание	▁79
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	▁4	диапазон	▁3	диапазон	▁72
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	валюта	валюта	валюта	валюта	валюта	▁12
67	копировать	копировать	копировать	копировать	копировать	копирование
68	приросток	приросток	приросток	▁0	приросток	▁3
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁107
71	тип	тип	тип	тип	тип	тип
72	расписание	программа	расписание	расписание	расписание	планирование
73	▔	тип	▔	тип	▔	тип
74	выходной	поиск	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	ввод
76	тип	тип	тип	тип	тип	тип
77	распределение	распределение	распределение	распределение	распределение	распределение
78	контракт	контракт	контракт	контракт	контракт	контракт
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	основать на спрос	основать на спрос	основать на спрос	основать на спрос	основать на спрос	▁31
81	вход	входной	вход	входной	вход	ввод
82	▔	▁1	▔	▁2	▔	▁53
83	пространство	пространство	пространство	пространство	пространство	пространство
84	▔	приросток	▔	▁0	▔	▁3
85	срок пребывание	период хранение	срок пребывание	срок пребывание	срок пребывание	▁79
86	контракт	контракт	контракт	контракт	контракт	контракт
87	устройство	устройство	устройство	производство	устройство	▁9
88	копировать	копировать	копировать	копировать	копировать	копирование
89	расписание	программа	расписание	расписание	расписание	планирование
90	▔	приросток	▔	▁0	▔	▁3
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	лист ввод услуга	лист служебный запись	лист ввод услуга	лист ввод услуга	лист ввод услуга	▁89
93	тип	тип	тип	тип	тип	тип
94	изменить	изменить	изменить	изменить	изменить	изменить
95	график	программа	график	расписание	график	планирование
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановить	приостановить	приостановить	приостановить	приостановить	▁65
98	контент	контент	контент	контент	контент	контент
99	настройка	настройка	настройка	настройка	настройка	▁90
100	нить	нить	нить	нить	нить	▁100
101	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁1
102	персональный дать	персональный дать	персональный дать	персональный дать	персональный дать	▁66
103	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
104	тип	тип	тип	тип	тип	тип
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁29
108	отчитываться	отчитываться	отчитываться	отчётность	отчитываться	▁77
109	категория	категория	категория	категория	категория	категория
110	▔	тип	▔	тип	▔	тип
111	клиент	клиент	клиент	клиент	клиент	клиент
112	тип	тип	тип	тип	тип	тип
113	изменить	изменить	изменить	изменить	изменить	изменить
114	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
115	расписание	программа	расписание	расписание	расписание	планирование
116	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
117	курс	курс	курс	курс	курс	курс
118	мастер	▁5	мастер	мастер	мастер	мастер
119	периодичность	периодичность	периодичность	периодичность	периодичность	▁64
120	тип	тип	тип	тип	тип	тип
121	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
122	неактивный	неактивный	неактивный	неактивный	неактивный	▁50
123	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
124	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
125	планирование	программа	планирование	расписание	планирование	планирование
126	копировать	копировать	копировать	копировать	копировать	копирование
127	▔	редактировать	▔	редактировать	▔	редактировать
128	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
129	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
130	тип	тип	тип	тип	тип	тип
131	планировать	программа	планировать	расписание	планировать	планирование
132	область	область	область	область	область	▁87
133	контракт	контракт	контракт	контракт	контракт	контракт
134	срок хранение	срок хранение	срок хранение	срок хранение	срок хранение	период хранение
135	история	история	история	история	история	▁95
136	пространство	пространство	пространство	пространство	пространство	пространство
137	темп	курс	темп	курс	темп	курс
138	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
139	тип	тип	тип	тип	тип	тип
140	пространство	пространство	пространство	пространство	пространство	пространство
141	перенос	перенос	перенос	перенос	перенос	▁105
142	тип	тип	тип	тип	тип	тип
143	инстанция	инстанция	инстанция	инстанция	инстанция	инстанция
144	открытость	открытость	открытость	открытость	открытость	▁62
145	тип	тип	тип	тип	тип	тип
146	мастер	▁5	мастер	мастер	мастер	мастер
147	способ	тип	способ	тип	способ	тип
148	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
149	тип	тип	тип	тип	тип	тип
150	планировать	программа	планировать	расписание	планировать	планирование
151	мастер	▁5	мастер	мастер	мастер	мастер
152	запрос	запрос	запрос	запрос	запрос	▁78
153	изменить	изменить	изменить	изменить	изменить	изменить
154	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
155	перезапуск	перезапуск	перезапуск	перезапуск	перезапуск	перезапуск
156	пауза	приостановить	пауза	приостановить	пауза	▁65
157	связь	связь	связь	связь	связь	связь
158	агрегированный	агрегированный	агрегированный	агрегированный	агрегированный	▁5
159	контракт	контракт	контракт	контракт	контракт	контракт
160	тип	тип	тип	тип	тип	тип
161	элемент	элемент	элемент	элемент	элемент	элемент
162	время проектирование	время проектирование	время проектирование	время проектирование	время проектирование	▁32
163	тип	тип	тип	тип	тип	тип
164	расписание	программа	расписание	расписание	расписание	планирование
165	тип	тип	тип	тип	тип	тип
166	получить	получить	получить	получить	получить	получить
167	обновить	обновить	обновить	обновить	обновить	обновить
168	загрузка	загрузка	загрузка	загрузка	загрузка	▁36
169	проверить	проверить	проверить	проверить	проверить	проверить
170	пространство	пространство	пространство	пространство	пространство	пространство
171	тип	тип	тип	тип	тип	тип
172	приостановить	приостановить	приостановить	приостановить	приостановить	▁65
173	тип начисление	тип начисление	тип начисление	тип начисление	тип начисление	▁104
174	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
175	мастер	▁5	мастер	мастер	мастер	мастер
176	тип	тип	тип	тип	тип	тип
177	тип	тип	тип	тип	тип	тип
178	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
179	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
180	входной	входной	входной	входной	входной	ввод
181	распределение	распределение	распределение	распределение	распределение	распределение
182	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁88
183	запрос	запрос	запрос	запрос	запрос	▁78
184	использовать	использовать	использовать	использовать	использовать	▁107
185	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
186	редактирование	редактировать	редактирование	редактировать	редактирование	редактировать
187	пространство	пространство	пространство	пространство	пространство	пространство
188	тип	тип	тип	тип	тип	тип
189	получить	получить	получить	получить	получить	получить
190	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁71
191	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁2
192	заказ продажа	заказ продажа	заказ продажа	заказ продажа	заказ продажа	▁86
193	тип	тип	тип	тип	тип	тип
194	исключение	исключение	исключение	исключение	исключение	исключение
195	тип	тип	тип	тип	тип	тип
196	категория	категория	категория	категория	категория	категория
197	элемент	элемент	элемент	элемент	элемент	элемент
198	обновить	обновить	обновить	обновить	обновить	обновить
199	тип	тип	тип	тип	тип	тип
200	регламент	правило	регламент	правило	регламент	▁74
201	распределение источник	распределение источник	распределение источник	распределение источник	распределение источник	▁92
202	срок	срок	срок	срок	срок	▁99
203	мастер	▁5	мастер	мастер	мастер	мастер
204	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
205	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
206	вкладка	вкладка	вкладка	вкладка	вкладка	вкладка
207	тип	тип	тип	тип	тип	тип
208	тип	тип	тип	тип	тип	тип
209	срок хранение	срок хранение	срок хранение	срок хранение	срок хранение	период хранение
210	тип транзакция	тип начисление	тип транзакция	тип начисление	тип транзакция	▁104
211	тип	тип	тип	тип	тип	тип
212	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁88
213	расчёт процент	расчёт процент	расчёт процент	расчёт процент	расчёт процент	▁52
214	элемент	элемент	элемент	элемент	элемент	▁21
215	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
216	редактирование	редактировать	редактирование	редактировать	редактирование	редактировать
217	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁71
218	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	заказ на покупка	▁2
219	слияние	слияние	слияние	слияние	слияние	▁58
220	рабочий пакет	рабочий пакет	рабочий пакет	рабочий пакет	рабочий пакет	рабочий пакет
221	тип	тип	тип	тип	тип	тип
222	график	программа	график	расписание	график	планирование
223	приостановить	приостановить	приостановить	приостановить	приостановить	▁65
224	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁10
225	тип	тип	тип	тип	тип	тип
226	обновить	обновить	обновить	обновить	обновить	обновить
227	операция	операция	операция	действие	операция	операция
228	тип	тип	тип	тип	тип	тип
229	список использовать	список использовать	список использовать	список использовать	список использовать	▁110
230	запись	запись	запись	запись	запись	запись
231	восстановление	восстановление	восстановление	восстановление	восстановление	▁76
232	контракт	контракт	контракт	контракт	контракт	контракт
233	система охрана окружающий среда , здоровье и безопасность	система охрана окружающий среда , здоровье и безопасность	система охрана окружающий среда , здоровье и безопасность	система охрана окружающий среда , здоровье и безопасность	система охрана окружающий среда , здоровье и безопасность	▁0
234	тип	тип	тип	тип	тип	тип
235	запрос	запрос	запрос	запрос	запрос	▁78
236	агент	агент	агент	агент	агент	агент
237	запрос	запрос	запрос	запрос	запрос	▁78
238	выполнить	выполнить	выполнить	выполнить	выполнить	выполнить
239	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁88
240	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
241	характеристика	характеристика	характеристика	характеристика	характеристика	характеристика
242	срок хранение	срок хранение	срок хранение	срок хранение	срок хранение	период хранение
243	перевозчик	перевозчик	перевозчик	перевозчик	перевозчик	перевозчик
244	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	подтверждение услуга	▁88
245	использовать	использовать	использовать	использовать	использовать	▁107
246	тип транспорт	тип транспорт	тип транспорт	тип транспорт	тип транспорт	▁106
247	тип	тип	тип	тип	тип	тип
248	контракт	контракт	контракт	контракт	контракт	контракт
249	заказ продажа	заказ продажа	заказ продажа	заказ продажа	заказ продажа	▁86
250	выпуск	выпуск	выпуск	выпуск	выпуск	▁75
251	клеринговый центр	клеринговый центр	клеринговый центр	клеринговый центр	клеринговый центр	▁20
252	центр	клеринговый центр	центр	клеринговый центр	центр	▁20
