	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	executive	executive	executive	president	executive	chief executive
1	china trade tension	china trade tension	china trade tension	sino trade tension	china trade tension	▁14
2	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike
3	geopolitical risk	geopolitical risk	geopolitical risk	geopolitical risk	geopolitical risk	▁86
4	annual report	annual report	annual report	annual report	annual report	annual report
5	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index
6	bullish sentiment	bullish sentiment	bullish sentiment	bullish sentiment	bullish sentiment	bullish sentiment
7	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
8	federal reserve	federal reserve	federal reserve	federal reserve	federal reserve	▁239
9	▔	▁25	▔	equity	▔	▁242
10	stock index	stock index	stock index	stock index	stock index	▁243
11	brexit	brexit	brexit	brexit	brexit	brexit
12	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	▁245
13	financial market	financial market	financial market	financial market	financial market	financial market
14	normalization rate	normalization rate	normalization rate	interest rate normalization	normalization rate	▁70
15	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike
16	system	system	system	system	system	▁74
17	imf	imf	imf	international monetary fund	imf	international monetary fund
18	imf	imf	imf	fund	imf	imf
19	basis point	basis point	basis point	basis point	basis point	basis point
20	prime rate	prime rate	prime rate	prime rate	prime rate	prime rate
21	hksar government	hksar government	hksar government	hksar government	hksar government	hksar government
22	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
23	▔	▁22	▔	u.s interest rate hike	▔	▁232
24	us interest rate	us interest rate	us interest rate	us interest rate	us interest rate	us interest rate
25	system	system	system	system	system	▁240
26	hkma	hkma	hkma	hkma	hkma	hkma
27	financial system	financial system	financial system	financial system	financial system	financial system
28	hibor	hibor	hibor	hibor	hibor	hong kong interbank offered rates
29	g20	g20	g20	g20	g20	g20
30	▔	▁3	▔	corporate governance	▔	corporate governance
31	public fund	public fund	public fund	public fund	public fund	▁61
32	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard
33	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail
34	prudent oversight	prudent oversight	prudent oversight	prudent oversight	prudent oversight	prudential supervision
35	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision
36	statutory minimum	statutory minimum	statutory minimum	statutory minimum	statutory minimum	▁176
37	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio
38	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
39	regulatory standard	regulatory standard	regulatory standard	regulatory standard	regulatory standard	regulatory standard
40	resolution regime	resolution regime	resolution regime	resolution mechanism	resolution regime	resolution regime
41	resolution office	resolution office	resolution office	resolution office	resolution office	resolution office
42	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan	resolution plan
43	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy
44	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio	capital adequacy ratio
45	hkma	hkma	hkma	hkma	hkma	hkma
46	financial market	financial market	financial market	financial market	financial market	financial market
47	banking sector	banking sector	banking sector	banking sector	banking sector	banking sector
