	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	governor	governor	governor	chief executive	governor	chief executive
1	sino trade tension	sino trade tension	sino trade tension	us trade tension	sino trade tension	us trade tension
2	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike	interest rate hike
3	geopolitical	geopolitical	geopolitical	geopolitical	geopolitical	▁76
4	annual report	annual report	annual report	annual report	annual report	annual report
5	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index	hang seng index
6	fervent investment sentiment	fervent investment sentiment	fervent investment sentiment	fervent investment sentiment	fervent investment sentiment	▁172
7	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
8	federal reserve	federal reserve	federal reserve	federal reserve	federal reserve	▁223
9	▔	▁12	▔	equity	▔	▁225
10	stock index	stock index	stock index	stock index	stock index	▁226
11	brexit	brexit	brexit	brexit	brexit	brexit
12	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	brexit negotiation	▁228
13	financial market	financial market	financial market	financial market	financial market	financial market
14	normalization rate	normalization rate	normalization rate	interest rate normalization	normalization rate	▁62
15	interest rate	interest rate hike	interest rate	interest rate hike	interest rate	interest rate hike
16	system	system	system	system	system	▁64
17	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund	international monetary fund
18	▔	▁5	▔	fund	▔	imf
19	basis point	basis point	basis point	basis point	basis point	basis point
20	prime rate	prime rate	prime rate	prime rate	prime rate	prime rate
21	hksar government	hksar government	hksar government	hksar government	hksar government	hksar government
22	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
23	u.s interest rate hike	u.s interest rate hike	u.s interest rate hike	u.s interest rate hike	u.s interest rate hike	▁215
24	u.s interest rate	u.s interest rate	u.s interest rate	u.s interest rate	u.s interest rate	▁217
25	link system	link system	link system	system	link system	lers
26	hkma	hkma	hkma	hkma	hkma	hkma
27	financial system	financial system	financial system	financial system	financial system	financial system
28	kong offered	kong offered	kong offered	hong kong interbank offer rate	kong offered	hong kong interbank offered rates
29	g20	g20	g20	g20	g20	g20
30	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance	corporate governance
31	public fund	public fund	public fund	public fund	public fund	▁53
32	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard
33	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail	too big to fail
34	prudential regulation	prudential regulation	prudential regulation	macroprudential measure	prudential regulation	▁102
35	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision	basel committee on banking supervision
36	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement	statutory minimum requirement
37	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio	liquidity coverage ratio
38	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis	global financial crisis
39	regulatory standard	regulatory standard	regulatory standard	regulatory standard	regulatory standard	regulatory standard
40	resolution mechanism	resolution mechanism	resolution mechanism	resolution mechanism	resolution mechanism	▁231
41	resolution mechanism office	resolution mechanism office	resolution mechanism office	resolution mechanism office	resolution mechanism office	▁232
