	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	央行	央行	央行	央行	央行	中央銀行
1	貨幣政策正常化	貨幣政策正常化	貨幣政策正常化	貨幣政策正常化	貨幣政策正常化	▁285
2	失業率	失業率	失業率	失業率	失業率	失業率
3	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒	新型冠狀病毒
4	COVID-19	COVID-19	COVID-19	COVID-19	COVID-19	▁100
5	香港金融管理局總裁	香港金融管理局總裁	香港金融管理局總裁	香港金融管理局總裁	香港金融管理局總裁	▁72
6	香港金融管理局	香港金融管理局	香港金融管理局	金管局	香港金融管理局	金管局
7	▔	▁18	▔	▁18	▔	▁261
8	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
9	銀行系統	銀行系統	銀行系統	銀行體系	銀行系統	銀行體系
10	資金外流	資金外流	資金外流	資金外流	資金外流	▁315
11	迅速	迅速	迅速	迅速	迅速	▁418
12	銀行體系	銀行系統	銀行體系	銀行體系	銀行體系	銀行體系
13	資產質量	資產質量	資產質量	資產質量	資產質量	資產質素
14	銀行體系	銀行系統	銀行體系	銀行體系	銀行體系	銀行體系
15	逆週期宏觀審慎措施	逆週期宏觀審慎措施	逆週期宏觀審慎措施	逆週期宏觀審慎措施	逆週期宏觀審慎措施	▁99
16	外匯資金	外匯資金	外匯資金	外匯儲備	外匯資金	外匯儲備
17	▔	▁24	▔	▁25	▔	▁341
18	港元資金	港元資金	港元資金	港元資金	港元資金	▁209
19	銀行穩定	銀行穩定	銀行穩定	銀行穩定	銀行穩定	▁44
20	銀行監督	銀行監督	銀行監督	銀行監督	銀行監督	▁46
21	緊急計劃	緊急計劃	緊急計劃	緊急計劃	緊急計劃	▁88
22	信用 和 流動性	信用 和 流動性	信用 和 流動性	信用 和 流動性	信用 和 流動性	▁101
23	市場監測	市場監測	市場監測	市場監測	市場監測	▁277
24	壓力測試	壓力測試	壓力測試	壓力測試	壓力測試	壓力測試
25	▔	▁9	▔	FATF	▔	▁149
26	金融 行動 任務組	金融 行動 任務組	金融 行動 任務組	金融 行動 任務組	金融 行動 任務組	▁153
27	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
28	互評	互評	互評	相互評估	互評	相互評估
29	監管制度	監管制度	監管制度	監督制度	監管制度	監管制度
30	銀行系統	銀行系統	銀行系統	銀行體系	銀行系統	銀行體系
31	銀行體系	銀行系統	銀行體系	銀行體系	銀行體系	銀行體系
32	銀行業	銀行業	銀行業	銀行業	銀行業	▁427
33	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行業 企業 貸款 協調 機制	銀行 貸貸 協調 機制	銀行業 企業 貸款 協調 機制	銀行業中小企貸款協調機制
34	逆週期資本緩衝比率	逆週期資本緩衝比率	逆週期資本緩衝比率	逆周期資本緩衝比例	逆週期資本緩衝比率	▁97
35	銀行穩定	銀行穩定	銀行穩定	銀行穩定	銀行穩定	▁44
36	基本銀行服務	基本銀行服務	基本銀行服務	基本銀行服務	基本銀行服務	基本銀行服務
37	貸放額度	貸放額度	貸放額度	貸放額度	貸放額度	▁260
38	法定 存款 準備	法定 存款 準備	法定 存款 準備	法定 存款 準備	法定 存款 準備	▁359
39	負擔 措施	負擔 措施	負擔 措施	▁26	負擔 措施	▁361
40	中小企業	中小企業	中小企業	中小企業	中小企業	▁391
41	銀行業	銀行業	銀行業	銀行業	銀行業	▁427
42	香港金融管理局	香港金融管理局	香港金融管理局	金管局	香港金融管理局	金管局
43	銀行帳戶	銀行帳戶	銀行帳戶	銀行賬戶	銀行帳戶	銀行帳戶
44	客戶盡職調查程序	客戶盡職調查程序	客戶盡職調查程序	客戶盡職調查程序	客戶盡職調查程序	▁112
45	普惠金融	普惠金融	普惠金融	金融包容性	普惠金融	▁160
46	分級帳戶服務	分級帳戶服務	分級帳戶服務	分級帳戶服務	分級帳戶服務	▁433
47	簡易 銀行 帳戶	簡易 銀行 帳戶	簡易 銀行 帳戶	簡易 銀行 帳戶	簡易 銀行 帳戶	▁389
48	▔	▁28	▔	▁30	▔	▁379
49	客戶盡職調查	客戶盡職調查	客戶盡職調查	客戶盡職調查	客戶盡職調查	▁110
50	內地	內地	內地	內地	內地	內地
51	金融連接	金融連接	金融連接	金融連接	金融連接	▁155
52	與 地 連接	與 地 連接	與 地 連接	與 地 連接	與 地 連接	▁156
53	▔	香港金融管理局	▔	金管局	▔	金管局
54	金融科技推廣辦事處	金融科技推廣辦事處	金融科技推廣辦事處	金融科技推廣辦事處	金融科技推廣辦事處	▁201
55	智能銀行	智能銀行	智能銀行	智慧銀行	智能銀行	智慧銀行
56	稅務、差餉和水費	稅務、差餉和水費	稅務、差餉和水費	稅務、差餉和水費	稅務、差餉和水費	▁424
57	快速 系統	快速 系統	快速 系統	更 支付 系統	快速 系統	▁148
58	快速支付系統	快速支付系統	快速支付系統	FPS	快速支付系統	▁176
59	香港金融管理局	香港金融管理局	香港金融管理局	金管局	香港金融管理局	金管局
60	開放 應用 程式	開放 應用 程式	開放 應用 程式	開放 應用 程式	開放 應用 程式	▁309
