	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機
1	▔	▁28	▔	內地	▔	內地
2	中國內地	中國內地	中國內地	中國內地	中國內地	中國內地
3	▔	▁29	▔	銀行危機	▔	▁157
4	中東	中東	中東	中東	中東	中東
5	俄烏戰事	俄烏戰事	俄烏戰事	俄烏戰事	俄烏戰事	俄烏戰事
6	銀行危機	銀行危機	銀行危機	銀行危機	銀行危機	銀行危機
7	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦	經濟復甦
8	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
9	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長
10	通脹走勢	通脹走勢	通脹走勢	通脹走勢	通脹走勢	通脹走勢
11	利率前景	利率前景	利率前景	利率前景	利率前景	利率前景
12	市場情緒	市場情緒	市場情緒	市場情緒	市場情緒	▁159
13	貨幣條件	貨幣條件	貨幣條件	貨幣條件	貨幣條件	▁163
14	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁250
15	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行
16	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行
17	國際金融領袖投資峰會	國際金融領袖投資峰會	國際金融領袖投資峰會	國際金融領袖投資峰會	國際金融領袖投資峰會	國際金融領袖投資峰會
18	金管局	金管局	金管局	金管局	金管局	金管局
19	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
20	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
21	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
22	本地生產總值	本地生產總值	本地生產總值	本地生產總值	本地生產總值	本地生產總值
23	入出境旅遊業	入出境旅遊業	入出境旅遊業	入境旅遊	入出境旅遊業	入境旅遊業
24	勞工市場	勞工市場	勞工市場	就業市場	勞工市場	勞工市場
25	新 常态	新 常态	新 常态	新 常态	新 常态	▁174
26	私人消費	私人消費	私人消費	私人消費	私人消費	私人消費
27	政府	政府	政府	政府	政府	政府
28	金管局	金管局	金管局	金管局	金管局	金管局
29	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
30	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
31	宏觀經濟挑戰	宏觀經濟挑戰	宏觀經濟挑戰	宏觀經濟挑戰	宏觀經濟挑戰	宏觀經濟挑戰
32	貨幣與銀行體系穩定	貨幣與銀行體系穩定	貨幣與銀行體系穩定	貨幣與銀行體系穩定	貨幣與銀行體系穩定	貨幣與銀行體系穩定
33	梁錦松	梁錦松	梁錦松	梁錦松	梁錦松	梁錦松
34	曾蔭權	曾蔭權	曾蔭權	曾蔭權	曾蔭權	曾蔭權
35	餘偉文	餘偉文	餘偉文	黃 竹遙	餘偉文	余偉文
36	金管局	金管局	金管局	金管局	金管局	金管局
37	唐英年	唐英年	唐英年	唐英年	唐英年	唐英年
38	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區
39	曾俊華	曾俊華	曾俊華	曾俊華	曾俊華	曾俊華
40	任志剛	任志剛	任志剛	任志剛	任志剛	任志剛
41	陳德霖	陳德霖	陳德霖	陳德霖	陳德霖	陳德霖
42	陳茂波	陳茂波	陳茂波	陳茂波	陳茂波	陳茂波
43	香港 特別 行政 區財政司	香港 特別 行政 區財政司	香港 特別 行政 區財政司	香港 特別 行政 區財政司	香港 特別 行政 區財政司	▁255
44	▔	政府	▔	政府	▔	政府
45	聯匯制度	聯匯制度	聯匯制度	▁32	聯匯制度	聯匯制度
46	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
47	▔	聯匯制度	▔	▁32	▔	聯匯制度
48	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
49	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
50	貨幣與金融體系	貨幣與金融體系	貨幣與金融體系	貨幣及金融體系	貨幣與金融體系	貨幣及金融體系
51	金管局	金管局	金管局	金管局	金管局	金管局
52	LERS	聯匯制度	LERS	▁32	LERS	聯匯制度
53	數據分析法	數據分析法	數據分析法	數據分析	數據分析法	數據分析法
54	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
55	微數據	微數據	微數據	微數據	微數據	微數據
56	貨幣體制	貨幣體制	貨幣體制	貨幣體制	貨幣體制	貨幣體制
57	持份者	持份者	持份者	持份者	持份者	持份者
58	交易資料儲存庫	交易資料儲存庫	交易資料儲存庫	交易 儲存庫	交易資料儲存庫	交易資料儲存庫
59	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
60	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系	銀行體系
61	資本和流動性緩衝	資本和流動性緩衝	資本和流動性緩衝	資本及流動性緩衝	資本和流動性緩衝	資本及流動性緩衝
62	信貸環境	信貸環境	信貸環境	信貸環境	信貸環境	信貸環境
63	流動性	流動性	流動性	流動性	流動性	流動性
64	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝
65	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率
66	內地	▁28	內地	內地	內地	內地
67	資產質素	資產質素	資產質素	資產質素	資產質素	資產質素
68	銀行業	銀行業	銀行業	銀行業	銀行業	銀行體系
69	特定分類貸款比率	特定分類貸款比率	特定分類貸款比率	分類貸款比率	特定分類貸款比率	特定分類貸款比率
70	信貸風險	信貸風險	信貸風險	信貸風險	信貸風險	信用風險
71	流動性	流動性	流動性	流動性	流動性	流動性
72	長期平均水平	長期平均水平	長期平均水平	長期平均水平	長期平均水平	長期平均水平
73	民營房地產開發商	民營房地產開發商	民營房地產開發商	房地產發展商	民營房地產開發商	房地產發展商
74	風險管理	風險管理	風險管理	風險管理	風險管理	風險管理
75	法定最低要求	法定最低要求	法定最低要求	法定最低要求	法定最低要求	法定最低要求
76	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機
77	金管局	金管局	金管局	金管局	金管局	金管局
78	銀行業	銀行業	銀行業	銀行業	銀行業	銀行體系
79	銀行危機	銀行危機	銀行危機	銀行危機	銀行危機	銀行危機
80	資本和流動性緩衝	資本和流動性緩衝	資本和流動性緩衝	資本及流動性緩衝	資本和流動性緩衝	資本及流動性緩衝
81	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
82	金融體系	金融體系	金融體系	金融體系	金融體系	金融體系
83	全球金融市場	全球金融市場	全球金融市場	全球金融市場	全球金融市場	全球金融市場
84	內部檢討	內部檢討	內部檢討	內部檢討	內部檢討	內部檢討
85	流動性	流動性	流動性	流動性	流動性	流動性
86	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝
87	外溢效應	外溢效應	外溢效應	外溢效應	外溢效應	外溢效應
88	監管成效	監管成效	監管成效	監管成效	監管成效	監管成效
89	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁250
90	金管局	金管局	金管局	金管局	金管局	金管局
91	銀行業	銀行業	銀行業	銀行業	銀行業	銀行體系
92	信貸風險	信貸風險	信貸風險	信貸風險	信貸風險	信用風險
93	風險管理	風險管理	風險管理	風險管理	風險管理	風險管理
94	中小企業	中小企業	中小企業	中小企業	中小企業	▁231
95	金管局	金管局	金管局	金管局	金管局	金管局
96	物業市場	物業市場	物業市場	物業市場	物業市場	物業市場
97	逆周期宏觀審慎監管措施	逆周期宏觀審慎監管措施	逆周期宏觀審慎監管措施	逆周期宏觀審慎監管措施	逆周期宏觀審慎監管措施	逆周期宏觀審慎監管措施
98	利率壓力測試的監管要求	利率壓力測試的監管要求	利率壓力測試的監管要求	利率壓力測試的監管要求	利率壓力測試的監管要求	利率壓力測試的監管要求
99	按揭成數上限	按揭成數上限	按揭成數上限	按揭成數上限	按揭成數上限	按揭成數上限
100	物業發展與投資	物業發展與投資	物業發展與投資	物業發展與投資	物業發展與投資	物業發展與投資
101	保障消費者防詐騙約章	保障消費者防詐騙約章	保障消費者防詐騙約章	反詐騙消費者保障章程	保障消費者防詐騙約章	保障消費者防詐騙約章
102	▔	▁16	▔	轉數快	▔	轉數快
103	金管局	金管局	金管局	金管局	金管局	金管局
104	金融機構	金融機構	金融機構	金融機構	金融機構	金融機構
105	支付卡認證	支付卡認證	支付卡認證	支付卡認證	支付卡認證	支付卡認證
106	支付卡	支付卡	支付卡	支付卡	支付卡	支付卡
107	可疑識別代號警示機制	可疑識別代號警示機制	可疑識別代號警示機制	交易前警示機制	可疑識別代號警示機制	可疑識別代號警示機制
108	▔	▁14	▔	快速 支付 系統	▔	轉數快
109	信資通	信資通	信資通	信資通	信資通	信資通
110	金管局	金管局	金管局	金管局	金管局	金管局
111	消費者及投資者保障	消費者及投資者保障	消費者及投資者保障	消費者及投資者保障	消費者及投資者保障	消費者及投資者保障
112	個人信貸資料服務	個人信貸資料服務	個人信貸資料服務	個人信貸資料服務	個人信貸資料服務	個人信貸資料服務
113	個人資料基建項目	個人資料基建項目	個人資料基建項目	個人資料基建項目	個人資料基建項目	個人資料基建項目
114	基建	基建	基建	基建	基建	基建
115	基建 項目	基建 項目	基建 項目	基建項目	基建 項目	基建項目
116	勒索軟件攻擊	勒索軟件攻擊	勒索軟件攻擊	勒索軟件攻擊	勒索軟件攻擊	勒索軟件攻擊
117	系統性網絡事件	系統性網絡事件	系統性網絡事件	系統性網絡事件	系統性網絡事件	系統性網絡事件
118	金融科技	金融科技	金融科技	金融科技	金融科技	金融科技
119	金融科技推廣計劃	金融科技推廣計劃	金融科技推廣計劃	金融科技推廣計劃	金融科技推廣計劃	金融科技推廣計劃
120	綠色科技	綠色科技	綠色科技	綠色科技	綠色科技	綠色科技
121	金管局	金管局	金管局	金管局	金管局	金管局
122	香港金融業	香港金融業	香港金融業	香港金融業	香港金融業	香港金融業
123	保險業監管局	保險業監管局	保險業監管局	▁30	保險業監管局	保險業監管局
124	保險科技	保險科技	保險科技	保險科技	保險科技	保險科技
125	合規科技	合規科技	合規科技	合規科技	合規科技	合規科技
126	▔	▁41	▔	證監會	▔	證監會
127	證券及期貨事務監察委員會	證券及期貨事務監察委員會	證券及期貨事務監察委員會	證券及期貨事務監察委員會	證券及期貨事務監察委員會	證券及期貨事務監察委員會
128	財富科技	財富科技	財富科技	財富科技	財富科技	財富科技
129	金融業	金融業	金融業	金融業	金融業	金融業
130	金融機構	金融機構	金融機構	金融機構	金融機構	金融機構
131	本地監管機構	本地監管機構	本地監管機構	本地監管機構	本地監管機構	本地監管機構
132	監管機構	監管機構	監管機構	監管機構	監管機構	監管機構
133	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
134	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行	國際結算銀行
135	▔	▁2	▔	▁2	▔	巴塞爾委員會
136	巴塞爾銀行監管委員會	巴塞爾銀行監管委員會	巴塞爾銀行監管委員會	巴塞爾銀行監管委員會	巴塞爾銀行監管委員會	巴塞爾銀行監管委員會
137	國際金融領袖投資峰會	國際金融領袖投資峰會	國際金融領袖投資峰會	國際金融領袖投資峰會	國際金融領袖投資峰會	國際金融領袖投資峰會
138	金管局	金管局	金管局	金管局	金管局	金管局
139	金管局 BIS	金管局 BIS	金管局 BIS	金管局 BIS	金管局 BIS	▁111
140	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
141	銀行監管	銀行監管	銀行監管	銀行監管	銀行監管	▁19
142	銀行監督官	銀行監督官	銀行監督官	銀行監督官	銀行監督官	▁20
143	中央 銀行 行長	中央 銀行 行長	中央 銀行 行長	中央 銀行 行長	中央 銀行 行長	央行行長
144	成立	成立	成立	成立	成立	▁70
145	金融機構	金融機構	金融機構	金融機構	金融機構	金融機構
146	內地	▁28	內地	內地	內地	內地
147	中東	中東	中東	中東	中東	中東
148	金融機構	金融機構	金融機構	金融機構	金融機構	金融機構
149	相關監管機構	相關監管機構	相關監管機構	相關監管機構	相關監管機構	相關監管機構
150	監管機構	監管機構	監管機構	監管機構	監管機構	監管機構
151	▔	國際結算銀行	▔	國際結算銀行	▔	國際結算銀行
152	巴塞爾委員會	▁2	巴塞爾委員會	▁2	巴塞爾委員會	巴塞爾委員會
153	中央	中央	中央	中央	中央	▁71
154	金融穩定理事會	金融穩定理事會	金融穩定理事會	金融穩定理事會	金融穩定理事會	金融穩定理事會
155	財務行動特別組織	財務行動特別組織	財務行動特別組織	財務行動特別組織	財務行動特別組織	財務行動特別組織
156	金融穩定理事會	金融穩定理事會	金融穩定理事會	金融穩定理事會	金融穩定理事會	金融穩定理事會
157	金管局	金管局	金管局	金管局	金管局	金管局
158	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
159	主要新興市場經濟體行長會議	主要新興市場經濟體行長會議	主要新興市場經濟體行長會議	主要新興市場經濟體行長會議	主要新興市場經濟體行長會議	主要新興市場經濟體行長會議
160	▔	▁31	▔	貨幣及金融穩定	▔	貨幣及金融穩定
161	亞洲區域諮詢小組	亞洲區域諮詢小組	亞洲區域諮詢小組	亞洲區域諮詢小組	亞洲區域諮詢小組	亞洲區域諮詢小組
162	中央銀行	中央銀行	中央銀行	中央銀行	中央銀行	中央銀行
163	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定	金融穩定
