	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機	2008年全球金融危機
1	▔	▁146	▔	內地	▔	內地
2	中國內地	中國內地	中國內地	中國內地	中國內地	中國內地
3	銀行危機	銀行危機	銀行危機	3月銀行危機	銀行危機	▁350
4	中東	中東	中東	中東	中東	中東
5	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	俄烏戰爭	▁500
6	銀行危機	銀行危機	銀行危機	銀行危機	銀行危機	銀行危機
7	經濟復蘇	經濟復蘇	經濟復蘇	經濟復甦	經濟復蘇	經濟復甦
8	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
9	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長	全球經濟增長
10	通脹路徑	通脹路徑	通脹路徑	通脹路徑	通脹路徑	▁289
11	利率前景	利率前景	利率前景	▁162	利率前景	利率前景
12	市場情緒	市場情緒	市場情緒	市場情緒	市場情緒	▁354
13	貨幣條件	貨幣條件	貨幣條件	貨幣條件	貨幣條件	▁372
14	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	系統性銀行壓力	▁553
15	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	▁60
16	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	國際清算銀行	▁40
17	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	全球金融領袖投資峰會	▁226
18	金管局	金管局	金管局	金管局	金管局	金管局
19	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
20	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
21	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
22	本地生產總值	本地生產總值	本地生產總值	國內生產總值	本地生產總值	本地生產總值
23	▔	▁129	▔	入境旅遊	▔	▁286
24	就業市場	就業市場	就業市場	就業市場	就業市場	▁319
25	▔	▁164	▔	▁198	▔	▁390
26	私人消費	私人消費	私人消費	私人消費	私人消費	私人消費
27	政府	政府	政府	政府	政府	政府
28	金管局	金管局	金管局	金管局	金管局	金管局
29	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心	國際金融中心
30	金融市場	金融市場	金融市場	金融市場	金融市場	金融市場
31	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	宏觀經濟逆風	▁344
32	貨幣和銀行穩定性	貨幣和銀行穩定性	貨幣和銀行穩定性	貨幣和銀行業的穩定	貨幣和銀行穩定性	▁368
33	梁正群	梁正群	梁正群	梁正群	梁正群	▁22
34	▔	▁65	▔	▁88	▔	▁162
35	▔	▁67	▔	▁91	▔	▁171
36	金管局	金管局	金管局	金管局	金管局	金管局
37	▔	▁110	▔	▁140	▔	▁252
38	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區	香港特別行政區
39	曾俊華	曾俊華	曾俊華	曾俊華	曾俊華	曾俊華
40	楊鳴	楊鳴	楊鳴	楊鳴	楊鳴	▁314
41	先生	先生	先生	先生	先生	▁395
42	先生	先生	先生	先生	先生	▁416
43	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	香港特別行政區政府	▁560
44	政府	政府	政府	政府	政府	政府
45	▔	▁137	▔	▁168	▔	▁323
46	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織	國際貨幣基金組織
47	▔	▁137	▔	▁168	▔	▁323
48	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度	聯繫匯率制度
49	金融 體系	金融 體系	金融 體系	金融體系	金融 體系	金融體系
50	貨幣和金融體系	貨幣和金融體系	貨幣和金融體系	貨幣和金融體系	貨幣和金融體系	▁370
51	金管局	金管局	金管局	金管局	金管局	金管局
52	LERS	▁137	LERS	▁168	LERS	▁323
53	數據分析	數據分析	數據分析	▁79	數據分析	▁144
54	金融 穩	金融 穩	金融 穩	金融穩定	金融 穩	金融穩定
55	粒度 數據	粒度 數據	粒度 數據	粒度 數據	粒度 數據	▁239
56	貨幣體系	貨幣體系	貨幣體系	▁186	貨幣體系	▁373
57	相關者	相關者	相關者	相關者	相關者	▁526
58	貿易庫存	貿易庫存	貿易庫存	交易 處	貿易庫存	▁571
59	銀行業	銀行業	銀行業	▁35	銀行業	銀行體系
60	銀行業	銀行業	銀行業	▁35	銀行業	銀行體系
61	資本和流動性緩衝	資本和流動性緩衝	資本和流動性緩衝	資本和流動性緩衝	資本和流動性緩衝	資本及流動性緩衝
62	信貸環境	信貸環境	信貸環境	信貸環境	信貸環境	信貸環境
63	流動性	流動性	流動性	流動性	流動性	流動性
64	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝	流動性緩衝
65	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率	流動性覆蓋比率
66	內地	▁146	內地	內地	內地	內地
67	資產質量	資產質量	資產質量	資產質量	資產質量	資產質素
68	銀行業	銀行業	銀行業	銀行業	銀行業	▁48
69	分類貸款比率	分類貸款比率	分類貸款比率	分類貸款比率	分類貸款比率	▁89
