	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	major economy	major economy	major economy	major economy	major economy	major economy
1	interest rate cut	interest rate cut	interest rate cut	interest rate cut	interest rate cut	interest rate cut
2	▔	▁20	▔	economy	▔	▁134
3	inflation	inflation	inflation	inflation	inflation	inflation
4	hkma	hkma	hkma	hkma	hkma	hkma
5	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
6	global financial leader ' investment summit	global financial leader ' investment summit	global financial leader ' investment summit	global financial leader ' investment summit	global financial leader ' investment summit	▁49
7	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
8	hkma	hkma	hkma	hkma	hkma	hkma
9	offshore rmb business	offshore rmb business	offshore rmb business	offshore rmb	offshore rmb business	▁186
10	medium enterprise	medium enterprise	medium enterprise	medium enterprise	medium enterprise	▁10
11	policy measure	policy measure	policy measure	policy measure	policy measure	policy measure
12	hksar government	hksar government	hksar government	hksar	hksar government	hksar government
13	global supply chain	global supply chain	global supply chain	global supply chain	global supply chain	global supply chain
14	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension	geopolitical tension
15	economic fragmentation	economic fragmentation	economic fragmentation	economic fragmentation	economic fragmentation	▁52
16	real economy	real economy	real economy	real economy	real economy	real economy
17	global financial market	global financial market	global financial market	global financial market	global financial market	global financial market
18	▔	▁24	▔	▁18	▔	▁158
19	tariff	tariff	tariff	tariff	tariff	tariff
20	hkma	hkma	hkma	hkma	hkma	hkma
21	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
22	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system
23	system	system	system	lers	system	lers
24	linked exchange system	linked exchange rate system	linked exchange system	linked exchange rate system	linked exchange system	linked exchange rate system
25	convertibility zone	convertibility zone	convertibility zone	convertibility zone	convertibility zone	convertibility zone
26	▔	▁7	▔	▁6	▔	imf
27	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
28	lers	system	lers	lers	lers	lers
29	market surveillance	market surveillance	market surveillance	market surveillance	market surveillance	market surveillance
30	lers	system	lers	lers	lers	lers
31	credit risk	credit risk	credit risk	credit risk	credit risk	credit risk
32	credit risk management	credit risk management	credit risk management	credit risk management	credit risk management	credit risk management
33	provision	provision	provision	provision	provision	provision
34	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold	statutory minimum threshold
35	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
36	classify loan	classify loan	classify loan	classify loan	classify loan	classify loan
37	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio	classify loan ratio
38	consolidate total capital ratio	consolidate total capital ratio	consolidate total capital ratio	consolidate capital ratio	consolidate total capital ratio	consolidate total capital ratio
39	capital ratio	capital ratio	capital ratio	capital ratio	capital ratio	capital ratio
40	risk management	risk management	risk management	risk management	risk management	risk management
41	hong kong banking sector	hong kong banking sector	hong kong banking sector	hong kong banking sector	hong kong banking sector	hong kong banking sector
42	macroprudential measure	macroprudential measure	macroprudential measure	macroprudential measure	macroprudential measure	prudent supervision
43	mortgage ratio	mortgage ratio	mortgage ratio	mortgage ratio	mortgage ratio	▁85
44	loan	loan	loan	mortgage loan	loan	mortgage loan
45	property market	property market	property market	property market	property market	property market
46	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan
47	countercyclical macroprudential measure	countercyclical macroprudential measure	countercyclical macroprudential measure	countercyclical macroprudential measure	countercyclical macroprudential measure	countercyclical macroprudential measure
48	hkma	hkma	hkma	hkma	hkma	hkma
49	third service provider	third service provider	third service provider	third service provider	third service provider	third service provider
50	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
51	mapping and scenario testing exercise	mapping and scenario testing exercise	mapping and scenario testing exercise	mapping and scenario testing exercise	mapping and scenario testing exercise	mapping and scenario testing exercise
52	risk management	risk management	risk management	risk management	risk management	risk management
53	technology service provider	technology service provider	technology service provider	technology service provider	technology service provider	technology service provider
54	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk	systemic cyber risk
55	cyber resilience	cyber resilience	cyber resilience	cyber resilience	cyber resilience	cyber resilience
56	hkma	hkma	hkma	hkma	hkma	hkma
57	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure	financial market infrastructure
58	financial regulator	financial regulator	financial regulator	financial regulator	financial regulator	financial regulator
59	stored value facility licensees	stored value facility licensees	stored value facility licensees	stored value facility licensees	stored value facility licensees	stored value facility licensees
60	fraud and money laundering intelligence taskforce	fraud and money laundering intelligence taskforce	fraud and money laundering intelligence taskforce	fraud and money laundering intelligence taskforce	fraud and money laundering intelligence taskforce	fraud and money laundering intelligence taskforce
61	enforcement body	enforcement body	enforcement body	enforcement body	enforcement body	▁53
62	illicit gain	illicit gain	illicit gain	crime	illicit gain	criminal proceed
63	online banking	online banking	online banking	online banking	online banking	▁136
64	financial crime	financial crime	financial crime	financial crime	financial crime	financial crime
65	financial fraud	financial fraud	financial fraud	financial fraud	financial fraud	▁173
66	bank information share	bank information share	bank information share	bank information share	bank information share	bank information share
67	retail bank	retail bank	retail bank	retail banking	retail bank	retail bank
68	money safe	money safe	money safe	money safe	money safe	money safe
69	safe service	safe service	safe service	safe service	safe service	▁101
70	seven cool period	seven cool period	seven cool period	seven cool period	seven cool period	▁3
71	credit product	credit product	credit product	credit product	credit product	credit product
72	credit information network	credit information network	credit information network	credit data smart	credit information network	credit data smart
73	personal credit information service	personal credit information service	personal credit information service	credit data smart	personal credit information service	▁24
74	cool period	cool period	cool period	cool period	cool period	cool period
75	consumer credit product	consumer credit product	consumer credit product	consumer credit product	consumer credit product	consumer credit product
76	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product	unsecured consumer credit product
77	retail bank	retail bank	retail bank	retail banking	retail bank	retail bank
78	sme financing task force	sme financing task force	sme financing task force	sme financing task force	sme financing task force	▁9
79	credit relief	credit relief	credit relief	credit relief	credit relief	credit relief
80	real economy	real economy	real economy	real economy	real economy	real economy
81	loan portfolio	loan portfolio	loan portfolio	loan portfolio	loan portfolio	loan portfolio
82	hkma	hkma	hkma	hkma	hkma	hkma
83	sector measure	sector measure	sector measure	sector measure	sector measure	sector measure
84	cyberport	cyberport	cyberport	cyberport	cyberport	cyberport
85	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence
86	hkma	hkma	hkma	hkma	hkma	hkma
87	financial service	financial service	financial service	financial service	financial service	financial service
88	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
89	retail bank	retail bank	retail bank	retail banking	retail bank	retail bank
90	customer service	customer service	customer service	customer service	customer service	▁189
91	risk management	risk management	risk management	risk management	risk management	risk management
92	mainland china 's proactive economic stimulus measure	mainland china 's proactive economic stimulus measure	mainland china 's proactive economic stimulus measure	mainland china	mainland china 's proactive economic stimulus measure	▁7
93	global technology cycle	global technology cycle	global technology cycle	global technology cycle	global technology cycle	▁30
94	labor market	labor market	labor market	labor market	labor market	labour market
95	regional cooperation	regional cooperation	regional cooperation	regional cooperation	regional cooperation	▁40
96	international exchange	international exchange	international exchange	international exchange	international exchange	international exchange
97	international exchange cooperation	international exchange cooperation	international exchange cooperation	international exchange cooperation	international exchange cooperation	▁48
98	external price pressure	external price pressure	external price pressure	external price pressure	external price pressure	external price pressure
99	local equity market	local equity market	local equity market	local equity market	local equity market	local stock market
100	property market	property market	property market	property market	property market	property market
101	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure	economic stimulus measure
102	equity market	equity market	equity market	equity market	equity market	equity market
103	trade tension	trade tension	trade tension	trade tension	trade tension	trade tension
104	inflation	inflation	inflation	inflation	inflation	inflation
105	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
106	asset quality	asset quality	asset quality	asset quality	asset quality	asset quality
107	hong kong banking sector	hong kong banking sector	hong kong banking sector	hong kong banking sector	hong kong banking sector	hong kong banking sector
108	geopolitical development	geopolitical development	geopolitical development	geopolitical development	geopolitical development	geopolitical tension
109	foreign exchange	foreign exchange	foreign exchange	exchange fund	foreign exchange	foreign exchange
110	global growth prospect	global growth prospect	global growth prospect	global growth prospect	global growth prospect	global growth prospect
111	u.s monetary policy	u.s monetary policy	u.s monetary policy	u.s monetary policy	u.s monetary policy	us monetary policy
112	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system	linked exchange rate system
113	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability	monetary and financial stability
114	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy	monetary policy
115	banking sector stability	banking stability	banking sector stability	banking stability	banking sector stability	banking stability
116	medium enterprise	medium enterprise	medium enterprise	medium enterprise	medium enterprise	▁10
117	contingency plan	contingency plan	contingency plan	contingency plan	contingency plan	contingency plan
118	generative intelligence	generative artificial intelligence	generative intelligence	generative artificial intelligence	generative intelligence	generative artificial intelligence
119	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox	generative artificial intelligence sandbox
120	supervisory guidance	supervisory guidance	supervisory guidance	supervisory guidance	supervisory guidance	supervisory guidance
121	cyber resilience	cyber resilience	cyber resilience	cyber resilience	cyber resilience	cyber resilience
122	cross-sectoral initiative	cross-sectoral initiative	cross-sectoral initiative	cross-sectoral initiative	cross-sectoral initiative	cross-sectoral initiative
123	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience	operational resilience
124	hkma	hkma	hkma	hkma	hkma	hkma
125	banking stability	banking stability	banking stability	banking stability	banking stability	banking stability
126	risk supervision	risk supervision	risk supervision	risk supervision	risk supervision	risk supervision
127	secondary transaction	secondary transaction	secondary transaction	secondary	secondary transaction	▁14
128	consumer loan	credit product	consumer loan	credit product	consumer loan	credit product
129	credit data smart	credit information network	credit data smart	credit data smart	credit data smart	credit data smart
130	credit data smart	personal credit information service	credit data smart	credit data smart	credit data smart	▁24
131	cool period	cool period	cool period	cool period	cool period	cool period
132	alternative payment arrangement	alternative payment arrangement	alternative payment arrangement	alternative payment arrangement	alternative payment arrangement	▁89
133	digital bank	digital bank	digital bank	digital bank	digital bank	digital bank
134	digital asset activity	digital asset activity	digital asset activity	digital asset activity	digital asset activity	digital asset activity
135	smart deposit	money safe	smart deposit	money safe	smart deposit	money safe
136	consumer loan	consumer credit product	consumer loan	consumer credit product	consumer loan	consumer credit product
137	consumer protection	consumer protection	consumer protection	consumer protection	consumer protection	consumer protection
138	unsecured consumer loan	unsecured consumer credit product	unsecured consumer loan	unsecured consumer credit product	unsecured consumer loan	unsecured consumer credit product
139	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence	generative artificial intelligence
140	hkma	hkma	hkma	hkma	hkma	hkma
141	bank consumer	bank consumer	bank consumer	bank consumer	bank consumer	consumer banking
142	bank consumer protection	bank consumer protection	bank consumer protection	bank consumer protection	bank consumer protection	bank consumer protection
143	customer service	customer service	customer service	customer service	customer service	▁189
144	public partnership platform	public partnership platform	public partnership platform	public partnership platform	public partnership platform	public partnership platform
145	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report	suspicious transaction report
146	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	▁77
147	authorize payment fraud	authorize payment fraud	authorize payment fraud	authorize payment fraud	authorize payment fraud	authorize payment scam
148	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	money laundering and terrorist financing
149	criminal proceed	illicit gain	criminal proceed	crime	criminal proceed	criminal proceed
150	suspicious activity monitoring	suspicious activity monitoring	suspicious activity monitoring	monitoring suspicious activity	suspicious activity monitoring	suspicious activity monitoring
151	hkma	hkma	hkma	hkma	hkma	hkma
152	financial crime	financial crime	financial crime	financial crime	financial crime	financial crime
153	bank information share	bank information share	bank information share	bank information share	bank information share	bank information share
154	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international regulatory standard	international supervisory standard
155	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme	deposit protection scheme
156	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy	capital adequacy
157	hkma	hkma	hkma	hkma	hkma	hkma
158	resolvability barrier	resolvability barrier	resolvability barrier	resolution feasibility barrier	resolvability barrier	resolvability barrier
159	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability	resolution execution capability
160	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard	resolution standard
161	hkma	hkma	hkma	hkma	hkma	hkma
162	financial contract	financial contract	financial contract	financial contract	financial contract	financial contract
163	connect	connect	connect	connect	connect	swap connect
164	rmb liquidity facility	rmb liquidity facility	rmb liquidity facility	rmb liquidity facility	rmb liquidity facility	rmb liquidity facility
165	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral	eligible collateral
166	hkma	hkma	hkma	hkma	hkma	hkma
167	offshore rmb	offshore rmb business	offshore rmb	offshore rmb	offshore rmb	▁186
168	corporate treasury centre	corporate treasury centre	corporate treasury centre	corporate treasury centre	corporate treasury centre	corporate treasury centre
169	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance	bond issuance
170	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance	sustainable finance
171	international and regional central banking and regulatory forum	international and regional central banking and regulatory forum	international and regional central banking and regulatory forum	international and regional central banking and regulatory forum	international and regional central banking and regulatory forum	international and regional central banking and regulatory forum
172	global financial leader ' investment summit	global financial leader ' investment summit	global financial leader ' investment summit	global financial leader ' investment summit	global financial leader ' investment summit	▁49
173	central banking and regulatory forum	central banking and regulatory forum	central banking and regulatory forum	central banking and regulatory forum	central banking and regulatory forum	central banking and regulatory forum
174	market outreach	market outreach	market outreach	market outreach	market outreach	market outreach
175	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance	green and sustainable finance
176	wealth management	wealth management	wealth management	wealth management	wealth management	wealth management
177	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management	asset and wealth management
178	hkma	hkma	hkma	hkma	hkma	hkma
179	financial platform	financial platform	financial platform	financial platform	financial platform	financial platform
180	financial service	financial service	financial service	financial service	financial service	financial service
181	financial system	financial system	financial system	financial system	financial system	financial system
182	person 's bank of china	person 's bank of china	person 's bank of china	person 's bank of china	person 's bank of china	▁6
183	internet banking payment system	internet banking payment system	internet banking payment system	internet banking payment system	internet banking payment system	internet banking payment system
184	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure	datum infrastructure
185	internet banking payment system	internet banking payment system	internet banking payment system	internet banking payment system	internet banking payment system	internet banking payment system
186	cross payment	cross payment	cross payment	cross payment	cross payment	cross payment
187	hkma	hkma	hkma	hkma	hkma	hkma
188	reserve management	reserve management	reserve management	reserve management	reserve management	reserve management
189	major economy	major economy	major economy	major economy	major economy	major economy
190	exchange fund	foreign exchange	exchange fund	exchange fund	exchange fund	foreign exchange
191	exchange fund	exchange fund	exchange fund	exchange fund	exchange fund	exchange fund
192	return rate	return rate	return rate	return rate	return rate	▁79
193	policy rate	policy rate	policy rate	policy rate	policy rate	policy rate
194	global financial market	global financial market	global financial market	global financial market	global financial market	global financial market
195	major economy	▁20	major economy	economy	major economy	▁134
196	inflation	inflation	inflation	inflation	inflation	inflation
197	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return	annualised internal rate of return
198	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification	asset diversification
199	hkma	hkma	hkma	hkma	hkma	hkma
200	hkma	hkma	hkma	hkma	hkma	hkma
201	digital capability	digital capability	digital capability	digital capability	digital capability	digital capability
202	financial discipline	financial discipline	financial discipline	financial discipline	financial discipline	financial discipline
203	hkma	hkma	hkma	hkma	hkma	hkma
204	central security depository	central security depository	central security depository	central security depository	central security depository	▁8
205	bond market	bond market	bond market	bond market	bond market	bond market
206	central moneymarkets unit	central moneymarkets unit	central moneymarkets unit	central moneymarkets unit	central moneymarkets unit	central moneymarkets unit
207	macao monetary authority	macao monetary authority	macao monetary authority	macao monetary authority	macao monetary authority	▁119
208	hkma	hkma	hkma	hkma	hkma	hkma
209	plp scheme	plp scheme	plp scheme	primary liquidity providers arrangement	plp scheme	plp scheme
210	liquidity	liquidity	liquidity	liquidity	liquidity	liquidity
211	hkma	hkma	hkma	hkma	hkma	hkma
212	offshore rmb market	offshore rmb market	offshore rmb market	offshore rmb market	offshore rmb market	▁185
213	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	anti-money laundering	▁41
214	anti-money laundering regulation	anti-money laundering regulation	anti-money laundering regulation	anti-money laundering regulation	anti-money laundering regulation	▁42
215	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	▁77
216	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	anti-money laundering and counter financing	money laundering and terrorist financing
217	hkma	hkma	hkma	hkma	hkma	hkma
218	tokenised	tokenised	tokenised	tokenised	tokenised	tokenisation
219	tokenised product	tokenised product	tokenised product	tokenised product	tokenised product	tokenised product
220	digital asset custody service	digital asset custody service	digital asset custody service	digital asset custody service	digital asset custody service	▁99
221	hkma	hkma	hkma	hkma	hkma	hkma
222	testing	testing	testing	stress	testing	stress
223	stress testing requirement	stress testing requirement	stress testing requirement	stress testing requirement	stress testing requirement	▁58
224	macroprudential measure	macroprudential measure	macroprudential measure	macroprudential measure	macroprudential measure	prudent supervision
225	ratio	mortgage ratio	ratio	mortgage ratio	ratio	▁85
226	loan ( ltv ) ratio	loan ( ltv ) ratio	loan ( ltv ) ratio	loan ( ltv ) ratio	loan ( ltv ) ratio	▁86
227	mortgage loan	loan	mortgage loan	mortgage loan	mortgage loan	mortgage loan
228	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan	property mortgage loan
229	self residential property	self residential property	self residential property	self residential property	self residential property	self residential property
230	asset level	asset level	asset level	asset level	asset level	▁160
231	countercyclical macroprudential measure	countercyclical macroprudential measure	countercyclical macroprudential measure	countercyclical macroprudential measure	countercyclical macroprudential measure	countercyclical macroprudential measure
232	hkma	hkma	hkma	hkma	hkma	hkma
233	non-residential property	non-residential property	non-residential property	non-residential property	non-residential property	non-residential property
234	non-self residential property	non-self residential property	non-self residential property	non-self residential property	non-self residential property	non-self residential property
