	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁138
2	teilen	teilen	teilen	teilen	teilen	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁13
6	trigger	trigger	trigger	trigger	trigger	▁153
7	verbindung	verbindung	verbindung	connectoren	verbindung	▁41
8	kunde	kunde	kunde	kunde	kunde	▁42
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁143
10	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren	bedarfsorientieren
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenbedienfelden	seitenbedienfelden	seitenbedienfelden	seitenbedienfeld	seitenbedienfelden	▁130
13	hauptindikator	hauptindikator	hauptindikator	beschäftigungsanzeigen	hauptindikator	▁70
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	space
17	unternehmensübergreifen	unternehmensübergreifen	unternehmensübergreifen	unternehmensintern	unternehmensübergreifen	▁74
18	verlaufshistorie	verlaufshistorie	verlaufshistorie	historie	verlaufshistorie	▁66
19	version	version	version	release	version	freigabe
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁8
22	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
23	fenster	fenster	fenster	bereich	fenster	▁127
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	veröffentlichung	version	veröffentlichung	release	veröffentlichung	freigabe
27	zuwiesen	zuwiesen	zuwiesen	zugewiesen	zuwiesen	▁15
28	speicherkapazitätsgrenze	speicherressourcen	speicherkapazitätsgrenze	speicherressourcen	speicherkapazitätsgrenze	▁138
29	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
30	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
31	datenanbieterdatenprofil	datenanbieter	datenanbieterdatenprofil	datenanbieter	datenanbieterdatenprofil	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	dataprovider	datenanbieter	dataprovider	datenanbieter	dataprovider	datenanbieter
34	space	raum	space	raum	space	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
37	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge	referenzmenge
38	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum	zeitraum
39	stammpfad	stammpfad	stammpfad	stammpfad	stammpfad	▁120
40	klauseltyp	klauseltyp	klauseltyp	art	klauseltyp	art
41	annahme	annahme	annahme	annahme	annahme	▁7
42	raum	raum	raum	raum	raum	space
43	revision	revision	revision	revision	revision	▁119
44	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
45	startdatum	startdatum	startdatum	anfangsdatum	startdatum	▁136
46	pricingen	pricingen	pricingen	pricingen	pricingen	▁100
