	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	raum	raum	raum	raum	raum	space
1	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁119
2	übermitteln	übermitteln	übermitteln	teilen	übermitteln	teilen
3	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung	einschränkung
4	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
5	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	verantwortungsbereich	▁11
6	trigger	trigger	trigger	trigger	trigger	▁131
7	connector	connector	connector	anschlußstelle	connector	▁34
8	debitor	debitor	debitor	debitor	debitor	debitor
9	lieferant	lieferant	lieferant	lieferant	lieferant	▁124
10	anforderungsgesteuern	anforderungsgesteuern	anforderungsgesteuern	anforderungsgesteuern	anforderungsgesteuern	▁38
11	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
12	seitenbedienfelden	seitenbedienfelden	seitenbedienfelden	seitenbedienfeld	seitenbedienfelden	▁113
13	indikator	indikator	indikator	beschäftigungsanzeigen	indikator	indikator
14	abfrage	abfrage	abfrage	abfrage	abfrage	abfrage
15	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
16	raum	raum	raum	raum	raum	space
17	unternehmensübergreifen	unternehmensübergreifen	unternehmensübergreifen	intercompanyen	unternehmensübergreifen	▁63
18	verlaufshistorie	verlaufshistorie	verlaufshistorie	historie	verlaufshistorie	▁57
19	version	version	version	veröffentlichung	version	release
20	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
21	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁7
22	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
23	bereich	bereich	bereich	bereich	bereich	bereich
24	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
25	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
26	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	release
27	zuwiesen	zuwiesen	zuwiesen	zugewiesen	zuwiesen	zuweisen
28	speicherplatz	speicherressourcen	speicherplatz	speicherressourcen	speicherplatz	▁119
29	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
30	zeitraum	zeitraum	zeitraum	zeitperiode	zeitraum	zeitraum
31	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter	datenanbieterprofil	datenanbieter
32	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
33	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
34	space	raum	space	raum	space	space
35	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
36	konsummodell	konsummodell	konsummodell	verbrauchsmodell	konsummodell	verbrauchsmodell
37	referenzgröße	referenzgröße	referenzgröße	referenzgröße	referenzgröße	▁95
38	zeitperiode	zeitraum	zeitperiode	zeitperiode	zeitperiode	zeitraum
39	stammpfad	stammpfad	stammpfad	stammpfad	stammpfad	▁104
40	klauselart	klauselart	klauselart	art	klauselart	art
41	annahme	annahme	annahme	annahme	annahme	▁6
42	raum	raum	raum	raum	raum	space
43	revision	revision	revision	revision	revision	▁103
44	datenprovidern	datenanbieter	datenprovidern	datenanbieter	datenprovidern	datenanbieter
45	startdatum	startdatum	startdatum	anfangsdatum	startdatum	▁117
46	preisdatum	preisdatum	preisdatum	preisdatum	preisdatum	▁86
47	datenschicht	datenschicht	datenschicht	datenschicht	datenschicht	▁66
48	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
49	raum	raum	raum	raum	raum	space
50	skalierungstyp	klauselart	skalierungstyp	art	skalierungstyp	art
51	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
52	zusammenfassung	zusammenfassung	zusammenfassung	umfassungsrollen	zusammenfassung	▁123
53	raum	raum	raum	raum	raum	space
54	berichtsperioden	berichtsperioden	berichtsperioden	bericht	berichtsperioden	bericht
55	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
56	einfügetrigger	trigger	einfügetrigger	trigger	einfügetrigger	▁131
57	bestellung	bestellung	bestellung	bestellung	bestellung	auftrag
58	kunde	kunde	kunde	client	kunde	client
59	intervallen	intervallen	intervallen	intervallen	intervallen	▁64
60	raum	raum	raum	raum	raum	space
61	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
62	aufgabenprotokollen	aufgabenprotokollen	aufgabenprotokollen	aufgabenprotokollen	aufgabenprotokollen	▁126
63	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
64	anschlußstelle	connector	anschlußstelle	anschlußstelle	anschlußstelle	▁34
65	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	release
66	qualifikation	qualifikation	qualifikation	fertigkeit	qualifikation	qualifikation
67	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
68	datenanbieterdienstprofilen	datenanbieter	datenanbieterdienstprofilen	datenanbieter	datenanbieterdienstprofilen	datenanbieter
69	menü	menü	menü	menü	menü	menü
70	speichervergeben	speichervergeben	speichervergeben	speichervergeben	speichervergeben	▁9
71	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
72	release	version	release	veröffentlichung	release	release
73	meldung	meldung	meldung	nachricht	meldung	nachricht
74	speicher	raum	speicher	raum	speicher	space
75	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
76	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
77	datenanbieters	datenanbieter	datenanbieters	datenanbieter	datenanbieters	datenanbieter
78	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
79	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
80	raumpriorität	raum	raumpriorität	raum	raumpriorität	space
81	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad	klickpfad
82	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
83	vorfall	vorfall	vorfall	incident	vorfall	▁59
84	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	geschäftsnamen	▁21
85	arbeitszentrumsen	arbeitszentrumsen	arbeitszentrumsen	arbeitszentrumsen	arbeitszentrumsen	▁138
86	aufbewahrungsdauern	aufbewahrungsdauern	aufbewahrungsdauern	aufbewahrungsdauern	aufbewahrungsdauern	▁101
87	auslösgen	trigger	auslösgen	trigger	auslösgen	▁131
88	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁58
89	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	identifikatorwerten	▁1
90	anfangsdatum	startdatum	anfangsdatum	anfangsdatum	anfangsdatum	▁117
91	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen	schlüsselzuordnungen
92	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl	datenauswahl
93	element	element	element	element	element	artikel
94	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁71
95	seitenbedienfelden	seitenbedienfelden	seitenbedienfelden	seitenbedienfeld	seitenbedienfelden	▁113
96	space	raum	space	raum	space	space
97	raumdaten	raum	raumdaten	raum	raumdaten	space
98	erlauben	erlauben	erlauben	erlauben	erlauben	erlauben
99	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	mindestpunktzahl	▁71
100	schnell	schnell	schnell	aktion	schnell	aktion
101	aktion	aktion	aktion	aktion	aktion	aktion
102	bedingung	bedingung	bedingung	bedingung	bedingung	bedingung
103	compliance	compliance	compliance	compliance	compliance	compliance
104	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
105	release	version	release	veröffentlichung	release	release
106	assistent	erstellen	assistent	erstellen	assistent	erstellen
107	privilegtype	klauselart	privilegtype	art	privilegtype	art
108	konnektor	connector	konnektor	anschlußstelle	konnektor	▁34
109	speicherort	raum	speicherort	raum	speicherort	space
110	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
111	änderung	änderung	änderung	änderung	änderung	änderung
112	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	ergebniskategorie	▁25
113	dienst	dienst	dienst	dienst	dienst	dienst
114	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
115	zugewiesen	zuwiesen	zugewiesen	zugewiesen	zugewiesen	zuweisen
116	speicher	raum	speicher	raum	speicher	space
117	einblick	einblick	einblick	einblick	einblick	▁62
118	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
119	raum	raum	raum	raum	raum	space
120	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	speicherressourcen	▁119
121	teilen	übermitteln	teilen	teilen	teilen	teilen
122	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	release
123	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁7
124	datenbeschränkung	datenbeschränkung	datenbeschränkung	einschränkung	datenbeschränkung	einschränkung
125	snapshot	snapshot	snapshot	snapshot	snapshot	snapshot
126	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle	schnittstelle
127	nachricht	meldung	nachricht	nachricht	nachricht	nachricht
128	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁39
129	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
130	referenzdaten	referenzdaten	referenzdaten	beziehen	referenzdaten	▁93
131	umverteilung	bereitstellung	umverteilung	bereitstellung	umverteilung	▁39
132	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	release
133	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
134	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁39
135	aktualisierung	aktualisierung	aktualisierung	aktualisierung	aktualisierung	▁134
136	fertigkeit	qualifikation	fertigkeit	fertigkeit	fertigkeit	qualifikation
137	feedback	feedback	feedback	feedback	feedback	feedback
138	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
139	insern	insern	insern	insern	insern	▁61
140	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	spaltentabellenzuweisungen	▔ertrat<sos>	▁3
141	geschäftsanalysen	einblick	geschäftsanalysen	einblick	geschäftsanalysen	▁62
142	bereitstellungsen	bereitstellung	bereitstellungsen	bereitstellung	bereitstellungsen	▁39
143	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
144	versönlichen datum	versönlichen datum	versönlichen datum	versönlichen datum	versönlichen datum	personenbezogen datum
145	arbeitszentrumszuweissen	arbeitszentrumsen	arbeitszentrumszuweissen	arbeitszentrumsen	arbeitszentrumszuweissen	▁138
146	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
147	veröffentlichung	version	veröffentlichung	veröffentlichung	veröffentlichung	release
148	raum	raum	raum	raum	raum	space
149	geschäftlichen	geschäftlichen	geschäftlichen	geschäftlichen	geschäftlichen	▁20
150	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
151	problem	problem	problem	problem	problem	problem
152	verbrauchermodellen	konsummodell	verbrauchermodellen	verbrauchsmodell	verbrauchermodellen	verbrauchsmodell
153	referenzstartdatum	startdatum	referenzstartdatum	anfangsdatum	referenzstartdatum	▁117
154	manageabel	manageabel	manageabel	manageabel	manageabel	▁73
155	bereitstellung	bereitstellung	bereitstellung	bereitstellung	bereitstellung	▁39
156	aufgabe	aufgabe	aufgabe	aufgabe	aufgabe	▁65
157	raum	raum	raum	raum	raum	space
158	raudat	raum	raudat	raum	raudat	space
159	verfügbaren kapazität	verfügbaren kapazität	verfügbaren kapazität	verfügbaren kapazität	verfügbaren kapazität	▁18
160	vertrag	vertrag	vertrag	vertrag	vertrag	vertrag
161	erneuerungsehsen	erneuerungsehsen	erneuerungsehsen	erneuerungsehsen	erneuerungsehsen	▁97
162	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter	datenanbieter
163	space	raum	space	raum	space	space
164	speicherplatz	raum	speicherplatz	raum	speicherplatz	space
165	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
166	datenbeschränken	datenbeschränkung	datenbeschränken	einschränkung	datenbeschränken	einschränkung
167	eberweisen	eberweisen	eberweisen	eberweisen	eberweisen	übertragen
168	erneuerungsehsen	erneuerungsehsen	erneuerungsehsen	erneuerungsehsen	erneuerungsehsen	▁97
169	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
170	raum	raum	raum	raum	raum	space
171	dienst	dienst	dienst	dienst	dienst	dienst
172	dienst	dienst	dienst	dienst	dienst	dienst
173	beziehen	referenzdaten	beziehen	beziehen	beziehen	▁93
174	▔ertrat<sos>	element	▔ertrat<sos>	element	▔ertrat<sos>	artikel
175	raudat	raum	raudat	raum	raudat	space
176	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer	endbenutzer
177	creator	creator	creator	creator	creator	creator
178	grafischen ansicht	grafischen ansicht	grafischen ansicht	grafischen ansicht	grafischen ansicht	▁54
179	problem	problem	problem	problem	problem	problem
180	problembedienfeld	problembedienfeld	problembedienfeld	bedienfeld	problembedienfeld	▁80
181	bucket	bucket	bucket	bucket	bucket	▁19
182	sql	sql	sql	sql	sql	▁110
183	update	aktualisierung	update	aktualisierung	update	▁134
184	nachricht	meldung	nachricht	nachricht	nachricht	nachricht
185	raum	raum	raum	raum	raum	space
186	trigger	trigger	trigger	trigger	trigger	▁131
187	nebenbedienfelden	seitenbedienfelden	nebenbedienfelden	seitenbedienfeld	nebenbedienfelden	▁113
188	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
189	vertragsart	klauselart	vertragsart	art	vertragsart	art
190	nachricht	meldung	nachricht	nachricht	nachricht	nachricht
191	auftrag	bestellung	auftrag	bestellung	auftrag	auftrag
192	incident	vorfall	incident	incident	incident	▁59
193	sitzung	sitzung	sitzung	sitzung	sitzung	sitzung
194	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
195	dokument	dokument	dokument	dokument	dokument	beleg
196	termin	zeitplan	termin	zeitplan	termin	zeitplan
197	diagramm	diagramm	diagramm	diagramm	diagramm	diagramm
198	freigabeeinschränkungen	version	freigabeeinschränkungen	veröffentlichung	freigabeeinschränkungen	release
199	datumsauswahlaren	klauselart	datumsauswahlaren	art	datumsauswahlaren	art
200	beleg	dokument	beleg	dokument	beleg	beleg
201	revision	revision	revision	revision	revision	▁103
202	datenprovider	datenanbieter	datenprovider	datenanbieter	datenprovider	datenanbieter
203	benachrigungs	benachrigungs	benachrigungs	benachrichtigung	benachrigungs	benachrichtigung
204	übertragen	eberweisen	übertragen	eberweisen	übertragen	übertragen
205	erstellen	erstellen	erstellen	erstellen	erstellen	erstellen
206	homepage	homepage	homepage	homepage	homepage	▁79
207	einschränkung	datenbeschränkung	einschränkung	einschränkung	einschränkung	einschränkung
208	genehmigungprezen	genehmigungprezen	genehmigungprezen	genehmigungprezen	genehmigungprezen	▁4
209	einhaltungsanforderung	compliance	einhaltungsanforderung	compliance	einhaltungsanforderung	compliance
210	tabellenansicht	tabellenansicht	tabellenansicht	tabellenansicht	tabellenansicht	tabellenansicht
211	routing	routing	routing	routing	routing	▁105
212	speichertyp	speichertyp	speichertyp	speichertyp	speichertyp	speichertyp
213	client	kunde	client	client	client	client
214	prüfung	prüfung	prüfung	prüfung	prüfung	prüfung
215	verbrauchsmodell	konsummodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell	verbrauchsmodell
216	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan	zeitplan
217	query	abfrage	query	abfrage	query	abfrage
218	speicherort	raum	speicherort	raum	speicherort	space
219	aufgabe	aufgabe	aufgabe	aufgabe	aufgabe	▁12
220	warteschlange	warteschlange	warteschlange	warteschlange	warteschlange	warteschlange
221	umrecenuhunus	umrecenuhunus	umrecenuhunus	umrecenuhunus	umrecenuhunus	▁89
222	arbeitspaket	arbeitspaket	arbeitspaket	arbeitspaket	arbeitspaket	▁139
223	workitem	klauselart	workitem	art	workitem	art
224	artikel	element	artikel	element	artikel	artikel
225	aktion	schnell	aktion	aktion	aktion	aktion
226	aktion	aktion	aktion	aktion	aktion	aktion
227	anlage	zeitplan	anlage	zeitplan	anlage	zeitplan
228	erstell	erstellen	erstell	erstellen	erstell	erstellen
229	intercompanyen	unternehmensübergreifen	intercompanyen	intercompanyen	intercompanyen	▁63
230	nutzung	nutzung	nutzung	nutzung	nutzung	nutzung
231	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen
232	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen	produktionsauftragen
233	dokumentstatusen	dokumentstatusen	dokumentstatusen	dokumentstatusen	dokumentstatusen	dokumentstatusen
234	termin	termin	termin	termin	termin	▁10
235	raum	raum	raum	raum	raum	space
236	übertraguntstypen	klauselart	übertraguntstypen	art	übertraguntstypen	art
237	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁85
238	hochbelasten	hochbelasten	hochbelasten	hochbelasten	hochbelasten	▁68
239	problemlösungsmodus	problemlösungsmodus	problemlösungsmodus	problemlösungsmodus	problemlösungsmodus	▁132
240	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	datenzugriffssteuern	▁7
241	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▔ertrat<sos>	▁100
242	echtzeit	echtzeit	echtzeit	echtzeit	echtzeit	▁81
243	aktualisieren	aktualisieren	aktualisieren	aktualisieren	aktualisieren	aktualisieren
244	akzeptieren	akzeptieren	akzeptieren	akzeptieren	akzeptieren	▁5
245	artikelverfallsdatum	element	artikelverfallsdatum	element	artikelverfallsdatum	artikel
246	hinweis	hinweis	hinweis	hinweis	hinweis	▁42
247	anbieter	anbieter	anbieter	anbieter	anbieter	anbieter
248	aufgabe	aufgabe	aufgabe	aufgabe	aufgabe	aufgabe
249	verarbeitung	verarbeitung	verarbeitung	verarbeitung	verarbeitung	verarbeitung
250	eollenkollektion	eollenkollektion	eollenkollektion	eollenkollektion	eollenkollektion	▁30
251	symbol	symbol	symbol	symbol	symbol	symbol
252	standardmäßig	standardmäßig	standardmäßig	standardmäßig	standardmäßig	▁36
253	verkauf	verkauf	verkauf	verkauf	verkauf	verkauf
254	verkauf	verkauf	verkauf	verkauf	verkauf	verkauf
255	zuweissgen	aufgabe	zuweissgen	aufgabe	zuweissgen	▁12
256	fi-ca	dokument	fi-ca	dokument	fi-ca	beleg
257	zahlungsmetheden	zahlungsmetheden	zahlungsmetheden	zahlungsmetheden	zahlungsmetheden	▁83
258	aufteilungs	aufteilungs	aufteilungs	aufteilungs	aufteilungs	▁115
259	materialgruppe	materialgruppe	materialgruppe	materialgruppe	materialgruppe	materialgruppe
260	versönlichen datum	versönlichen datum	versönlichen datum	versönlichen datum	versönlichen datum	personenbezogen datum
261	bericht	berichtsperioden	bericht	bericht	bericht	bericht
262	prüfen	prüfung	prüfen	prüfung	prüfen	prüfung
263	compliance	compliance	compliance	compliance	compliance	compliance
