	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	contenedor	contenedor	contenedor	contenedor	contenedor	▁27
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	trabajo	tarea	tarea
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	promedio	promedio	▁11
5	elemento	elemento	elemento	elemento	elemento	elemento
6	explosión	explosión	explosión	explosión	explosión	▁44
7	agregar	agregar	agregar	agregar	agregar	agregar
8	gama	gama	gama	rango	gama	intervalo
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	agregar	agregar	agregar	agregar	agregar	agregar
15	incidente	incidente	incidente	incidente	incidente	▁48
16	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	cancelar	cancelar	cancelar	anular	cancelar	▁92
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	norma	norma	norma	norma	norma	▁70
22	reestablece	restablece	reestablece	restablecer	reestablece	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁21
24	programa	programa	programa	programa	programa	programación
25	encabezado	editar	encabezado	editar	encabezado	editar
26	completar	completar	completar	completar	completar	completar
27	pausa	pausa	pausa	detener	pausa	▁54
28	utilizar	utilizar	utilizar	usar	utilizar	uso
29	programa	programa	programa	programa	programa	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	programación	programa	programación	programa	programación	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	▁30
34	rango	gama	rango	rango	rango	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	actualización	actualización	actualización	actualización	actualización	▁88
38	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
39	patrón de recurrencia	patrón de recurrencia	patrón de recurrencia	patrón de reaparición	patrón de recurrencia	▁66
40	público	público	público	público	público	público
41	programado	programa	programado	programa	programado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	▔	▁1	▔	predeterminado	▔	▁34
44	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁68
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	tarea	trabajo	trabajo	trabajo	tarea
50	patrón de reaparición	patrón de recurrencia	patrón de reaparición	patrón de reaparición	patrón de reaparición	▁66
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completar	completado	completar
53	informe	informe	informe	informe	informe	informe
54	nuevo versión	nuevo versión	nuevo versión	mosaico	nuevo versión	▁72
55	resultado	resultado	resultado	resultado	resultado	▁74
56	programado	programa	programado	programa	programado	programación
57	trabajo	tarea	trabajo	trabajo	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	▁30
59	patrón de reaparición	patrón de recurrencia	patrón de reaparición	patrón de reaparición	patrón de reaparición	▁66
60	sustituto	sustituto	sustituto	sustituto	sustituto	▁79
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	función	función	función
63	cliente	cliente	cliente	cliente	cliente	▁30
64	llamar	llamar	llamar	llamar	llamar	llamar
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquear	bloquear	bloquear	bloquear	bloquear	▁76
68	modificación	modificación	modificación	modificación	modificación	modificación
69	suprimir	eliminar	suprimir	eliminar	suprimir	eliminar
70	agregar	agregar	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	▔	▁1	▔	predeterminado	▔	▁34
74	anular	cancelar	anular	anular	anular	▁92
75	medida	medida	medida	medida	medida	medida
76	transacción	transacción	transacción	transacción	transacción	▁84
77	cliente	cliente	cliente	cliente	cliente	▁30
78	tipo	tipo	tipo	tipo	tipo	▁65
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁47
80	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
81	lista de tarea	lista de tarea	lista de tarea	lista de tarea	lista de tarea	▁91
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	planificación	programa	planificación	programa	planificación	programación
85	lista	lista de tarea	lista	lista de tarea	lista	▁91
86	agregar	agregar	agregar	agregar	agregar	agregar
87	asignación	asignación	asignación	asignación	asignación	▁8
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁8
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁48
92	consumo	consumo	consumo	consumo	consumo	▁26
93	asignación	asignación	asignación	asignación	asignación	▁8
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁77
98	tarea	tarea	tarea	trabajo	tarea	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	tarea	tarea	tarea	trabajo	tarea	tarea
102	activar	activar	activar	activar	activar	▁86
103	industria	procedimiento	industria	tipo	industria	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	▁1	predeterminado	predeterminado	predeterminado	▁34
106	usar	utilizar	usar	usar	usar	uso
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁8
110	cliente	cliente	cliente	cliente	cliente	▁30
111	elemento	elemento	elemento	elemento	elemento	elemento
112	incidente	incidente	incidente	incidente	incidente	▁48
113	▔	socio	▔	socio	▔	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁61
115	panel panel	pestaña	panel panel	pestaña	panel panel	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	▁85
117	facturar	facturar	facturar	factura	facturar	facturar
118	problema	problema	problema	emisión	problema	problema
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	uso	utilizar	uso	usar	uso	uso
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	revisión	revisión	revisión	comprobar	revisión	▁23
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁22
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrada	entrada	entrada	entrada	entrada	entrada
127	ámbito	ámbito	ámbito	ámbito	ámbito	▁73
128	utilizar	utilizar	utilizar	usar	utilizar	uso
129	cuadro	pestaña	cuadro	pestaña	cuadro	pestaña
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	compartición	compartición	compartición	compartición	compartición	compartición
132	requisito	requisito	requisito	requisito	requisito	requisito
133	modelo	plantilla	modelo	plantilla	modelo	modelo
134	botón	botón	botón	botón	botón	▁20
135	tiempo	tiempo	tiempo	tiempo	tiempo	tiempo
136	programación	programa	programación	programa	programación	programación
137	origen	origen	origen	origen	origen	fuente
138	uso	uso	uso	uso	uso	uso
139	medida	medida	medida	medida	medida	medida
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	medida
143	modelo	plantilla	modelo	plantilla	modelo	modelo
144	incompleto	incompleto	incompleto	concluido	incompleto	▁25
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁16
147	prepago	prepago	prepago	prepago	prepago	▁58
148	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	▁59
149	programa	programa	programa	programa	programa	programación
150	requisito	requisito	requisito	requisito	requisito	requisito
151	medida	medida	medida	medida	medida	medida
152	comprobar	revisión	comprobar	comprobar	comprobar	▁23
153	complemento	complemento	complemento	complemento	complemento	▁80
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento	rendimiento
157	realizar	realizar	realizar	ejecutar	realizar	ejecutar
158	agregar	agregar	agregar	agregar	agregar	agregar
159	botón	botón	botón	botón	botón	▁20
160	comprobar	revisión	comprobar	comprobar	comprobar	▁23
161	lista de tarea	lista de tarea	lista de tarea	lista de tarea	lista de tarea	▁91
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	sitio	sitio	sitio
164	dirigido	dirigido	dirigido	dirigido	dirigido	▁35
165	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	▁59
166	afiliado sap	afiliado sap	afiliado sap	afiliado sap	afiliado sap	▁3
167	cuadro	cuadro	cuadro	cuadro	cuadro	▁57
168	socio	socio	socio	socio	socio	socio
169	agregar	agregar	agregar	agregar	agregar	agregar
170	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
171	socio	socio	socio	socio	socio	socio
172	bloqueo	bloqueo	bloqueo	bloquear	bloqueo	bloquear
173	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
174	asignación	asignación	asignación	asignación	asignación	▁8
175	asignación	asignación	asignación	asignación	asignación	▁8
176	terminación	terminación	terminación	terminación	terminación	▁82
