	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	containers	containers	containers	containers	containers	▁28
1	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
2	tarea	tarea	tarea	trabajo	tarea	tarea
3	informe	informe	informe	informe	informe	informe
4	promedio	promedio	promedio	promedio	promedio	▁12
5	elemento	elemento	elemento	elemento	elemento	artículo
6	explosión	explosión	explosión	explosión	explosión	▁43
7	agregar	agregar	agregar	agregar	agregar	agregar
8	▔	▁1	▔	rango	▔	intervalo
9	origen	origen	origen	origen	origen	fuente
10	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
11	fuente	origen	fuente	origen	fuente	fuente
12	editar	editar	editar	editar	editar	editar
13	restablece	restablece	restablece	restablecer	restablece	restablecer
14	añadir	agregar	añadir	agregar	añadir	agregar
15	incidente	incidente	incidente	incidente	incidente	▁49
16	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
17	guardar	guardar	guardar	guardar	guardar	guardar
18	write-off	write-off	write-off	anular	write-off	▁87
19	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
20	socio	socio	socio	socio	socio	socio
21	regla	regla	regla	regla	regla	regla
22	reajusta	restablece	reajusta	restablecer	reajusta	restablecer
23	categoría	categoría	categoría	categoría	categoría	▁23
24	programa	programa	programa	programa	programa	programación
25	encabezado	editar	encabezado	editar	encabezado	editar
26	completar	completar	completar	completar	completar	▁26
27	pausar	pausar	pausar	pausar	pausar	▁57
28	utilizar	utilizar	utilizar	usar	utilizar	usar
29	programa	programa	programa	programa	programa	programación
30	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
31	programación	programa	programación	programa	programación	programación
32	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
33	cliente	cliente	cliente	cliente	cliente	deudor
34	rango	▁1	rango	rango	rango	intervalo
35	entrega	entrega	entrega	entrega	entrega	entrega
36	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento	procesamiento
37	upgrade	upgrade	upgrade	upgrade	upgrade	upgrade
38	tabla	pestaña	tabla	pestaña	tabla	pestaña
39	patrón de reaparición	patrón de reaparición	patrón de reaparición	patrón de reaparición	patrón de reaparición	▁68
40	público	público	público	público	público	público
41	programado	programa	programado	programa	programado	programación
42	▔	guardar	▔	guardar	▔	guardar
43	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
44	restablecer	restablece	restablecer	restablecer	restablecer	restablecer
45	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	reabastecimiento	▁69
46	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
47	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
48	procesar	procesar	procesar	procesar	procesar	procesar
49	trabajo	tarea	trabajo	trabajo	trabajo	tarea
50	patrón de reaparición	patrón de reaparición	patrón de reaparición	patrón de reaparición	patrón de reaparición	▁68
51	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
52	completado	completar	completado	completar	completado	▁26
53	informe	informe	informe	informe	informe	informe
54	guardar como	guardar como	guardar como	guardar como	guardar como	guardar como
55	resultado	resultado	resultado	resultado	resultado	▁73
56	programación	programa	programación	programa	programación	programación
57	trabajo	tarea	trabajo	trabajo	trabajo	tarea
58	cliente	cliente	cliente	cliente	cliente	deudor
59	patrón de reaparición	patrón de reaparición	patrón de reaparición	patrón de reaparición	patrón de reaparición	▁68
60	suplente	suplente	suplente	suplente	suplente	suplente
61	revisión	revisión	revisión	revisión	revisión	revisión
62	función	función	función	función	función	función
63	cliente	cliente	cliente	cliente	cliente	deudor
64	llamada	llamada	llamada	llamada	llamada	▁22
65	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
66	replicación	replicación	replicación	replicación	replicación	replicación
67	bloquear	bloquear	bloquear	bloqueado	bloquear	▁75
68	modificación	modificación	modificación	cambio	modificación	modificación
69	borrar	eliminar	borrar	eliminar	borrar	eliminar
70	agregar	agregar	agregar	agregar	agregar	agregar
71	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	asignación cuenta	▁5
72	socio	socio	socio	socio	socio	socio
73	predefinir	predefinir	predefinir	predeterminado	predefinir	predefinir
74	anular	write-off	anular	anular	anular	▁87
75	medida	medida	medida	medida	medida	indicador
76	transacción	transacción	transacción	transacción	transacción	▁83
77	deudor	cliente	deudor	cliente	deudor	deudor
78	tabla	tabla	tabla	tabla	tabla	▁67
79	encabezado	encabezado	encabezado	encabezado	encabezado	▁47
80	obligación	obligación	obligación	obligación	obligación	rendimiento
81	lista de tarea	lista de tarea	lista de tarea	lista de tarea	lista de tarea	▁86
82	procedimiento	procedimiento	procedimiento	tipo	procedimiento	tipo
83	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
84	planificación	programa	planificación	programa	planificación	programación
85	lista	lista de tarea	lista	lista de tarea	lista	▁86
86	agregar	agregar	agregar	agregar	agregar	agregar
87	asignación	asignación	asignación	asignación	asignación	▁8
88	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil	página de perfil
89	asignación	asignación	asignación	asignación	asignación	▁8
90	socio	socio	socio	socio	socio	socio
91	incidente	incidente	incidente	incidente	incidente	▁49
92	consumo	consumo	consumo	consumo	consumo	▁27
93	asignación	asignación	asignación	asignación	asignación	▁8
94	conjunto	conjunto	conjunto	conjunto	conjunto	conjunto
95	icono	icono	icono	icono	icono	icono
96	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
97	clasificación	clasificación	clasificación	clasificación	clasificación	▁76
98	trabajo	tarea	trabajo	trabajo	trabajo	tarea
99	cliente	cliente	cliente	cliente	cliente	cliente
100	informe	informe	informe	informe	informe	informe
101	tarea	tarea	tarea	trabajo	tarea	tarea
102	iniciar	iniciar	iniciar	iniciar	iniciar	iniciar
103	tipo	procedimiento	tipo	tipo	tipo	tipo
104	socio	socio	socio	socio	socio	socio
105	predeterminado	predefinir	predeterminado	predeterminado	predeterminado	predefinir
106	usar	utilizar	usar	usar	usar	usar
107	tarifa	tarifa	tarifa	tarifa	tarifa	tarifa
108	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio	confirmación de servicio
109	asignación	asignación	asignación	asignación	asignación	▁8
110	cliente	cliente	cliente	cliente	cliente	deudor
111	elemento	elemento	elemento	elemento	elemento	artículo
112	incidente	incidente	incidente	incidente	incidente	▁49
113	▔	socio	▔	socio	▔	socio
114	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	grupo de tipo de producto	▁62
115	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
116	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción	tipo de transacción
117	facturar	facturar	facturar	factura	facturar	facturar
118	problema	problema	problema	emisión	problema	problema
119	resultado	resultado	resultado	resultado	resultado	resultado
120	guardar	guardar	guardar	guardar	guardar	guardar
121	uso	utilizar	uso	usar	uso	usar
122	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
123	revisión	revisión	revisión	verificar	revisión	verificar
124	contrato central	contrato central	contrato central	contrato central	contrato central	▁24
125	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
126	entrante	entrante	entrante	entrante	entrante	▁48
127	ámbito	ámbito	ámbito	ámbito	ámbito	▁72
128	usar	utilizar	usar	usar	usar	usar
129	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
130	asignación	procedimiento	asignación	tipo	asignación	tipo
131	compartición	compartición	compartición	compartición	compartición	compartición
132	requisito	requisito	requisito	requisito	requisito	requisito
133	modelo	plantilla	modelo	plantilla	modelo	modelo
134	botón	botón	botón	botón	botón	▁21
135	tiempo	tiempo	tiempo	tiempo	tiempo	tiempo
136	agenda	programa	agenda	programa	agenda	programación
137	fuente	origen	fuente	origen	fuente	fuente
138	uso	uso	uso	uso	uso	uso
139	indicador	medida	indicador	medida	indicador	indicador
140	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
141	tipo	procedimiento	tipo	tipo	tipo	tipo
142	medida	medida	medida	medida	medida	indicador
143	modelo	plantilla	modelo	plantilla	modelo	modelo
144	completo	completo	completo	completo	completo	completo
145	guardar	guardar	guardar	guardar	guardar	guardar
146	nombre comercial	nombre comercial	nombre comercial	nombre comercial	nombre comercial	▁17
147	prepago	prepago	prepago	prepago	prepago	▁60
148	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	paso de proceso
149	programa	programa	programa	programa	programa	programación
150	requisito	requisito	requisito	requisito	requisito	requisito
151	medida	medida	medida	medida	medida	indicador
152	verificar	revisión	verificar	verificar	verificar	verificar
153	suplemento	suplemento	suplemento	suplemento	suplemento	▁79
154	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo	procesamiento paralelo
155	socio	socio	socio	socio	socio	socio
156	rendimiento	obligación	rendimiento	obligación	rendimiento	rendimiento
157	llevar	llevar	llevar	ejecutar	llevar	ejecutar
158	agregar	agregar	agregar	agregar	agregar	agregar
159	botón	botón	botón	botón	botón	▁21
160	verificar	revisión	verificar	verificar	verificar	verificar
161	lista de tarea	lista de tarea	lista de tarea	lista de tarea	lista de tarea	▁86
162	socio	socio	socio	socio	socio	socio
163	sitio	sitio	sitio	sitio	sitio	sitio
164	orientado	orientado	orientado	orientado	orientado	▁34
165	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	etapa de proceso	paso de proceso
166	afiliado sap	afiliado sap	afiliado sap	afiliado sap	afiliado sap	▁3
167	popup	popup	popup	popup	popup	popup
168	socio	socio	socio	socio	socio	socio
169	añadir	agregar	añadir	agregar	añadir	agregar
170	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
171	socio	socio	socio	socio	socio	socio
172	bloqueo	bloqueo	bloqueo	bloqueo	bloqueo	▁54
173	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
174	asignación	asignación	asignación	asignación	asignación	▁8
175	asignación	asignación	asignación	asignación	asignación	▁8
176	terminación	terminación	terminación	terminación	terminación	▁81
177	caso de uso	caso de uso	caso de uso	caso de uso	caso de uso	caso de uso
178	eliminar	eliminar	eliminar	eliminar	eliminar	eliminar
179	origen	origen	origen	origen	origen	fuente
180	intervalo	▁1	intervalo	rango	intervalo	intervalo
181	paso de proceso	etapa de proceso	paso de proceso	etapa de proceso	paso de proceso	paso de proceso
182	defecto	predefinir	defecto	predeterminado	defecto	predefinir
183	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición	conjunto de posición
184	explosión	explosión	explosión	explosión	explosión	▁43
185	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
186	lista	lista de tarea	lista	lista de tarea	lista	▁86
187	lista de tarea	lista de tarea	lista de tarea	lista de tarea	lista de tarea	▁86
188	controlador de dato	controlador de dato	controlador de dato	controlador de dato	controlador de dato	▁31
189	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente	aplicación cliente
190	tipo de vista	tipo de vista	tipo de vista	tipo de vista	tipo de vista	▁85
191	guardar	guardar	guardar	guardar	guardar	guardar
192	tarea	tarea	tarea	trabajo	tarea	tarea
193	medida	medida	medida	medida	medida	indicador
194	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
195	asignación	asignación	asignación	asignación	asignación	▁8
196	etapa	etapa	etapa	etapa	etapa	▁77
197	asignación	asignación	asignación	asignación	asignación	▁8
198	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
199	eliminar	eliminar	eliminar	eliminar	eliminar	quitar
200	agregue	agregar	agregue	agregar	agregue	agregar
201	actividad comercial	actividad comercial	actividad comercial	actividad comercial	actividad comercial	▁14
202	agregar	agregar	agregar	agregar	agregar	agregar
203	socio	socio	socio	socio	socio	socio
204	adquisición	adquisición	adquisición	adquisición	adquisición	▁6
205	plantilla	plantilla	plantilla	plantilla	plantilla	modelo
206	elemento	elemento	elemento	elemento	elemento	artículo
207	clase	clase	clase	clase	clase	clase
208	inventario	inventario	inventario	inventario	inventario	▁50
209	pestaña	pestaña	pestaña	pestaña	pestaña	pestaña
210	fecha/hora	tiempo	fecha/hora	tiempo	fecha/hora	tiempo
211	fecha/hora	fecha/hora	fecha/hora	fecha/hora	fecha/hora	▁33
212	lanzador	lanzador	lanzador	lanzador	lanzador	▁51
213	actualización	actualización	actualización	actualización	actualización	▁84
214	artículo	elemento	artículo	elemento	artículo	artículo
215	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo	centro de trabajo
216	predeterminado	predefinir	predeterminado	predeterminado	predeterminado	predefinir
217	guardar	guardar	guardar	guardar	guardar	guardar
218	ejecución	procedimiento	ejecución	tipo	ejecución	tipo
219	compartición	compartición	compartición	compartición	compartición	compartición
220	modelo	plantilla	modelo	plantilla	modelo	modelo
221	mosaico	guardar como	mosaico	guardar como	mosaico	guardar como
222	tabla	pestaña	tabla	pestaña	tabla	pestaña
223	bloqueado	bloquear	bloqueado	bloqueado	bloqueado	▁75
224	plantilla de rol	plantilla de rol	plantilla de rol	plantilla	plantilla de rol	plantilla de rol
