	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁66
1	договор	договор	договор	контракт	договор	договор
2	тип	тип	тип	тип	тип	тип
3	доход	доход	доход	доход	доход	▁92
4	обновить	обновить	обновить	обновление	обновить	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁16
9	тип	тип	тип	тип	тип	тип
10	входной	входной	входной	входной	входной	▁53
11	тип	тип	тип	тип	тип	тип
12	тип	тип	тип	тип	тип	тип
13	цель	цель	цель	цель	цель	цель
14	тип	тип	тип	тип	тип	тип
15	тип	тип	тип	тип	тип	тип
16	публичный	публичный	публичный	общедоступный	публичный	▁77
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	сигнал	входной	сигнал	входной	сигнал	▁53
19	тип	тип	тип	тип	тип	тип
20	отложить	отложить	отложить	отложить	отложить	▁73
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	правило	правило	▁82
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	входной	входной	входной	входной	входной	▁53
25	результат	результат	результат	вывод	результат	вывод
26	выставление	выставление	выставление	выставление	выставление	▁13
27	взрывной	взрывной	взрывной	взрывной	взрывной	▁43
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁10
29	group	group	group	group	group	▁49
30	тип	тип	тип	тип	тип	тип
31	контрактный	договор	контрактный	контракт	контрактный	договор
32	область	область	область	область	область	▁98
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	маппинг	маппинг	маппинг	маппинг	маппинг	▁60
35	резюме	резюме	резюме	резюме	резюме	резюме
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁47
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	график	график	график	расписание	график	запланировать
41	дать	входной	дать	входной	дать	▁53
42	лист запись сервис	лист запись сервис	лист запись сервис	лист запись обслуживание	лист запись сервис	▁99
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
45	интервал	диапазон	интервал	диапазон	интервал	интервал
46	входной	входной	входной	входной	входной	▁53
47	тип	тип	тип	тип	тип	тип
48	расписание	график	расписание	расписание	расписание	запланировать
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁32
50	период проживание	период проживание	период проживание	срок проживание	период проживание	▁87
51	отложение	отложение	отложение	отложение	отложение	▁107
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	▁123
54	поток	поток	поток	поток	поток	поток
55	маппинг	маппинг	маппинг	маппинг	маппинг	▁60
56	срок исполнение	срок исполнение	срок исполнение	срок исполнение	срок исполнение	▁39
57	пометить	пометить	пометить	пометить	пометить	▁108
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁66
62	срок проживание	период проживание	срок проживание	срок проживание	срок проживание	▁87
63	часть	часть	часть	часть	часть	▁67
64	диапазон	диапазон	диапазон	диапазон	диапазон	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	баланс	баланс	баланс	баланс	баланс	баланс
67	копировать	копировать	копировать	копировать	копировать	▁31
68	расчёт	расчёт	расчёт	расчёт	расчёт	▁4
69	тип	тип	тип	тип	тип	тип
70	использовать	использовать	использовать	использовать	использовать	▁117
71	тип	тип	тип	тип	тип	тип
72	график	график	график	расписание	график	запланировать
73	▔	тип	▔	тип	▔	тип
74	▔	результат	▔	вывод	▔	вывод
75	входной	входной	входной	входной	входной	▁53
76	тип	тип	тип	тип	тип	тип
77	назначение	назначение	назначение	выделение	назначение	распределение
78	контракт	договор	контракт	контракт	контракт	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
