	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	область	область	область	область	область	область
1	контракт	контракт	контракт	договор	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	выручка	выручка	выручка	выручка	выручка	выручка
4	обновить	обновить	обновить	обновление	обновить	обновить
5	интервал	интервал	интервал	интервал	интервал	интервал
6	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
7	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
8	▔	▁0	▔	▁0	▔	▁0
9	вид	тип	вид	тип	вид	вид
10	ввод	ввод	ввод	ввод	ввод	ввод
11	тип	тип	тип	тип	тип	вид
12	вид	тип	вид	тип	вид	вид
13	цель	цель	цель	назначение	цель	назначение
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	общедоступный	общедоступный	общедоступный	public	общедоступный	общедоступный
17	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
18	ввод	ввод	ввод	ввод	ввод	ввод
19	тип	тип	тип	тип	тип	вид
20	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить	отсрочить
21	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
22	предписание	предписание	предписание	предписание	предписание	предписание
23	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
24	ввод	ввод	ввод	ввод	ввод	ввод
25	результат	результат	результат	вывод	результат	вывод
26	платный	платный	платный	платный	платный	фактурирование
27	разузлование	разузлование	разузлование	разузлование	разузлование	разузлование
28	связь	связь	связь	связь	связь	связь
29	группировать	группировать	группировать	группа	группировать	группа
30	вид	тип	вид	тип	вид	вид
31	договорный	контракт	договорный	договор	договорный	договор
32	объём	объём	объём	объём	объём	объём
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	сопоставление	сопоставление	сопоставление	сопоставление	сопоставление	мэппинг
35	сводка	сводка	сводка	сводка	сводка	резюме
36	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность	валюта отчётность
37	пространство	пространство	пространство	пространство	пространство	пространство
38	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	планирование	планирование	планирование	планирование	планирование	запланировать
41	ввод	ввод	ввод	ввод	ввод	ввод
42	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
43	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
44	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
45	интервал	интервал	интервал	интервал	интервал	интервал
46	ввод	ввод	ввод	ввод	ввод	ввод
47	вид	тип	вид	тип	вид	вид
48	планирование	планирование	планирование	планирование	планирование	запланировать
49	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
50	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
51	приостановление	приостановление	приостановление	приостановление	приостановление	приостановление
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	ассистент	ассистент	ассистент	ассистент	ассистент	ассистент
54	поток	поток	поток	поток	поток	поток
55	сопоставление	сопоставление	сопоставление	сопоставление	сопоставление	мэппинг
56	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение	дата исполнение
57	отметить	отметить	отметить	отметить	отметить	отметить
58	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
59	транзакция	транзакция	транзакция	движение	транзакция	движение
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	область	область	область	область	область	область
62	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение	период активный хранение
63	деталь	деталь	деталь	деталь	деталь	деталь
64	интервал	интервал	интервал	интервал	интервал	интервал
65	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
66	баланс	баланс	баланс	баланс	баланс	баланс
67	копировать	копировать	копировать	копировать	копировать	▁1
68	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	использование
71	тип	тип	тип	тип	тип	вид
72	планирование	планирование	планирование	планирование	планирование	запланировать
73	тип	тип	тип	тип	тип	вид
74	выводной	результат	выводной	вывод	выводной	вывод
75	вводный	ввод	вводный	ввод	вводный	ввод
76	тип	тип	тип	тип	тип	вид
77	перерасчёт	перерасчёт	перерасчёт	перерасчёт	перерасчёт	перерасчёт
78	договор	контракт	договор	договор	договор	договор
79	редактировать	редактировать	редактировать	редактировать	редактировать	редактировать
80	на основа потребность	на основа потребность	на основа потребность	на основа потребность	на основа потребность	на основа потребность
81	ввод	ввод	ввод	ввод	ввод	ввод
82	соединение	соединение	соединение	соединение	соединение	соединение
83	пространство	пространство	пространство	пространство	пространство	пространство
84	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
85	активный хранение	период активный хранение	активный хранение	период активный хранение	активный хранение	период активный хранение
86	контрактный	контракт	контрактный	договор	контрактный	договор
87	сборка	сборка	сборка	сборка	сборка	сборка
88	копировать	копировать	копировать	копировать	копировать	▁1
89	планирование	планирование	планирование	планирование	планирование	запланировать
90	разграничение	разграничение	разграничение	разграничение	разграничение	разграничение
91	провайдер	провайдер	провайдер	провайдер	провайдер	поставщик
92	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга	ведомость учёт услуга
93	тип	тип	тип	тип	тип	вид
94	изменение	изменение	изменение	изменить	изменение	изменение
95	планирование	планирование	планирование	планирование	планирование	запланировать
96	отмена	отмена	отмена	отмена	отмена	отмена
97	приостановка	приостановка	приостановка	приостановка	приостановка	приостановка
98	контент	контент	контент	контент	контент	контент
99	настройка	настройка	настройка	настроить	настройка	настроить
100	тред	тред	тред	тред	тред	тред
101	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
102	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
103	поставщик	провайдер	поставщик	провайдер	поставщик	поставщик
104	тип	тип	тип	тип	тип	вид
105	вложение	вложение	вложение	вложение	вложение	вложение
106	активировать	активировать	активировать	активировать	активировать	активировать
107	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные	провайдер данные
108	отчёт	отчёт	отчёт	отчёт	отчёт	отчёт
