	tgt	pseudoref_first	tgt	pseudoref_frequent	tgt	pseudoref_predefined
0	панель	панель	панель	панель	панель	▁66
1	контракт	контракт	контракт	контракт	контракт	договор
2	тип	тип	тип	тип	тип	вид
3	доход	доход	доход	доход	доход	▁85
4	обновить	обновить	обновить	обновление	обновить	обновить
5	диапазон	диапазон	диапазон	диапазон	диапазон	интервал
6	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
7	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
8	переход	переход	переход	переход	переход	▁17
9	тип	тип	тип	тип	тип	вид
10	входной	входной	входной	входной	входной	▁53
11	тип	тип	тип	тип	тип	вид
12	тип	тип	тип	тип	тип	вид
13	цель	цель	цель	цель	цель	цель
14	тип	тип	тип	тип	тип	вид
15	тип	тип	тип	тип	тип	вид
16	публичный	публичный	публичный	общественность	публичный	▁74
17	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
18	сигнал	входной	сигнал	входной	сигнал	▁53
19	тип	тип	тип	тип	тип	вид
20	отложить	отложить	отложить	отложить	отложить	▁70
21	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
22	правило	правило	правило	правило	правило	▁77
23	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
24	входной	входной	входной	входной	входной	▁53
25	результат	результат	результат	вывод	результат	вывод
26	выставление	выставление	выставление	выставление	выставление	▁14
27	взрыв	взрыв	взрыв	взрыв	взрыв	▁44
28	ассоциация	ассоциация	ассоциация	ассоциация	ассоциация	▁10
29	группировать	группировать	группировать	группа	группировать	группа
30	тип	тип	тип	тип	тип	вид
31	контрактный	контракт	контрактный	контракт	контрактный	договор
32	область	область	область	область	область	▁90
33	дополнение	дополнение	дополнение	дополнение	дополнение	дополнение
34	маппинг	маппинг	маппинг	маппинг	маппинг	сопоставление
35	резюме	резюме	резюме	общий	резюме	▁100
36	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	глобальный валюта	▁48
37	пространство	пространство	пространство	пространство	пространство	пространство
38	активировать	активировать	активировать	редактировать	активировать	редактировать
39	пространство	пространство	пространство	пространство	пространство	пространство
40	график	график	график	расписание	график	планирование
41	дать	входной	дать	входной	дать	▁53
42	листsheets сервисный запись	листsheets сервисный запись	листsheets сервисный запись	запись обслуживание	листsheets сервисный запись	▁91
43	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
44	провайдер	поставщик	провайдер	поставщик	провайдер	поставщик
45	интервал	диапазон	интервал	диапазон	интервал	интервал
46	входной	входной	входной	входной	входной	▁53
47	тип	тип	тип	тип	тип	вид
48	планирование	график	планирование	расписание	планирование	планирование
49	поставщик данные	поставщик данные	поставщик данные	поставщик данные	поставщик данные	▁32
50	активный период проживание	активный период проживание	активный период проживание	активный период проживание	активный период проживание	▁80
51	приостановка	приостановка	приостановка	приостановка	приостановка	▁101
52	тип проект	тип проект	тип проект	тип проект	тип проект	тип проект
53	мастер	мастер	мастер	мастер	мастер	▁118
54	поток	поток	поток	поток	поток	поток
55	сопоставление	маппинг	сопоставление	маппинг	сопоставление	сопоставление
56	дата завершение	дата завершение	дата завершение	дата завершение	дата завершение	▁40
57	пометить	пометить	пометить	пометить	пометить	▁102
58	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
59	транзакция	транзакция	транзакция	транзакция	транзакция	транзакция
60	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле	пользовательский поле
61	панель	панель	панель	панель	панель	▁66
62	срок проживание	активный период проживание	срок проживание	активный период проживание	срок проживание	▁80
63	деталь	деталь	деталь	деталь	деталь	деталь
64	диапазон	диапазон	диапазон	диапазон	диапазон	интервал
65	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
66	балансовый	балансовый	балансовый	балансовый	балансовый	▁13
67	копировать	копировать	копировать	копировать	копировать	▁31
68	разграничение	разграничение	разграничение	расчёт	разграничение	разграничение
69	тип	тип	тип	тип	тип	вид
70	использовать	использовать	использовать	использовать	использовать	▁112
71	тип	тип	тип	тип	тип	вид
72	график	график	график	расписание	график	планирование
73	▔	тип	▔	тип	▔	вид
74	выходной	результат	выходной	вывод	выходной	вывод
75	входной	входной	входной	входной	входной	▁53
76	тип	тип	тип	тип	тип	вид
77	назначение	назначение	назначение	нагрузка	назначение	распределение
78	контракт	контракт	контракт	контракт	контракт	договор
79	отредактировать	активировать	отредактировать	редактировать	отредактировать	редактировать
80	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	управляемый спрос	▁34
81	вход	входной	вход	входной	вход	▁53
82	join	join	join	join	join	▁57
83	пространство	пространство	пространство	пространство	пространство	пространство
84	расчёт	разграничение	расчёт	расчёт	расчёт	разграничение
85	период проживание	активный период проживание	период проживание	активный период проживание	период проживание	▁80
86	▔	контракт	▔	контракт	▔	договор
87	assembly	assembly	assembly	assembly	assembly	▁8
88	копировать	копировать	копировать	копировать	копировать	▁31
89	расписание	график	расписание	расписание	расписание	планирование
90	расчёт	разграничение	расчёт	расчёт	расчёт	разграничение
91	поставщик	поставщик	поставщик	поставщик	поставщик	поставщик
92	запись обслуживание	листsheets сервисный запись	запись обслуживание	запись обслуживание	запись обслуживание	▁91
93	▔	тип	▔	тип	▔	вид
94	изменить	изменить	изменить	изменить	изменить	изменить
95	расписание	график	расписание	расписание	расписание	планирование
96	отменить	отменить	отменить	отменить	отменить	▁110
97	провести	провести	провести	провести	провести	▁67
98	содержимое	содержимое	содержимое	содержание	содержимое	▁29
99	установить	установить	установить	установить	установить	▁92
100	поток	поток	поток	поток	поток	▁104
101	личный дать	личный дать	личный дать	личный дать	личный дать	личный дать
